Created on 05-15-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HBTC
2019-06-04,DASHBTC,0.01915,0.01962,0.01865,0.0187,484235.58,9342.22
2019-06-03,DASHBTC,0.0189,0.01929,0.0188,0.01915,193532.58,3677.86
2019-06-02,DASHBTC,0.01906,0.01926,0.0188,0.0189,90647.42,1726.44
2019-06-01,DASHBTC,0.01939,0.01951,0.01905,0.01906,71222.26,1374.25
2019-05-31,DASHBTC,0.01967,0.0197,0.01905,0.01939,79777.52,1541.88
2019-05-30,DASHBTC,0.01947,0.02007,0.0192,0.01967,71514.0,1401.83
2019-05-29,DASHBTC,0.01941,0.02017,0.01898,0.01947,72053.91,1398.79
2019-05-28,DASHBTC,0.01893,0.02004,0.01878,0.01941,76533.0,1468.58
2019-05-27,DASHBTC,0.01873,0.0192,0.01857,0.01893,68853.0,1299.42
2019-05-26,DASHBTC,0.01938,0.0195,0.0184,0.01873,72365.86,1388.59
2019-05-25,DASHBTC,0.01959,0.02004,0.01923,0.01938,72808.09,1424.54
2019-05-24,DASHBTC,0.01962,0.02031,0.01941,0.01959,70652.57,1397.13
2019-05-23,DASHBTC,0.02017,0.02041,0.0192,0.01962,81064.39,1601.89
2019-05-22,DASHBTC,0.02099,0.02102,0.01999,0.02017,75275.06,1549.89
2019-05-21,DASHBTC,0.021,0.02113,0.02027,0.02099,77561.85,1609.57
2019-05-20,DASHBTC,0.02123,0.02177,0.0205,0.021,96033.78,2030.56
2019-05-19,DASHBTC,0.01936,0.0215,0.01867,0.02123,92407.17,1793.41
2019-05-18,DASHBTC,0.01895,0.0197,0.0185,0.01936,97215.14,1843.18
2019-05-17,DASHBTC,0.0189,0.01908,0.01826,0.01895,82120.5,1534.18
2019-05-16,DASHBTC,0.0189,0.0202,0.0186,0.0189,10289.64,199.21
2019-05-15,DASHBTC,0.0177,0.0192,0.0176,0.0189,17010.64,315.27
2019-05-14,DASHBTC,0.0168,0.018,0.0165,0.0177,8723.42,151.07
2019-05-13,DASHBTC,0.0179,0.0189,0.0165,0.0168,18583.24,324.3
2019-05-12,DASHBTC,0.0171,0.0181,0.0167,0.0179,8853.66,151.35
2019-05-11,DASHBTC,0.0177,0.0179,0.0166,0.0171,6234.86,107.97
2019-05-10,DASHBTC,0.0182,0.0185,0.0175,0.0177,2562.4,45.58
2019-05-09,DASHBTC,0.0196,0.0197,0.018,0.0182,2774.84,52.65
2019-05-08,DASHBTC,0.02,0.02,0.0196,0.0196,1311.85,25.98
2019-05-07,DASHBTC,0.0209,0.0211,0.0205,0.0205,243.63,5.07
2019-05-06,DASHBTC,0.0205,0.0211,0.0205,0.0209,3071.13,63.78
2019-05-05,DASHBTC,0.0206,0.0209,0.0205,0.0205,1658.08,34.31
2019-05-04,DASHBTC,0.0209,0.0214,0.0205,0.0206,2813.11,58.98
2019-05-03,DASHBTC,0.0212,0.0212,0.0205,0.0209,1359.64,28.36
2019-05-02,DASHBTC,0.0217,0.0221,0.0212,0.0212,1385.65,29.76
2019-05-01,DASHBTC,0.0209,0.0221,0.0208,0.0217,1976.01,42.32
2019-04-30,DASHBTC,0.0205,0.021,0.0205,0.0209,1502.52,31.28
2019-04-29,DASHBTC,0.0208,0.0211,0.0205,0.0205,727.64,15.12
2019-04-28,DASHBTC,0.0208,0.021,0.0206,0.0208,614.89,12.77
2019-04-27,DASHBTC,0.0207,0.0209,0.0207,0.0208,1090.38,22.63
2019-04-26,DASHBTC,0.0209,0.021,0.0204,0.0207,4430.69,92.05
2019-04-25,DASHBTC,0.0213,0.0219,0.0207,0.0209,6470.51,138.76
2019-04-24,DASHBTC,0.0213,0.022,0.0207,0.0213,6894.13,146.66
2019-04-23,DASHBTC,0.0227,0.0228,0.0213,0.0213,4852.69,108.11
2019-04-22,DASHBTC,0.0229,0.0232,0.0226,0.0227,3328.07,76.16
2019-04-21,DASHBTC,0.0232,0.0233,0.0225,0.0229,4083.22,93.14
2019-04-20,DASHBTC,0.0231,0.0234,0.023,0.0232,2469.27,57.28
2019-04-19,DASHBTC,0.0235,0.0235,0.0231,0.0231,1930.51,45.07
2019-04-18,DASHBTC,0.0231,0.0238,0.023,0.0235,5859.27,137.72
2019-04-17,DASHBTC,0.0232,0.0234,0.0228,0.0231,6074.29,140.3
2019-04-16,DASHBTC,0.0235,0.0235,0.0228,0.0232,7348.04,171.67
2019-04-15,DASHBTC,0.0238,0.0241,0.0231,0.0235,7554.67,176.49
2019-04-14,DASHBTC,0.0236,0.0241,0.0234,0.0238,2167.57,51.67
2019-04-13,DASHBTC,0.0235,0.0237,0.0234,0.0236,3595.64,84.51
2019-04-12,DASHBTC,0.0243,0.0243,0.0234,0.0235,16739.15,399.26
2019-04-11,DASHBTC,0.0244,0.0256,0.0229,0.0243,20258.95,485.7
2019-04-10,DASHBTC,0.0254,0.0255,0.0242,0.0244,21705.92,543.35
2019-04-09,DASHBTC,0.0258,0.026,0.0251,0.0254,16402.97,417.55
2019-04-08,DASHBTC,0.0261,0.0264,0.0254,0.0258,10097.36,261.17
