Created on 05-15-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume EOS,Volume BTC
2018-11-20,EOSBTC,0.0008395,0.0008616,0.000785,0.0008351,6913611.57,5714.39
2018-11-19,EOSBTC,0.0008202,0.0008395,0.00076,0.0008395,4356201.89,3478.43
2018-11-18,EOSBTC,0.0008228,0.0008297,0.000813,0.0008202,1037113.23,850.91
2018-11-17,EOSBTC,0.0008146,0.0008257,0.0008098,0.0008228,869937.21,711.69
2018-11-16,EOSBTC,0.0008295,0.0008359,0.0008089,0.0008146,1504141.18,1232.59
2018-11-15,EOSBTC,0.0008056,0.0008354,0.0007894,0.0008295,3179977.83,2579.83
2018-11-14,EOSBTC,0.0008201,0.000823,0.0007612,0.0008056,2984068.35,2370.37
2018-11-13,EOSBTC,0.0008454,0.0008466,0.0007987,0.0008201,1521832.48,1261.02
2018-11-12,EOSBTC,0.000849,0.000856,0.0008368,0.0008454,1022552.47,863.99
2018-11-11,EOSBTC,0.0008438,0.0008551,0.00083,0.000849,893561.47,750.0
2018-11-10,EOSBTC,0.0008421,0.000848,0.0008386,0.0008438,752070.58,634.14
2018-11-09,EOSBTC,0.0008525,0.0008598,0.000837,0.0008421,1058127.18,899.06
2018-11-08,EOSBTC,0.0008636,0.0008668,0.0008455,0.0008525,1842739.37,1575.06
2018-11-07,EOSBTC,0.0008864,0.0008871,0.000857,0.0008636,2266542.17,1970.18
2018-11-06,EOSBTC,0.0008507,0.0008874,0.0008485,0.0008864,2705654.09,2358.39
2018-11-05,EOSBTC,0.0008548,0.0008562,0.0008403,0.0008507,1269974.78,1078.63
2018-11-04,EOSBTC,0.0008346,0.000862,0.0008304,0.0008548,1616491.97,1371.72
2018-11-03,EOSBTC,0.000839,0.0008428,0.0008273,0.0008346,1006570.2,842.8
2018-11-02,EOSBTC,0.0008248,0.0008417,0.000824,0.000839,1156339.79,963.7
2018-11-01,EOSBTC,0.0008246,0.0008275,0.0008187,0.0008248,928880.96,765.15
2018-10-31,EOSBTC,0.0008119,0.00083,0.0008097,0.0008246,1210145.21,991.05
2018-10-30,EOSBTC,0.0008124,0.0008141,0.0008058,0.0008119,1133068.84,918.69
2018-10-29,EOSBTC,0.0008374,0.0008397,0.000803,0.0008124,1377874.12,1133.11
2018-10-28,EOSBTC,0.0008328,0.0008395,0.0008314,0.0008374,882927.97,737.83
2018-10-27,EOSBTC,0.0008322,0.0008361,0.0008295,0.0008328,891944.49,742.72
2018-10-26,EOSBTC,0.0008312,0.000835,0.0008244,0.0008322,1071282.45,890.43
2018-10-25,EOSBTC,0.0008282,0.000834,0.0008266,0.0008312,1022498.88,849.37
2018-10-24,EOSBTC,0.0008369,0.0008398,0.000822,0.0008282,1513214.54,1257.76
2018-10-23,EOSBTC,0.0008311,0.00084,0.0008261,0.0008369,1674390.39,1392.67
2018-10-22,EOSBTC,0.0008363,0.0008395,0.000828,0.0008311,2530579.76,2111.96
2018-10-21,EOSBTC,0.0008292,0.0008481,0.0008279,0.0008363,3625085.58,3036.36
2018-10-20,EOSBTC,0.0008263,0.000836,0.0008243,0.0008292,3572030.08,2969.0
2018-10-19,EOSBTC,0.0008242,0.0008288,0.0008161,0.0008263,3387077.87,2793.39
2018-10-18,EOSBTC,0.0008265,0.000831,0.0008153,0.0008242,3869909.75,3193.39
2018-10-17,EOSBTC,0.0008242,0.00083,0.0008171,0.0008265,4136236.6,3411.63
2018-10-16,EOSBTC,0.0008312,0.0008312,0.0008278,0.0008278,0.0,0.0
2018-10-15,EOSBTC,0.0008214,0.00085,0.0007955,0.0008312,5126449.22,4201.56
2018-10-14,EOSBTC,0.0008374,0.0008376,0.0008159,0.0008214,3395301.89,2815.93
2018-10-13,EOSBTC,0.000827,0.0008434,0.0008224,0.0008374,3405846.25,2841.84
2018-10-12,EOSBTC,0.0008153,0.0008388,0.000806,0.000827,3665063.11,3026.04
2018-10-11,EOSBTC,0.0008933,0.000894,0.0008068,0.0008153,5002736.58,4245.74
2018-10-10,EOSBTC,0.00089,0.0009013,0.000884,0.0008933,3789935.84,3383.51
2018-10-09,EOSBTC,0.0008897,0.0008975,0.0008811,0.00089,3693354.77,3284.22
2018-10-08,EOSBTC,0.0008711,0.0008989,0.0008683,0.0008897,4186389.22,3686.92
2018-10-07,EOSBTC,0.0008691,0.0008797,0.000855,0.0008711,3286657.03,2850.28
2018-10-06,EOSBTC,0.0008772,0.0008888,0.0008622,0.0008691,3358403.9,2930.28
2018-10-05,EOSBTC,0.0008791,0.0008853,0.0008599,0.0008772,3765100.47,3281.66
2018-10-04,EOSBTC,0.0008618,0.0008922,0.0008545,0.0008791,4073901.8,3533.08
2018-10-03,EOSBTC,0.0008598,0.0008699,0.0008435,0.0008618,3150173.52,2695.59
2018-10-02,EOSBTC,0.0008688,0.0008731,0.000852,0.0008598,3193212.32,2753.53
2018-10-01,EOSBTC,0.0008632,0.0008847,0.0008443,0.0008688,2712075.56,2340.44
2018-09-30,EOSBTC,0.0008717,0.0008898,0.00082,0.0008632,4144584.52,3583.14
2018-09-29,EOSBTC,0.0008682,0.0008825,0.0008402,0.0008717,3018486.46,2619.37
2018-09-28,EOSBTC,0.0008723,0.0008882,0.0008526,0.0008682,3629629.52,3161.85
2018-09-27,EOSBTC,0.0008578,0.0008898,0.0008311,0.0008723,3878911.75,3343.16
2018-09-26,EOSBTC,0.0008407,0.0008825,0.0008179,0.0008578,3737715.81,3157.36
2018-09-25,EOSBTC,0.0008613,0.0008624,0.0007911,0.0008407,4350278.24,3565.02
2018-09-24,EOSBTC,0.0008986,0.000903,0.0008476,0.0008613,1253253.11,1087.87
2018-09-23,EOSBTC,0.0008844,0.0009094,0.0008684,0.0008986,1242142.33,1106.92
2018-09-22,EOSBTC,0.0009165,0.0009257,0.0008565,0.0008844,3171201.8,2821.74
2018-09-21,EOSBTC,0.0008838,0.0009189,0.0008455,0.0009165,4560636.46,4005.1
2018-09-20,EOSBTC,0.0008193,0.0008962,0.000812,0.0008838,4168135.2,3468.57
2018-09-19,EOSBTC,0.0007982,0.000823,0.000783,0.0008193,3470368.28,2793.9
2018-09-18,EOSBTC,0.0007754,0.0008263,0.0007637,0.0007982,3490693.6,2755.02
2018-09-17,EOSBTC,0.0008324,0.0008385,0.000752,0.0007754,4575423.1,3676.59
2018-09-16,EOSBTC,0.0008198,0.0008435,0.0008112,0.0008324,3136216.08,2589.87
2018-09-15,EOSBTC,0.0008059,0.0008432,0.0008051,0.0008198,3507778.25,2891.29
2018-09-14,EOSBTC,0.0008289,0.0008423,0.0007983,0.0008059,3804401.41,3111.65
2018-09-13,EOSBTC,0.0007802,0.0008521,0.0007719,0.0008289,4817431.65,3879.18
2018-09-12,EOSBTC,0.0007924,0.0007924,0.0007619,0.0007802,3493571.85,2706.94
2018-09-11,EOSBTC,0.0007971,0.0008046,0.0007624,0.0007924,3633748.36,2851.69
2018-09-10,EOSBTC,0.000792,0.0008065,0.0007836,0.0007971,3459118.24,2756.54
2018-09-09,EOSBTC,0.0007674,0.000809,0.000758,0.000792,4331362.61,3398.7
2018-09-08,EOSBTC,0.00079,0.000799,0.0007532,0.0007674,3990850.25,3118.04
2018-09-07,EOSBTC,0.0008039,0.0008173,0.000776,0.00079,4127657.24,3275.75
2018-09-06,EOSBTC,0.0007677,0.0008067,0.0007605,0.0008039,5706728.87,4481.25
2018-09-05,EOSBTC,0.0008805,0.000892,0.0007637,0.0007677,6297549.18,5223.85
2018-09-04,EOSBTC,0.0008903,0.0008988,0.0008742,0.0008805,4482792.31,3972.38
2018-09-03,EOSBTC,0.0009087,0.0009177,0.000883,0.0008903,4338976.1,3876.09
2018-09-02,EOSBTC,0.0009262,0.0009291,0.0008745,0.0009087,5104728.39,4597.83
2018-09-01,EOSBTC,0.0009129,0.0009544,0.0009124,0.0009262,5665409.01,5308.63
2018-08-31,EOSBTC,0.0008702,0.0009202,0.000855,0.0009129,5880862.64,5250.17
2018-08-30,EOSBTC,0.0008717,0.0008885,0.0008315,0.0008702,5434671.9,4686.0
2018-08-29,EOSBTC,0.0008349,0.00091,0.0008226,0.0008717,7601786.59,6583.3
2018-08-28,EOSBTC,0.0007803,0.000847,0.0007634,0.0008349,5717101.5,4517.01
2018-08-27,EOSBTC,0.0007388,0.0007859,0.00073,0.0007803,5000177.24,3836.44
2018-08-26,EOSBTC,0.000747,0.0007496,0.0007251,0.0007388,844142.33,622.13
2018-08-25,EOSBTC,0.0007544,0.0007561,0.000736,0.000747,736326.54,548.49
2018-08-24,EOSBTC,0.0007505,0.00077,0.000738,0.0007544,3814328.02,2864.88
2018-08-23,EOSBTC,0.0007418,0.0007651,0.0007293,0.0007505,3960224.91,2948.1
2018-08-22,EOSBTC,0.0007572,0.0007876,0.00072,0.0007418,4738750.34,3559.37
2018-08-21,EOSBTC,0.0007527,0.0007644,0.0007303,0.0007572,4042727.72,3029.3
2018-08-20,EOSBTC,0.000816,0.0008215,0.0007475,0.0007527,4483857.3,3545.5
2018-08-19,EOSBTC,0.0007945,0.0008365,0.0007806,0.000816,4190912.23,3384.02
2018-08-18,EOSBTC,0.0008488,0.000855,0.000765,0.0007945,5408793.71,4390.79
2018-08-17,EOSBTC,0.0007157,0.0008508,0.0007121,0.0008488,7108791.88,5478.12
2018-08-16,EOSBTC,0.0007361,0.0007466,0.0007075,0.0007157,5586506.34,4095.18
2018-08-15,EOSBTC,0.0007401,0.0007723,0.0007202,0.0007361,5512662.24,4071.26
2018-08-14,EOSBTC,0.0007332,0.0007409,0.0006914,0.0007401,5654207.59,4056.46
2018-08-13,EOSBTC,0.0007867,0.0007994,0.0007182,0.0007332,5972685.53,4620.9
2018-08-12,EOSBTC,0.0008059,0.0008059,0.0008059,0.0008059,0.0,0.0
2018-08-11,EOSBTC,0.0008527,0.0008544,0.000803,0.0008059,3090871.12,2582.42
2018-08-10,EOSBTC,0.0008826,0.0008957,0.0008293,0.0008527,6094026.99,5281.55
2018-08-09,EOSBTC,0.0008873,0.000909,0.0008619,0.0008826,5762386.74,5142.37
2018-08-08,EOSBTC,0.0009773,0.0009794,0.0008525,0.0008873,7281709.73,6654.94
2018-08-07,EOSBTC,0.001017,0.001018,0.00096,0.0009773,6098043.08,6085.34
2018-08-06,EOSBTC,0.001001,0.001024,0.0009941,0.001017,5686004.34,5705.33
2018-08-05,EOSBTC,0.0009953,0.001013,0.0009936,0.001001,6317112.16,6325.34
2018-08-04,EOSBTC,0.0009675,0.001007,0.0009489,0.0009953,6996404.59,6833.5
2018-08-03,EOSBTC,0.0009313,0.0009723,0.000927,0.0009675,5292150.08,5082.39
2018-08-02,EOSBTC,0.0009492,0.0009557,0.0009159,0.0009313,1685806.91,1580.55
2018-08-01,EOSBTC,0.0009493,0.0009719,0.000923,0.0009492,4186698.93,3994.7
2018-07-31,EOSBTC,0.0009468,0.0009508,0.0009041,0.0009493,5073523.69,4732.13
2018-07-30,EOSBTC,0.001013,0.001021,0.0009347,0.0009468,5736501.14,5641.31
2018-07-29,EOSBTC,0.001016,0.00103,0.001,0.001013,6318051.77,6367.2
2018-07-28,EOSBTC,0.00103,0.001031,0.001003,0.001016,6791525.32,6896.78
2018-07-27,EOSBTC,0.001047,0.00105,0.001017,0.00103,6667218.73,6878.69
2018-07-26,EOSBTC,0.001043,0.001071,0.001022,0.001047,7333239.14,7687.33
2018-07-25,EOSBTC,0.001022,0.00107,0.001019,0.001043,7995992.17,8361.04
2018-07-24,EOSBTC,0.001026,0.001053,0.0009714,0.001022,8871322.48,9025.41
2018-07-23,EOSBTC,0.001061,0.001096,0.001011,0.001026,6382273.18,6657.49
2018-07-22,EOSBTC,0.00108,0.001097,0.001048,0.001061,6714349.35,7260.99
2018-07-21,EOSBTC,0.001071,0.001108,0.001052,0.00108,6697469.37,7257.62
2018-07-20,EOSBTC,0.001125,0.001137,0.00106,0.001071,7206484.39,7897.75
2018-07-19,EOSBTC,0.001165,0.001174,0.001108,0.001125,5864128.05,6700.84
2018-07-18,EOSBTC,0.0012,0.001242,0.001156,0.001165,6173425.08,7401.33
