Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BTC
2019-04-21,ETHBTC,0.0326,0.0327,0.0315,0.0319,115.8,3.753
2019-04-20,ETHBTC,0.0328,0.0332,0.0323,0.0326,207.48,6.77
2019-04-19,ETHBTC,0.0329,0.0334,0.0324,0.0328,40.62,1.337
2019-04-18,ETHBTC,0.0321,0.0332,0.0321,0.0329,67.53,2.209
2019-04-17,ETHBTC,0.0321,0.0322,0.0318,0.0321,63.24,2.017
2019-04-16,ETHBTC,0.0318,0.0323,0.0316,0.0321,47.63,1.529
2019-04-15,ETHBTC,0.0324,0.0327,0.0315,0.0318,170.8,5.514
2019-04-14,ETHBTC,0.0322,0.0326,0.0322,0.0324,3.662,0.1193
2019-04-13,ETHBTC,0.0325,0.0325,0.0321,0.0322,114.42,3.698
2019-04-12,ETHBTC,0.0327,0.0329,0.0323,0.0325,53.08,1.729
2019-04-11,ETHBTC,0.0335,0.0335,0.0323,0.0327,180.46,5.897
2019-04-10,ETHBTC,0.0338,0.0348,0.032,0.0335,96.98,3.292
2019-04-09,ETHBTC,0.034,0.0343,0.0336,0.0338,31.92,1.083
2019-04-08,ETHBTC,0.0335,0.0351,0.0335,0.034,406.21,13.96
2019-04-07,ETHBTC,0.0329,0.034,0.0325,0.0335,92.62,3.087
2019-04-06,ETHBTC,0.033,0.0339,0.0324,0.0329,162.85,5.328
2019-04-05,ETHBTC,0.0323,0.0337,0.0318,0.033,208.55,6.774
2019-04-04,ETHBTC,0.032,0.0326,0.0315,0.0323,109.52,3.519
2019-04-03,ETHBTC,0.0342,0.0349,0.032,0.032,412.31,14.05
2019-04-02,ETHBTC,0.0338,0.0343,0.0284,0.0342,229.37,7.397
2019-04-01,ETHBTC,0.0345,0.0346,0.0338,0.0338,158.38,5.428
2019-03-31,ETHBTC,0.0346,0.0346,0.0344,0.0345,61.85,2.13
2019-03-30,ETHBTC,0.0348,0.0352,0.0346,0.0346,106.7,3.728
2019-03-29,ETHBTC,0.0342,0.0348,0.0341,0.0348,165.1,5.686
2019-03-28,ETHBTC,0.0348,0.0348,0.0342,0.0342,57.68,1.979
2019-03-27,ETHBTC,0.034,0.0348,0.034,0.0348,39.07,1.34
2019-03-26,ETHBTC,0.0339,0.0341,0.0339,0.034,79.22,2.695
2019-03-25,ETHBTC,0.0344,0.0344,0.0338,0.0339,56.74,1.926
2019-03-24,ETHBTC,0.0344,0.0345,0.034,0.0344,49.27,1.679
2019-03-23,ETHBTC,0.0343,0.0344,0.034,0.0344,45.37,1.55
2019-03-22,ETHBTC,0.0342,0.0343,0.0337,0.0343,10.0,0.3388
2019-03-21,ETHBTC,0.0344,0.0345,0.034,0.0342,33.24,1.138
2019-03-20,ETHBTC,0.0343,0.0346,0.0342,0.0344,23.24,0.7997
2019-03-19,ETHBTC,0.0347,0.0353,0.0343,0.0343,16.73,0.5769
2019-03-18,ETHBTC,0.0348,0.0352,0.0345,0.0347,40.27,1.4
2019-03-17,ETHBTC,0.0351,0.0351,0.0346,0.0348,5.279,0.1841
2019-03-16,ETHBTC,0.0347,0.0356,0.0346,0.0351,128.91,4.549
2019-03-15,ETHBTC,0.0341,0.0351,0.0341,0.0347,29.19,1.01
2019-03-14,ETHBTC,0.034,0.0347,0.0337,0.0341,65.44,2.231
2019-03-13,ETHBTC,0.0346,0.0346,0.0338,0.034,61.32,2.078
2019-03-12,ETHBTC,0.0341,0.0346,0.0337,0.0346,27.93,0.9518
2019-03-11,ETHBTC,0.0346,0.0346,0.034,0.0341,18.91,0.6465
2019-03-10,ETHBTC,0.0348,0.0348,0.0343,0.0346,10.5,0.3629
2019-03-09,ETHBTC,0.0346,0.0352,0.0341,0.0348,242.8,8.497
2019-03-08,ETHBTC,0.0355,0.0355,0.0341,0.0346,20.33,0.7038
2019-03-07,ETHBTC,0.0357,0.0359,0.035,0.0355,162.5,5.714
2019-03-06,ETHBTC,0.0355,0.036,0.0349,0.0357,36.44,1.298
