Created on 05-15-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume NEO,Volume USDT
2019-09-08,NEOUSDT,9.059,9.33,8.898,9.262,175209.24,1606879.51
2019-09-07,NEOUSDT,8.687,9.278,8.68,9.059,145455.84,1308607.73
2019-09-06,NEOUSDT,8.999,9.343,8.61,8.687,243270.75,2195056.64
2019-09-05,NEOUSDT,9.053,9.075,8.72,8.999,155555.54,1383563.93
2019-09-04,NEOUSDT,9.255,9.293,8.965,9.053,116595.63,1061994.34
2019-09-03,NEOUSDT,9.122,9.374,9.032,9.255,120286.84,1109692.32
2019-09-02,NEOUSDT,8.763,9.32,8.738,9.122,129395.13,1160950.4
2019-09-01,NEOUSDT,8.791,8.879,8.629,8.763,61065.43,535003.01
2019-08-31,NEOUSDT,8.727,8.914,8.569,8.791,77673.19,678632.01
2019-08-30,NEOUSDT,8.761,8.916,8.667,8.727,97301.7,854721.88
2019-08-29,NEOUSDT,9.145,9.145,8.51,8.761,158572.24,1387704.76
2019-08-28,NEOUSDT,9.594,9.637,9.029,9.145,182730.24,1704143.32
2019-08-27,NEOUSDT,9.826,9.863,9.494,9.594,148120.96,1421270.44
2019-08-26,NEOUSDT,9.662,9.971,9.634,9.826,114589.33,1123887.23
2019-08-25,NEOUSDT,10.1,10.13,9.45,9.662,155761.7,1530688.79
2019-08-24,NEOUSDT,9.88,10.35,9.568,10.1,190097.82,1887687.78
2019-08-23,NEOUSDT,9.794,10.04,9.675,9.88,140980.44,1392312.84
2019-08-22,NEOUSDT,9.468,9.916,9.248,9.794,215395.7,2068350.04
2019-08-21,NEOUSDT,9.898,9.919,9.206,9.468,233117.73,2211411.51
2019-08-20,NEOUSDT,10.14,10.15,9.723,9.898,150090.19,1483811.93
2019-08-19,NEOUSDT,9.839,10.16,9.796,10.14,190451.2,1905679.31
2019-08-18,NEOUSDT,9.663,10.11,9.568,9.839,219656.37,2176297.15
2019-08-17,NEOUSDT,9.803,9.836,9.523,9.663,137232.15,1331714.15
2019-08-16,NEOUSDT,9.897,10.03,9.456,9.803,287317.41,2795986.55
2019-08-15,NEOUSDT,9.453,10.04,9.414,9.897,203181.02,1978891.58
2019-08-14,NEOUSDT,10.49,10.51,9.28,9.453,334988.14,3302166.27
2019-08-13,NEOUSDT,10.69,10.75,10.24,10.49,216264.37,2270194.8
2019-08-12,NEOUSDT,11.1,11.13,10.65,10.69,122398.66,1322098.7
2019-08-11,NEOUSDT,10.6,11.15,10.54,11.1,206903.3,2238889.44
2019-08-10,NEOUSDT,10.37,11.29,10.37,10.6,319639.89,3429786.59
2019-08-09,NEOUSDT,10.89,10.93,10.2,10.37,186694.41,1956565.85
2019-08-08,NEOUSDT,11.31,11.37,10.61,10.89,286662.56,3119925.37
2019-08-07,NEOUSDT,11.36,11.64,11.1,11.31,206263.01,2347108.03
2019-08-06,NEOUSDT,12,12.26,11.14,11.36,338746.67,3979195.33
2019-08-05,NEOUSDT,11.88,12.58,11.88,12,380885.03,4642250.8
2019-08-04,NEOUSDT,12.12,12.28,11.74,11.88,204949.5,2450989.87
2019-08-03,NEOUSDT,11.66,12.18,11.63,12.12,212216.87,2525718.4
2019-08-02,NEOUSDT,11.86,11.97,11.47,11.66,219055.14,2571398.62
2019-08-01,NEOUSDT,11.73,11.87,11.31,11.86,258319.37,2985096.56
2019-07-31,NEOUSDT,11.25,12.05,11.22,11.73,393487.97,4586847.71
2019-07-30,NEOUSDT,11.27,11.43,11,11.25,154091.18,1726061.89
2019-07-29,NEOUSDT,11.24,11.58,10.93,11.27,229965.58,2598130.05
2019-07-28,NEOUSDT,11.37,11.51,10.6,11.24,244149.77,2747965.93
2019-07-27,NEOUSDT,11.96,12.35,11.06,11.37,347347.54,4006188.46
2019-07-26,NEOUSDT,11.94,12.11,11.61,11.96,180904.51,2141322.22
2019-07-25,NEOUSDT,11.77,12.39,11.72,11.94,395863.64,4789808.51
2019-07-24,NEOUSDT,11.23,12.09,10.83,11.77,527130.47,6034589.6
2019-07-23,NEOUSDT,12.07,12.24,11.16,11.23,561782.02,6477793.2
2019-07-22,NEOUSDT,12.95,13.14,11.62,12.07,605928.68,7407063.83
2019-07-21,NEOUSDT,13.32,13.6,12.45,12.95,467988.52,6076102.86
2019-07-20,NEOUSDT,12.96,13.88,12.74,13.32,466336.12,6207173.77
2019-07-19,NEOUSDT,13.01,13.18,12.16,12.96,759157.97,9577976.42
2019-07-18,NEOUSDT,10.76,13.48,10.53,13.01,1419094.16,17142916.65
2019-07-17,NEOUSDT,10.2,11.33,9.722,10.76,817351.24,8554243.56
2019-07-16,NEOUSDT,12.28,12.59,10.01,10.2,878912.47,9872186.12
2019-07-15,NEOUSDT,12.02,12.49,11.22,12.28,762793.84,9099587.03
2019-07-14,NEOUSDT,14.16,14.31,11.85,12.02,766491.42,9981911.43
2019-07-13,NEOUSDT,15.32,15.37,13.53,14.16,462561.96,6645998.49
2019-07-12,NEOUSDT,14.65,15.52,14.3,15.32,370343.0,5583165.44
2019-07-11,NEOUSDT,16.2,16.2,14.2,14.65,607024.39,9161235.43
2019-07-10,NEOUSDT,17.25,17.46,15.43,16.2,535959.54,8844460.95
2019-07-09,NEOUSDT,17.52,17.97,16.88,17.25,463399.26,8100974.42
2019-07-08,NEOUSDT,17.19,17.6,16.8,17.52,351661.67,6072837.51
2019-07-07,NEOUSDT,16.85,17.26,16.52,17.19,241858.15,4068376.93
2019-07-06,NEOUSDT,17.03,17.4,16.81,16.85,266628.09,4554676.54
2019-07-05,NEOUSDT,17.01,17.5,16.71,17.03,319922.21,5456251.19
2019-07-04,NEOUSDT,17.9,18.02,16.93,17.01,411372.48,7250084.18
2019-07-03,NEOUSDT,17.94,18.07,17.21,17.9,613783.06,10861365.6
2019-07-02,NEOUSDT,16.96,18.31,16.12,17.94,1103258.55,18881762.36
2019-07-01,NEOUSDT,16.75,17.34,15.5,16.96,846773.12,13950601.92
2019-06-30,NEOUSDT,18.43,18.6,16.73,16.75,611203.09,10757495.21
2019-06-29,NEOUSDT,18.23,19.1,17.4,18.43,827452.67,14936988.07
2019-06-28,NEOUSDT,17.2,18.76,17.01,18.23,927636.51,16729875.63
2019-06-27,NEOUSDT,19.37,20.27,16.2,17.2,1417770.67,25374076.59
2019-06-26,NEOUSDT,19.61,20.99,17.02,19.37,2277205.83,44713335.42
2019-06-25,NEOUSDT,17.97,19.74,17.53,19.61,1520771.98,28190172.5
2019-06-24,NEOUSDT,16.86,18.45,16.38,17.97,986887.41,17385530.14
