Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume BTC
2018-11-08,BCHBTC,0.0923,0.0925,0.085,0.085,137.24,12.03
2018-11-07,BCHBTC,0.092,0.0943,0.0903,0.0923,120.97,11.2
2018-11-06,BCHBTC,0.0836,0.0926,0.0833,0.092,55.79,4.961
2018-11-05,BCHBTC,0.0863,0.0868,0.082,0.0836,124.52,10.57
2018-11-04,BCHBTC,0.0741,0.0876,0.0733,0.0863,208.87,17.18
2018-11-03,BCHBTC,0.0719,0.0747,0.071,0.0741,70.85,5.155
2018-11-02,BCHBTC,0.0668,0.0731,0.0665,0.0719,67.26,4.75
2018-11-01,BCHBTC,0.0672,0.0672,0.0668,0.0668,0.3249,0.0217
2018-10-31,BCHBTC,0.066,0.0672,0.0655,0.0672,2.038,0.1343
2018-10-30,BCHBTC,0.0661,0.0683,0.0656,0.066,16.64,1.097
2018-10-29,BCHBTC,0.0677,0.0678,0.0656,0.0661,27.53,1.854
2018-10-28,BCHBTC,0.0678,0.0678,0.0675,0.0677,14.55,0.9851
2018-10-27,BCHBTC,0.0677,0.0678,0.0675,0.0678,21.13,1.429
2018-10-26,BCHBTC,0.0683,0.0683,0.0677,0.0677,1.172,0.07975
2018-10-25,BCHBTC,0.0681,0.0684,0.068,0.0683,9.183,0.6267
2018-10-24,BCHBTC,0.0686,0.069,0.0681,0.0681,4.297,0.2954
2018-10-23,BCHBTC,0.0698,0.0698,0.0683,0.0686,3.46,0.2386
2018-10-22,BCHBTC,0.0696,0.0698,0.0687,0.0698,7.343,0.5072
2018-10-21,BCHBTC,0.0694,0.0699,0.069,0.0696,10.85,0.7497
2018-10-20,BCHBTC,0.0688,0.0694,0.0684,0.0694,5.084,0.3528
2018-10-19,BCHBTC,0.0677,0.069,0.0672,0.0688,4.766,0.325
2018-10-18,BCHBTC,0.0688,0.0692,0.0671,0.0677,23.59,1.608
2018-10-17,BCHBTC,0.07,0.07,0.0685,0.0688,13.33,0.9212
2018-10-16,BCHBTC,0.0691,0.07,0.0691,0.07,7.137,0.4965
2018-10-15,BCHBTC,0.0701,0.0724,0.0689,0.0691,27.03,1.915
2018-10-14,BCHBTC,0.072,0.072,0.0701,0.0701,17.44,1.233
2018-10-13,BCHBTC,0.071,0.072,0.071,0.072,5.342,0.3802
2018-10-12,BCHBTC,0.0694,0.0717,0.0694,0.071,31.56,2.213
2018-10-11,BCHBTC,0.077,0.0773,0.0694,0.0694,43.25,3.154
2018-10-10,BCHBTC,0.0782,0.0782,0.077,0.077,3.156,0.2434
2018-10-09,BCHBTC,0.0789,0.0789,0.0779,0.0782,1.68,0.1313
2018-10-08,BCHBTC,0.0784,0.0792,0.0783,0.0789,34.29,2.697
2018-10-07,BCHBTC,0.0766,0.0786,0.0766,0.0784,13.46,1.044
2018-10-06,BCHBTC,0.0786,0.0786,0.0764,0.0766,50.1,3.852
2018-10-05,BCHBTC,0.0779,0.0786,0.0773,0.0786,16.26,1.265
2018-10-04,BCHBTC,0.0787,0.0793,0.0768,0.0779,14.38,1.129
2018-10-03,BCHBTC,0.0812,0.0812,0.0782,0.0787,5.136,0.4032
2018-10-02,BCHBTC,0.0796,0.0834,0.0796,0.0812,33.7,2.74
2018-10-01,BCHBTC,0.08,0.0807,0.0791,0.0796,9.323,0.7454
2018-09-30,BCHBTC,0.0811,0.0823,0.08,0.08,403.16,33.0
2018-09-29,BCHBTC,0.0805,0.083,0.0787,0.0811,63.42,5.118
2018-09-28,BCHBTC,0.0838,0.0846,0.0794,0.0805,52.47,4.267
2018-09-27,BCHBTC,0.0786,0.0898,0.0786,0.0838,192.56,16.07
2018-09-26,BCHBTC,0.0693,0.0831,0.0681,0.0786,219.45,17.09
2018-09-25,BCHBTC,0.0697,0.0703,0.0668,0.0693,70.87,4.938
2018-09-24,BCHBTC,0.0727,0.0727,0.069,0.0697,125.58,8.815
2018-09-23,BCHBTC,0.0717,0.0748,0.0717,0.0727,44.74,3.257
2018-09-22,BCHBTC,0.0739,0.074,0.0701,0.0717,114.68,8.243
2018-09-21,BCHBTC,0.0688,0.0751,0.0684,0.0739,266.35,19.04
2018-09-20,BCHBTC,0.0663,0.0701,0.0651,0.0688,136.82,9.11
2018-09-19,BCHBTC,0.0685,0.0694,0.065,0.0663,21.16,1.43
2018-09-18,BCHBTC,0.0671,0.0704,0.0658,0.0685,8.103,0.5547
2018-09-17,BCHBTC,0.0691,0.0704,0.0651,0.0671,7.865,0.53
2018-09-16,BCHBTC,0.0688,0.0691,0.0667,0.0691,2.081,0.1415
2018-09-15,BCHBTC,0.0691,0.0701,0.0673,0.0688,31.11,2.142
2018-09-14,BCHBTC,0.0722,0.0724,0.0683,0.0691,4.451,0.3138
2018-09-13,BCHBTC,0.0675,0.073,0.0675,0.0722,7.038,0.4915
2018-09-12,BCHBTC,0.07,0.07,0.0662,0.0675,12.24,0.8305
2018-09-11,BCHBTC,0.0734,0.075,0.0688,0.07,69.36,5.106
2018-09-10,BCHBTC,0.0753,0.0766,0.0733,0.0734,4.305,0.3233
2018-09-09,BCHBTC,0.0782,0.0782,0.0746,0.0753,17.42,1.315
2018-09-08,BCHBTC,0.079,0.0818,0.0757,0.0782,35.16,2.705
2018-09-07,BCHBTC,0.0782,0.0802,0.0772,0.079,20.85,1.638
2018-09-06,BCHBTC,0.079,0.0829,0.0765,0.0782,25.71,2.038
2018-09-05,BCHBTC,0.0853,0.0855,0.0755,0.079,28.97,2.345
2018-09-04,BCHBTC,0.0859,0.0875,0.0849,0.0853,4.043,0.3491
2018-09-03,BCHBTC,0.088,0.0892,0.0858,0.0859,33.31,2.865
2018-09-02,BCHBTC,0.0855,0.0908,0.084,0.088,69.47,6.11
2018-09-01,BCHBTC,0.0769,0.087,0.0768,0.0855,21.26,1.736
2018-08-31,BCHBTC,0.0797,0.0798,0.0767,0.0769,6.3,0.4862
2018-08-30,BCHBTC,0.0792,0.0798,0.0767,0.0797,6.19,0.4873
2018-08-29,BCHBTC,0.0801,0.0801,0.0781,0.0792,13.78,1.093
2018-08-28,BCHBTC,0.0798,0.0801,0.0781,0.0801,7.15,0.5629
2018-08-27,BCHBTC,0.0781,0.0798,0.0781,0.0798,5.602,0.4423
2018-08-26,BCHBTC,0.0796,0.0796,0.0781,0.0781,0.3303,0.02598
2018-08-25,BCHBTC,0.0799,0.0799,0.079,0.0796,9.901,0.7898
2018-08-24,BCHBTC,0.0818,0.0818,0.0799,0.0799,4.617,0.3699
2018-08-23,BCHBTC,0.0815,0.0818,0.0801,0.0818,11.57,0.9326
2018-08-22,BCHBTC,0.0822,0.0838,0.0809,0.0815,10.22,0.8401
2018-08-21,BCHBTC,0.0827,0.0844,0.0808,0.0822,12.27,1.017
2018-08-20,BCHBTC,0.0871,0.0882,0.0819,0.0827,3.79,0.3214
2018-08-19,BCHBTC,0.087,0.09,0.0869,0.0871,7.498,0.6657
2018-08-18,BCHBTC,0.091,0.0928,0.0859,0.087,54.44,4.855
2018-08-17,BCHBTC,0.0821,0.091,0.0821,0.091,13.54,1.216
2018-08-16,BCHBTC,0.0819,0.083,0.0808,0.0821,4.929,0.405
2018-08-15,BCHBTC,0.0817,0.085,0.0807,0.0819,18.2,1.502
2018-08-14,BCHBTC,0.0846,0.0848,0.0792,0.0817,27.81,2.263
2018-08-13,BCHBTC,0.0906,0.0906,0.0846,0.0846,21.11,1.839
2018-08-12,BCHBTC,0.0902,0.0918,0.0876,0.0906,23.9,2.145
2018-08-11,BCHBTC,0.0922,0.0949,0.0873,0.0902,14.27,1.277
2018-08-10,BCHBTC,0.0945,0.0945,0.0919,0.0922,8.776,0.8165
2018-08-09,BCHBTC,0.0933,0.0955,0.0926,0.0945,7.151,0.672
2018-08-08,BCHBTC,0.0976,0.0987,0.0917,0.0933,31.22,2.925
2018-08-07,BCHBTC,0.0988,0.101,0.0968,0.0976,24.33,2.41
2018-08-06,BCHBTC,0.1,0.1,0.0988,0.0988,6.986,0.6905
2018-08-05,BCHBTC,0.1009,0.1009,0.0983,0.1,10.37,1.03
2018-08-04,BCHBTC,0.0978,0.101,0.096,0.1009,12.74,1.265
2018-08-03,BCHBTC,0.0983,0.0983,0.0956,0.0978,5.792,0.5602
2018-08-02,BCHBTC,0.0999,0.1009,0.0972,0.0983,5.021,0.4985
2018-08-01,BCHBTC,0.0996,0.101,0.0981,0.0999,2.246,0.2234
2018-07-31,BCHBTC,0.0991,0.1008,0.0984,0.0996,4.838,0.4836
2018-07-30,BCHBTC,0.1017,0.1017,0.0985,0.0991,10.43,1.033
2018-07-29,BCHBTC,0.0995,0.1017,0.0994,0.1017,20.99,2.119
2018-07-28,BCHBTC,0.0997,0.1015,0.0995,0.0995,3.217,0.3223
2018-07-27,BCHBTC,0.1008,0.1023,0.0997,0.0997,14.14,1.427
2018-07-26,BCHBTC,0.1022,0.1025,0.1007,0.1008,5.254,0.5362
2018-07-25,BCHBTC,0.1014,0.1057,0.1001,0.1022,26.5,2.731
2018-07-24,BCHBTC,0.1011,0.107,0.0989,0.1014,67.38,7.015
2018-07-23,BCHBTC,0.1072,0.1081,0.1011,0.1011,10.59,1.107
2018-07-22,BCHBTC,0.1072,0.1082,0.1044,0.1072,2.408,0.2587
2018-07-21,BCHBTC,0.1075,0.1075,0.1031,0.1072,4.917,0.5169
2018-07-20,BCHBTC,0.1125,0.1125,0.1034,0.1075,27.04,2.892
2018-07-19,BCHBTC,0.1119,0.1152,0.11,0.1125,13.95,1.538
2018-07-18,BCHBTC,0.1162,0.12,0.1119,0.1119,13.26,1.519
2018-07-17,BCHBTC,0.1205,0.1222,0.115,0.1162,12.94,1.522
2018-07-16,BCHBTC,0.114,0.1205,0.114,0.1205,4.474,0.5238
2018-07-15,BCHBTC,0.1113,0.114,0.1113,0.114,11.5,1.294
2018-07-14,BCHBTC,0.1124,0.1131,0.11,0.1113,7.644,0.8567
2018-07-13,BCHBTC,0.1091,0.1124,0.1091,0.1124,1.562,0.1737
2018-07-12,BCHBTC,0.1086,0.112,0.1086,0.1091,3.803,0.4154
2018-07-11,BCHBTC,0.11,0.1119,0.1084,0.1086,9.634,1.053
2018-07-10,BCHBTC,0.1099,0.1103,0.109,0.11,0.6609,0.07238
