Created on 05-15-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HETH
2019-10-26,DASHETH,0.388,0.413,0.373,0.393,576.49,224.47
2019-10-25,DASHETH,0.389,0.391,0.376,0.388,323.65,123.7
2019-10-24,DASHETH,0.386,0.392,0.383,0.389,99.55,38.49
2019-10-23,DASHETH,0.392,0.405,0.386,0.386,297.25,117.93
2019-10-22,DASHETH,0.395,0.4,0.39,0.392,92.32,36.51
2019-10-21,DASHETH,0.395,0.4,0.39,0.395,119.87,47.48
2019-10-20,DASHETH,0.392,0.398,0.392,0.395,65.31,25.83
2019-10-19,DASHETH,0.392,0.395,0.389,0.392,92.77,36.33
2019-10-18,DASHETH,0.389,0.396,0.387,0.392,151.58,59.6
2019-10-17,DASHETH,0.389,0.395,0.387,0.389,140.16,54.72
2019-10-16,DASHETH,0.395,0.399,0.386,0.389,147.33,57.99
2019-10-15,DASHETH,0.381,0.399,0.379,0.395,156.5,61.15
2019-10-14,DASHETH,0.389,0.391,0.378,0.381,134.7,52.03
2019-10-13,DASHETH,0.392,0.393,0.388,0.389,111.35,43.44
2019-10-12,DASHETH,0.385,0.402,0.381,0.392,214.06,83.65
2019-10-11,DASHETH,0.38,0.391,0.374,0.385,172.17,65.88
2019-10-10,DASHETH,0.382,0.385,0.371,0.38,185.64,70.33
2019-10-09,DASHETH,0.391,0.393,0.379,0.382,186.36,72.12
2019-10-08,DASHETH,0.393,0.407,0.388,0.391,316.78,126.41
2019-10-07,DASHETH,0.407,0.409,0.392,0.393,138.4,55.33
2019-10-06,DASHETH,0.396,0.409,0.395,0.407,218.11,87.82
2019-10-05,DASHETH,0.396,0.399,0.394,0.396,135.84,53.79
2019-10-04,DASHETH,0.396,0.399,0.393,0.396,186.49,73.6
2019-10-03,DASHETH,0.39,0.405,0.39,0.396,200.91,79.82
2019-10-02,DASHETH,0.397,0.399,0.39,0.39,64.96,25.7
2019-10-01,DASHETH,0.392,0.4,0.389,0.397,253.5,100.08
2019-09-30,DASHETH,0.406,0.409,0.392,0.392,147.52,58.97
2019-09-29,DASHETH,0.409,0.414,0.403,0.406,88.89,36.23
2019-09-28,DASHETH,0.409,0.416,0.406,0.409,129.08,52.74
2019-09-27,DASHETH,0.415,0.419,0.407,0.409,132.47,54.5
2019-09-26,DASHETH,0.426,0.431,0.413,0.415,274.85,116.78
2019-09-25,DASHETH,0.431,0.447,0.416,0.426,624.96,268.75
2019-09-24,DASHETH,0.432,0.475,0.418,0.431,1621.71,711.2
2019-09-23,DASHETH,0.429,0.441,0.422,0.432,360.97,154.79
2019-09-22,DASHETH,0.432,0.447,0.429,0.429,418.82,181.87
2019-09-21,DASHETH,0.444,0.444,0.43,0.432,287.94,126.52
2019-09-20,DASHETH,0.453,0.455,0.441,0.444,199.18,89.06
2019-09-19,DASHETH,0.465,0.484,0.432,0.453,1309.81,600.39
2019-09-18,DASHETH,0.454,0.476,0.443,0.465,467.85,213.12
2019-09-17,DASHETH,0.469,0.475,0.445,0.454,452.74,206.43
2019-09-16,DASHETH,0.469,0.484,0.455,0.469,367.78,172.21
2019-09-15,DASHETH,0.484,0.488,0.469,0.469,103.91,49.59
2019-09-14,DASHETH,0.516,0.526,0.484,0.484,522.59,264.7
2019-09-13,DASHETH,0.473,0.526,0.47,0.516,259.59,128.25
2019-09-12,DASHETH,0.463,0.553,0.459,0.473,736.75,368.77
2019-09-11,DASHETH,0.46,0.475,0.459,0.463,148.56,69.48
2019-09-10,DASHETH,0.477,0.477,0.46,0.46,190.48,89.76
2019-09-09,DASHETH,0.483,0.497,0.474,0.477,298.32,144.49
2019-09-08,DASHETH,0.471,0.486,0.468,0.483,509.17,243.12
2019-09-07,DASHETH,0.474,0.477,0.463,0.471,334.79,158.23
2019-09-06,DASHETH,0.46,0.475,0.453,0.474,947.76,441.78
2019-09-05,DASHETH,0.463,0.476,0.459,0.46,103.38,48.27
2019-09-04,DASHETH,0.462,0.466,0.452,0.463,308.65,142.29
2019-09-03,DASHETH,0.456,0.464,0.45,0.462,384.22,175.44
2019-09-02,DASHETH,0.466,0.481,0.456,0.456,439.27,206.11
2019-09-01,DASHETH,0.465,0.468,0.462,0.466,108.23,50.28
2019-08-31,DASHETH,0.475,0.491,0.461,0.465,768.72,366.85
2019-08-30,DASHETH,0.472,0.485,0.471,0.475,150.21,71.69
2019-08-29,DASHETH,0.488,0.49,0.468,0.472,376.69,179.41
2019-08-28,DASHETH,0.484,0.516,0.477,0.488,569.9,283.93
2019-08-27,DASHETH,0.489,0.491,0.479,0.484,95.3,46.3
2019-08-26,DASHETH,0.49,0.492,0.482,0.489,229.11,111.18
2019-08-25,DASHETH,0.483,0.499,0.48,0.49,157.91,77.53
2019-08-24,DASHETH,0.481,0.49,0.476,0.483,172.74,83.41
2019-08-23,DASHETH,0.477,0.501,0.472,0.481,6481.67,3145.14
2019-08-22,DASHETH,0.481,0.483,0.468,0.477,133.68,63.79
2019-08-21,DASHETH,0.477,0.486,0.471,0.481,153.96,73.83
2019-08-20,DASHETH,0.48,0.483,0.474,0.477,105.51,50.6
2019-08-19,DASHETH,0.487,0.491,0.475,0.48,137.12,66.18
2019-08-18,DASHETH,0.494,0.506,0.483,0.487,260.54,128.76
2019-08-17,DASHETH,0.504,0.507,0.49,0.494,237.64,119.03
2019-08-16,DASHETH,0.503,0.513,0.498,0.504,443.52,224.01
2019-08-15,DASHETH,0.513,0.523,0.502,0.503,550.43,280.21
2019-08-14,DASHETH,0.485,0.539,0.481,0.513,639.07,328.27
2019-08-13,DASHETH,0.493,0.514,0.482,0.485,686.35,344.27
2019-08-12,DASHETH,0.494,0.501,0.483,0.493,373.56,184.39
2019-08-11,DASHETH,0.48,0.511,0.472,0.494,981.28,487.42
2019-08-10,DASHETH,0.492,0.494,0.475,0.48,498.18,241.84
2019-08-09,DASHETH,0.478,0.496,0.471,0.492,240.44,117.04
2019-08-08,DASHETH,0.475,0.482,0.467,0.478,466.98,220.35
2019-08-07,DASHETH,0.472,0.482,0.468,0.475,380.59,180.64
2019-08-06,DASHETH,0.472,0.478,0.458,0.472,289.77,134.57
2019-08-05,DASHETH,0.479,0.485,0.465,0.472,417.19,197.56
2019-08-04,DASHETH,0.481,0.485,0.475,0.479,92.17,44.11
2019-08-03,DASHETH,0.483,0.488,0.477,0.481,85.89,41.4
2019-08-02,DASHETH,0.493,0.504,0.481,0.483,468.8,231.93
2019-08-01,DASHETH,0.498,0.502,0.491,0.493,92.73,45.93
2019-07-31,DASHETH,0.499,0.502,0.489,0.498,699.25,345.78
2019-07-30,DASHETH,0.5,0.509,0.498,0.499,393.21,198.56
2019-07-29,DASHETH,0.511,0.512,0.498,0.5,207.3,104.77
2019-07-28,DASHETH,0.533,0.536,0.508,0.511,199.39,104.73
2019-07-27,DASHETH,0.525,0.536,0.521,0.533,300.2,159.2
2019-07-26,DASHETH,0.525,0.528,0.519,0.525,107.14,56.08
2019-07-25,DASHETH,0.506,0.525,0.497,0.525,435.67,221.4
2019-07-24,DASHETH,0.515,0.53,0.501,0.506,442.59,230.35
2019-07-23,DASHETH,0.526,0.531,0.509,0.515,249.5,130.3
2019-07-22,DASHETH,0.526,0.533,0.52,0.526,365.34,192.06
2019-07-21,DASHETH,0.51,0.534,0.508,0.526,160.64,83.87
2019-07-20,DASHETH,0.509,0.521,0.506,0.51,250.51,128.69
2019-07-19,DASHETH,0.487,0.516,0.485,0.509,361.34,180.32
2019-07-18,DASHETH,0.485,0.497,0.477,0.487,92.02,44.95
2019-07-17,DASHETH,0.501,0.509,0.481,0.485,762.74,374.68
2019-07-16,DASHETH,0.531,0.533,0.5,0.501,650.74,335.22
2019-07-15,DASHETH,0.544,0.583,0.519,0.531,1432.59,794.6
2019-07-14,DASHETH,0.523,0.552,0.519,0.544,889.84,478.53
2019-07-13,DASHETH,0.52,0.539,0.513,0.523,674.31,354.52
2019-07-12,DASHETH,0.533,0.543,0.514,0.52,617.38,327.54
2019-07-11,DASHETH,0.52,0.536,0.509,0.533,1230.99,641.95
2019-07-10,DASHETH,0.508,0.526,0.495,0.52,1371.22,697.4
2019-07-09,DASHETH,0.509,0.516,0.5,0.508,813.09,411.74
2019-07-08,DASHETH,0.516,0.521,0.508,0.509,774.64,398.66
2019-07-07,DASHETH,0.535,0.543,0.511,0.516,687.38,363.6
2019-07-06,DASHETH,0.536,0.539,0.53,0.535,468.68,251.08
2019-07-05,DASHETH,0.549,0.549,0.523,0.536,310.81,165.95
2019-07-04,DASHETH,0.522,0.551,0.522,0.549,234.29,126.51
2019-07-03,DASHETH,0.522,0.536,0.52,0.522,247.86,130.85
2019-07-02,DASHETH,0.523,0.539,0.522,0.522,178.25,94.45
2019-07-01,DASHETH,0.537,0.544,0.518,0.525,154.0,81.66
2019-06-30,DASHETH,0.532,0.545,0.528,0.537,267.11,143.2
2019-06-29,DASHETH,0.549,0.562,0.527,0.532,250.17,137.0
2019-06-28,DASHETH,0.532,0.553,0.521,0.549,192.13,102.91
2019-06-27,DASHETH,0.517,0.548,0.506,0.532,678.77,356.86
2019-06-26,DASHETH,0.56,0.567,0.512,0.517,643.82,342.04
2019-06-25,DASHETH,0.567,0.576,0.555,0.56,207.16,117.21
2019-06-24,DASHETH,0.565,0.578,0.562,0.567,228.75,130.19
2019-06-23,DASHETH,0.567,0.572,0.556,0.565,295.2,166.21
2019-06-22,DASHETH,0.567,0.584,0.557,0.567,561.02,320.55
2019-06-21,DASHETH,0.595,0.595,0.56,0.567,236.62,135.56
2019-06-20,DASHETH,0.603,0.604,0.589,0.595,237.28,141.32
2019-06-19,DASHETH,0.598,0.607,0.59,0.603,157.86,94.32
2019-06-18,DASHETH,0.58,0.62,0.58,0.598,589.54,353.62
2019-06-17,DASHETH,0.582,0.592,0.576,0.58,173.37,101.28
2019-06-16,DASHETH,0.576,0.587,0.571,0.582,106.71,61.9
2019-06-15,DASHETH,0.583,0.585,0.571,0.576,164.67,95.51
2019-06-14,DASHETH,0.601,0.608,0.579,0.583,574.59,341.17
2019-06-13,DASHETH,0.595,0.613,0.592,0.601,522.06,313.67
2019-06-12,DASHETH,0.602,0.609,0.581,0.595,454.04,270.18
2019-06-11,DASHETH,0.611,0.611,0.598,0.602,292.66,176.21
2019-06-10,DASHETH,0.615,0.619,0.608,0.616,125.47,76.95
2019-06-09,DASHETH,0.596,0.622,0.591,0.615,246.98,149.88
2019-06-08,DASHETH,0.598,0.601,0.595,0.596,20.66,12.35
2019-06-07,DASHETH,0.576,0.602,0.576,0.598,132.08,78.19
2019-06-06,DASHETH,0.598,0.604,0.575,0.576,180.04,106.3
2019-06-05,DASHETH,0.596,0.605,0.593,0.598,148.54,88.85
2019-06-04,DASHETH,0.623,0.636,0.596,0.596,480.65,295.12
2019-06-03,DASHETH,0.612,0.627,0.611,0.623,182.51,113.02
2019-06-02,DASHETH,0.617,0.623,0.608,0.612,161.02,98.85
2019-06-01,DASHETH,0.62,0.623,0.605,0.617,365.56,224.69
2019-05-31,DASHETH,0.639,0.646,0.616,0.62,421.93,264.81
2019-05-30,DASHETH,0.625,0.654,0.596,0.639,865.78,537.89
2019-05-29,DASHETH,0.625,0.643,0.609,0.625,445.76,279.28
2019-05-28,DASHETH,0.612,0.643,0.605,0.625,519.88,321.8
2019-05-27,DASHETH,0.61,0.628,0.603,0.612,670.9,412.24
2019-05-26,DASHETH,0.621,0.624,0.604,0.61,575.54,353.69
2019-05-25,DASHETH,0.626,0.637,0.616,0.621,325.72,203.94
2019-05-24,DASHETH,0.63,0.646,0.622,0.626,535.92,339.22
2019-05-23,DASHETH,0.632,0.647,0.615,0.63,554.11,349.74
2019-05-22,DASHETH,0.653,0.653,0.63,0.632,332.72,212.67
2019-05-21,DASHETH,0.666,0.666,0.637,0.653,340.95,221.63
2019-05-20,DASHETH,0.665,0.689,0.652,0.666,555.18,370.75
2019-05-19,DASHETH,0.601,0.672,0.587,0.665,447.09,275.57
2019-05-18,DASHETH,0.57,0.61,0.566,0.601,590.84,350.33
2019-05-17,DASHETH,0.562,0.586,0.551,0.57,741.06,418.5
2019-05-16,DASHETH,0.621,0.623,0.5556,0.562,692.84,414.02
2019-05-15,DASHETH,0.653,0.676,0.601,0.621,748.21,480.16
2019-05-14,DASHETH,0.669,0.689,0.64,0.653,898.93,597.57
2019-05-13,DASHETH,0.665,0.71,0.652,0.669,1446.47,974.65
2019-05-12,DASHETH,0.642,0.672,0.623,0.665,724.24,465.5
2019-05-11,DASHETH,0.653,0.653,0.611,0.642,734.5,466.28
2019-05-10,DASHETH,0.658,0.665,0.638,0.653,487.61,318.81
2019-05-09,DASHETH,0.69,0.692,0.654,0.658,560.28,379.14
2019-05-08,DASHETH,0.693,0.7,0.683,0.69,208.18,143.77
2019-05-07,DASHETH,0.695,0.695,0.671,0.686,92.08,62.88
2019-05-06,DASHETH,0.727,0.742,0.676,0.695,345.79,246.19
2019-05-05,DASHETH,0.734,0.744,0.725,0.727,260.35,190.87
2019-05-04,DASHETH,0.719,0.744,0.714,0.734,379.53,277.69
2019-05-03,DASHETH,0.719,0.73,0.707,0.719,191.67,137.53
2019-05-02,DASHETH,0.727,0.738,0.718,0.719,221.99,160.81
2019-05-01,DASHETH,0.686,0.739,0.682,0.727,236.0,166.81
2019-04-30,DASHETH,0.694,0.699,0.684,0.686,212.51,146.62
2019-04-29,DASHETH,0.7,0.718,0.689,0.694,219.1,153.36
2019-04-28,DASHETH,0.691,0.702,0.69,0.7,206.04,143.56
2019-04-27,DASHETH,0.699,0.702,0.685,0.691,144.66,100.5
2019-04-26,DASHETH,0.704,0.713,0.691,0.699,327.09,229.96
2019-04-25,DASHETH,0.699,0.723,0.699,0.704,602.97,428.97
2019-04-24,DASHETH,0.691,0.731,0.682,0.699,749.27,526.77
2019-04-23,DASHETH,0.715,0.721,0.69,0.691,225.36,158.95
2019-04-22,DASHETH,0.717,0.72,0.709,0.715,212.49,151.65
2019-04-21,DASHETH,0.712,0.724,0.701,0.717,167.3,119.05
2019-04-20,DASHETH,0.707,0.72,0.7,0.712,200.73,142.18
2019-04-19,DASHETH,0.713,0.719,0.704,0.707,165.88,117.78
