Created on 05-15-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETC,Volume ETH
2020-02-18,ETCETH,0.03607,0.0362,0.03405,0.03489,1815439.57,64637.17
2020-02-17,ETCETH,0.03685,0.03799,0.0357,0.03607,3389562.85,124438.74
2020-02-16,ETCETH,0.03927,0.03957,0.0359,0.03685,3363644.07,127350.93
2020-02-15,ETCETH,0.04206,0.04273,0.03601,0.03927,3061741.66,125128.14
2020-02-14,ETCETH,0.04488,0.04515,0.0418,0.04206,2788356.7,121744.52
2020-02-13,ETCETH,0.04594,0.04802,0.0437,0.04488,3126768.6,140551.75
2020-02-12,ETCETH,0.05046,0.05074,0.04449,0.04594,2859520.56,136881.12
2020-02-11,ETCETH,0.05305,0.05522,0.05002,0.05046,2564735.79,134494.74
2020-02-10,ETCETH,0.05122,0.05531,0.05063,0.05305,2633023.11,138545.44
2020-02-09,ETCETH,0.05245,0.05391,0.0503,0.05122,2806339.27,144904.18
2020-02-08,ETCETH,0.05239,0.05434,0.05133,0.05245,2873735.24,150458.61
2020-02-07,ETCETH,0.05687,0.05689,0.05172,0.05239,2943706.69,156998.5
2020-02-06,ETCETH,0.06054,0.06381,0.05304,0.05687,2864165.28,167364.93
2020-02-05,ETCETH,0.06034,0.06335,0.05984,0.06054,2428957.32,147784.83
2020-02-04,ETCETH,0.06214,0.06235,0.0599,0.06034,2366419.17,144782.09
2020-02-03,ETCETH,0.0603,0.06366,0.06006,0.06214,2454703.57,152855.78
2020-02-02,ETCETH,0.0628,0.06382,0.05954,0.0603,2542417.15,155517.97
2020-02-01,ETCETH,0.06294,0.06466,0.06131,0.0628,2470828.65,155921.74
2020-01-31,ETCETH,0.06649,0.06668,0.06063,0.06294,2425740.94,154447.15
2020-01-30,ETCETH,0.07051,0.07186,0.06561,0.06649,2317088.12,159756.12
2020-01-29,ETCETH,0.06489,0.07227,0.0647,0.07051,2422564.01,167115.58
2020-01-28,ETCETH,0.06134,0.06726,0.06045,0.06489,2480834.91,156703.2
2020-01-27,ETCETH,0.05467,0.06559,0.05455,0.06134,2530174.72,149807.78
2020-01-26,ETCETH,0.05237,0.05619,0.05154,0.05467,2179024.09,116406.6
2020-01-25,ETCETH,0.053,0.0537,0.05102,0.05237,2428705.16,127517.29
2020-01-24,ETCETH,0.05188,0.0548,0.04969,0.053,2580045.03,135151.87
2020-01-23,ETCETH,0.0556,0.05586,0.0506,0.05188,2461039.1,131657.79
2020-01-22,ETCETH,0.05266,0.05565,0.05266,0.0556,629153.14,34644.01
2020-01-21,ETCETH,0.05166,0.05428,0.05123,0.05266,1893343.83,100153.28
2020-01-20,ETCETH,0.05099,0.05422,0.04905,0.05166,2628501.67,135548.21
2020-01-19,ETCETH,0.04761,0.05379,0.04716,0.05099,2997077.35,150502.79
2020-01-18,ETCETH,0.0558,0.05701,0.0468,0.04761,3244026.11,169964.3
2020-01-17,ETCETH,0.05122,0.07058,0.04992,0.0558,2786653.87,162834.05
2020-01-16,ETCETH,0.04796,0.05294,0.04575,0.05122,2748245.61,133293.4
2020-01-15,ETCETH,0.0409,0.0488,0.04036,0.04796,3320461.27,149528.45
2020-01-14,ETCETH,0.03814,0.0448,0.03768,0.0409,2410759.51,96613.51
2020-01-13,ETCETH,0.03813,0.03835,0.03733,0.03814,1750569.82,66242.56
