Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XEM,Volume JPY
2018-12-24,XEMJPY,8.087,8.8,8.087,8.31,27893280.6,236962730.49
2018-12-23,XEMJPY,8.14,8.3,8,8.087,10362414.0,84410471.4
2018-12-22,XEMJPY,8.28,8.38,7.811,8.14,13633015.7,109687018.88
2018-12-21,XEMJPY,8.13,8.59,7.9,8.28,24153307.7,198328266.18
2018-12-20,XEMJPY,7.513,8.2,7.452,8.13,22594947.3,179479413.16
2018-12-19,XEMJPY,7.362,8.45,7.31,7.513,37724841.1,297582066.22
2018-12-18,XEMJPY,7.229,7.474,7.01,7.362,13079558.7,94394912.61
2018-12-17,XEMJPY,6.723,7.384,6.64,7.229,17961910.8,125311300.99
2018-12-16,XEMJPY,6.52,7,6.5,6.723,11957308.1,81538696.4
2018-12-15,XEMJPY,7,7.07,6.26,6.52,19482455.4,128243656.86
2018-12-14,XEMJPY,7.53,7.6,6.9,7,16275119.9,116562972.39
2018-12-13,XEMJPY,7.81,7.9,7.505,7.53,7313915.0,56180945.73
2018-12-12,XEMJPY,7.85,8,7.762,7.81,6273101.1,49266311.72
2018-12-11,XEMJPY,8.08,8.08,7.75,7.85,8081766.7,63658333.17
2018-12-10,XEMJPY,8.251,8.36,7.851,8.08,13857477.5,111871000.21
2018-12-09,XEMJPY,7.861,8.45,7.856,8.251,9963881.1,81127019.12
2018-12-08,XEMJPY,8.05,8.35,7.752,7.861,11515426.9,92907814.78
2018-12-07,XEMJPY,7.91,8.11,7.4,8.05,21075584.1,162964914.99
2018-12-06,XEMJPY,8.525,8.69,7.9,7.91,16858462.9,139332842.53
2018-12-05,XEMJPY,8.63,8.84,8.4,8.525,9489085.1,81671555.32
2018-12-04,XEMJPY,8.4,9.3,8.159,8.63,20815088.1,181422010.79
2018-12-03,XEMJPY,8.808,8.808,8.1,8.4,15892273.6,133490259.3
2018-12-02,XEMJPY,8.82,9.05,8.652,8.808,8225694.8,72866073.79
2018-12-01,XEMJPY,8.46,9.09,8.381,8.82,15370865.2,134566491.28
2018-11-30,XEMJPY,8.989,9.18,8.05,8.46,20016629.2,169909225.84
2018-11-29,XEMJPY,9.249,9.37,8.702,8.989,20363046.3,183906870.43
2018-11-28,XEMJPY,8.414,9.5,8.414,9.249,42662265.5,387790943.65
2018-11-27,XEMJPY,7.712,8.575,7.562,8.414,27288710.7,220563865.17
2018-11-26,XEMJPY,7.705,8.3,7.29,7.712,23993996.1,186717378.6
2018-11-25,XEMJPY,7.9,8.1,6.76,7.705,43290439.2,318951315.94
2018-11-24,XEMJPY,8.725,8.916,7.52,7.9,22073932.5,181924730.61
2018-11-23,XEMJPY,8.96,9.08,8.5,8.725,13284883.4,116343088.7
2018-11-22,XEMJPY,9.2,9.69,8.96,8.96,15865322.6,147681393.79
2018-11-21,XEMJPY,8.7,9.422,8.334,9.2,20657547.5,183760183.15
2018-11-20,XEMJPY,9.3,9.8,8.008,8.7,43260513.5,384930151.05
2018-11-19,XEMJPY,10.44,10.48,9.201,9.3,29143135.8,285509196.68
2018-11-18,XEMJPY,10.45,10.56,10.37,10.44,5892008.28,61577325.02
2018-11-17,XEMJPY,10.64,10.69,10.4,10.45,6231910.4,65477151.03
2018-11-16,XEMJPY,10.7,10.93,10.35,10.64,10601481.5,112437845.01
2018-11-15,XEMJPY,11.1,11.25,9.863,10.7,34990997.4,365206817.76
2018-11-14,XEMJPY,12.12,12.38,10,11.1,42344972.7,472798974.44
2018-11-13,XEMJPY,12.4,13.72,12.02,12.12,40672799.6,523341989.03
2018-11-12,XEMJPY,10.53,14.4,10.45,12.4,69131954.9,837032223.46
2018-11-11,XEMJPY,10.63,10.68,10.43,10.53,3140963.5,33102882.86
2018-11-10,XEMJPY,10.42,10.69,10.42,10.63,2562113.7,27008767.41
2018-11-09,XEMJPY,10.51,10.64,10.41,10.42,4145856.0,43562843.77
2018-11-08,XEMJPY,11.08,11.11,10.51,10.51,6099065.6,65622470.08
2018-11-07,XEMJPY,11.17,11.4,10.9,11.08,10263763.4,114143265.27
2018-11-06,XEMJPY,10.68,11.19,10.59,11.17,7590653.6,81855631.51
2018-11-05,XEMJPY,10.82,10.87,10.6,10.68,4908928.3,52509942.34
2018-11-04,XEMJPY,10.54,10.87,10.41,10.82,5504297.0,58320910.37
2018-11-03,XEMJPY,10.56,10.57,10.38,10.54,3261331.2,34252585.97
2018-11-02,XEMJPY,10.25,10.63,10.25,10.56,5516011.2,57283411.49
2018-11-01,XEMJPY,10.31,10.31,10.15,10.25,3271790.7,33427010.26
2018-10-31,XEMJPY,10.2,10.31,10,10.31,5007867.3,50869348.81
2018-10-30,XEMJPY,9.772,10.28,9.772,10.2,7056463.4,71017443.13
2018-10-29,XEMJPY,10.33,10.33,9.601,9.772,10451704.7,104608934.18
2018-10-28,XEMJPY,10.12,10.34,10.05,10.33,7744384.2,78880928.59
2018-10-27,XEMJPY,10.57,10.64,10,10.12,8363220.2,85545368.23
2018-10-26,XEMJPY,10.88,10.89,10.48,10.57,6256318.6,66720457.15
2018-10-25,XEMJPY,11.02,11.03,10.67,10.88,6139221.6,66247653.04
2018-10-24,XEMJPY,11.09,11.14,10.93,11.02,5359487.6,59110456.18
2018-10-23,XEMJPY,11.15,11.25,10.9,11.09,7800508.1,86291890.94
2018-10-22,XEMJPY,11.08,11.35,10.86,11.15,6965917.0,77392731.58
2018-10-21,XEMJPY,10.67,11.34,10.67,11.08,6439949.0,70384478.7
2018-10-20,XEMJPY,10.54,10.68,10.49,10.67,4175673.6,44182093.54
2018-10-19,XEMJPY,10.6,10.63,10.48,10.54,3242694.7,34181296.28
2018-10-18,XEMJPY,10.66,10.7,10.5,10.6,4456907.7,47334277.91
2018-10-17,XEMJPY,10.67,10.75,10.54,10.66,4145881.4,44032788.92
2018-10-16,XEMJPY,10.58,10.7,10.51,10.67,3877986.6,41069687.56
2018-10-15,XEMJPY,10.4,10.85,10.3,10.58,11356709.6,119504230.55
2018-10-14,XEMJPY,10.4,10.6,10.31,10.4,4549577.7,47415538.67
2018-10-13,XEMJPY,10.37,10.5,10.3,10.4,3114425.3,32362194.89
2018-10-12,XEMJPY,10.1,10.65,9.722,10.37,11104554.4,113937761.98
2018-10-11,XEMJPY,11.62,11.64,10.09,10.1,23310041.0,248634790.12
2018-10-10,XEMJPY,12.17,12.23,11.5,11.62,10827372.8,128422110.64
2018-10-09,XEMJPY,12.3,12.38,12,12.17,6208401.2,75565339.91
2018-10-08,XEMJPY,12.08,12.33,11.98,12.3,6998213.6,85105249.79
2018-10-07,XEMJPY,11.9,12.27,11.8,12.08,6715305.6,80497664.61
2018-10-06,XEMJPY,12.1,12.14,11.8,11.9,6855864.1,81960841.44
2018-10-05,XEMJPY,12,12.19,11.73,12.1,8221133.7,98348915.99
2018-10-04,XEMJPY,11.66,12.44,11.66,12,14548551.0,176424196.75
2018-10-03,XEMJPY,11.75,11.92,11.22,11.66,14889765.7,172808387.03
2018-10-02,XEMJPY,11.7,12.96,11.63,11.75,33432478.5,410805288.77
2018-10-01,XEMJPY,10.84,11.8,10.84,11.7,19758765.4,223078105.46
2018-09-30,XEMJPY,10.79,10.89,10.74,10.84,5948463.2,64343509.62
2018-09-29,XEMJPY,10.66,10.91,10.56,10.79,7018362.8,75327335.16
2018-09-28,XEMJPY,10.85,11.07,10.6,10.66,11895936.3,129126630.62
2018-09-27,XEMJPY,10.47,10.92,10.37,10.85,16627493.9,177153290.9
2018-09-26,XEMJPY,10.41,10.76,10.15,10.47,11638669.1,122157071.89
2018-09-25,XEMJPY,10.75,10.8,10.01,10.41,16311865.1,169818402.29
2018-09-24,XEMJPY,11.29,11.35,10.6,10.75,13269634.9,144796002.4
2018-09-23,XEMJPY,10.8,11.44,10.7,11.29,17581676.1,196338179.64
2018-09-22,XEMJPY,11.4,11.57,10.31,10.8,18601597.3,202032026.13
2018-09-21,XEMJPY,9.922,11.59,9.922,11.4,30885317.3,331380632.87
2018-09-20,XEMJPY,9.3,10.03,9.23,9.922,20633618.7,197503633.2
2018-09-19,XEMJPY,9.96,10.1,9.164,9.3,20134345.3,194709462.4
2018-09-18,XEMJPY,9.6,10.1,9.52,9.96,9708406.4,95502497.63
2018-09-17,XEMJPY,10.12,10.24,9.48,9.6,12529650.2,123235107.62
2018-09-16,XEMJPY,10.1,10.16,9.8,10.12,7346281.8,73588749.0
2018-09-15,XEMJPY,10.06,10.25,9.968,10.1,6187710.4,62476243.05
2018-09-14,XEMJPY,10.42,10.62,9.76,10.06,17660012.4,179808011.86
2018-09-13,XEMJPY,9.91,10.46,9.589,10.42,26585165.3,266913433.27
2018-09-12,XEMJPY,9.78,9.91,8.575,9.91,37135338.4,342460531.76
2018-09-11,XEMJPY,10.4,10.58,9.588,9.78,15882568.0,160251146.35
2018-09-10,XEMJPY,10.79,11.08,10.36,10.4,10523296.7,112455083.2
2018-09-09,XEMJPY,10.88,11.27,10.77,10.79,9835671.2,107627673.47
2018-09-08,XEMJPY,11.15,11.43,10.58,10.88,11625386.7,128218961.0
2018-09-07,XEMJPY,11.35,11.49,10.94,11.15,13215599.3,148572940.7
2018-09-06,XEMJPY,11.15,11.65,10.74,11.35,24135600.9,269837985.83
2018-09-05,XEMJPY,13.58,13.9,11.15,11.15,31939163.7,399614307.48
2018-09-04,XEMJPY,12.72,14.5,12.65,13.58,48208755.6,655679570.97
2018-09-03,XEMJPY,12.56,12.89,12.35,12.72,16056412.6,202588441.84
2018-09-02,XEMJPY,12.3,12.95,11.97,12.56,21768485.4,271238333.53
2018-09-01,XEMJPY,11.7,12.65,11.66,12.3,22477834.3,273977053.64
2018-08-31,XEMJPY,11.78,11.8,11.3,11.7,8843147.7,101609078.0
2018-08-30,XEMJPY,12.09,12.1,11.17,11.78,20510669.2,237070719.78
2018-08-29,XEMJPY,12.58,12.59,11.92,12.09,14511033.5,178372828.25
2018-08-28,XEMJPY,12.08,12.6,11.7,12.58,25049934.9,305745704.33
2018-08-27,XEMJPY,11.55,12.1,11.4,12.08,10563409.9,123100628.87
2018-08-26,XEMJPY,11.45,11.55,11.12,11.55,8215381.2,93183994.79
2018-08-25,XEMJPY,11.35,11.6,11.21,11.45,8945783.2,101766187.08
2018-08-24,XEMJPY,10.89,11.55,10.85,11.35,14840496.2,166093148.67
2018-08-23,XEMJPY,10.61,11.05,10.6,10.89,8730391.1,94144202.8
2018-08-22,XEMJPY,11.09,11.7,10.5,10.61,15917041.2,177454754.24
2018-08-21,XEMJPY,11.19,11.48,10.89,11.09,11916554.5,133169491.67
2018-08-20,XEMJPY,11.92,12,11.18,11.19,13368584.9,154624849.51
2018-08-19,XEMJPY,11.67,12.13,11.55,11.92,12118745.9,143653640.05
2018-08-18,XEMJPY,12.96,13.36,11.35,11.67,31033077.5,380600682.15
2018-08-17,XEMJPY,11.5,13.03,11.45,12.96,40922791.8,493134715.15
2018-08-16,XEMJPY,11.5,11.7,10.8,11.5,26250735.9,296413792.16
2018-08-15,XEMJPY,11.9,12.65,11.49,11.5,28016895.7,338857287.02
2018-08-14,XEMJPY,11.88,12,10.68,11.9,20030178.4,226571395.99
2018-08-13,XEMJPY,11.91,13.12,11.8,11.88,18580979.8,230787485.11
2018-08-12,XEMJPY,11.81,12.27,11.78,11.91,8074966.8,97432472.36
2018-08-11,XEMJPY,12.8,12.8,11.31,11.81,24484668.0,292485865.33
2018-08-10,XEMJPY,13.8,14.04,12.5,12.8,17463234.8,231246962.47
2018-08-09,XEMJPY,13.09,14.2,13.01,13.8,22086941.4,297895516.34
2018-08-08,XEMJPY,15.03,15.03,13,13.09,23023813.2,319687607.16
2018-08-07,XEMJPY,15.61,16.17,14.9,15.03,10212302.0,159924796.96
2018-08-06,XEMJPY,16.36,16.47,15.25,15.61,7986919.7,127030391.14
2018-08-05,XEMJPY,16.1,16.39,15.9,16.36,5555347.6,89432017.93
2018-08-04,XEMJPY,16.86,17.15,15.73,16.1,9744967.1,158598594.55
2018-08-03,XEMJPY,17.12,17.17,16.3,16.86,10079238.5,168334840.7
2018-08-02,XEMJPY,17.88,18.3,17,17.12,7465028.8,130796367.87
2018-08-01,XEMJPY,18.17,18.21,17.31,17.88,10944903.6,194592773.63
2018-07-31,XEMJPY,19.05,19.12,18,18.17,9686122.2,178167536.9
2018-07-30,XEMJPY,19.6,19.69,18.63,19.05,8225713.3,157776279.4
2018-07-29,XEMJPY,19.82,19.92,19.47,19.6,5203268.2,102313638.41
2018-07-28,XEMJPY,19.74,19.83,19.26,19.82,5568207.5,108587380.64
2018-07-27,XEMJPY,19.7,20,18.85,19.74,12791672.2,249174957.94
2018-07-26,XEMJPY,19.95,20.57,19.4,19.7,12174822.6,245215309.35
2018-07-25,XEMJPY,20.01,20.6,19.5,19.95,15467767.2,309863818.6
2018-07-24,XEMJPY,19.4,20.25,18.9,20.01,19857752.8,390939963.19
2018-07-23,XEMJPY,19.01,21.04,18.95,19.4,19520487.7,388764131.66
2018-07-22,XEMJPY,19.06,19.6,18.74,19.01,10326566.8,197315624.11
2018-07-21,XEMJPY,18.94,19.3,18.13,19.06,12319997.5,232197657.25
2018-07-20,XEMJPY,21.06,21.15,18.66,18.94,19196952.5,378802984.07
2018-07-19,XEMJPY,21.11,22.05,20.5,21.06,15927907.3,337256017.29
2018-07-18,XEMJPY,20.91,22.5,20.5,21.11,28386936.8,615148098.63
2018-07-17,XEMJPY,19.81,21.49,19.4,20.91,22347654.4,452889844.93
2018-07-16,XEMJPY,18.31,19.88,18.15,19.81,16419788.0,311780187.1
2018-07-15,XEMJPY,17.82,18.54,17.81,18.31,6133102.0,111593445.82
2018-07-14,XEMJPY,17.88,18,17.79,17.82,3204053.6,57299441.18
2018-07-13,XEMJPY,17.59,18.34,17.58,17.88,9249478.0,166081536.98
2018-07-12,XEMJPY,18.78,18.8,17.11,17.59,11507868.7,206651057.18
2018-07-11,XEMJPY,18.14,18.89,17.81,18.78,11450338.0,209795322.2
2018-07-10,XEMJPY,19.77,20.05,17.64,18.14,20752110.2,385400105.02
2018-07-09,XEMJPY,20.35,20.4,19.77,19.77,6624989.6,133209318.72
2018-07-08,XEMJPY,20.6,20.95,20.2,20.35,7617031.2,156600023.53
2018-07-07,XEMJPY,21.03,21.07,19.7,20.6,9366979.5,190667778.25
2018-07-06,XEMJPY,21.07,21.5,19.3,21.03,17872457.1,363387588.57
2018-07-05,XEMJPY,20.85,21.65,20.65,21.07,14943900.0,317135849.22
2018-07-04,XEMJPY,20.8,21.95,19.66,20.85,26308547.2,544153083.03
2018-07-03,XEMJPY,21.28,23.49,20.03,20.8,44538184.2,965603079.76
2018-07-02,XEMJPY,18.6,21.37,18.45,21.28,28047466.3,556838220.2
2018-07-01,XEMJPY,18.05,18.8,17.68,18.6,12243738.0,222533110.12
2018-06-30,XEMJPY,16.8,18.2,16.71,18.05,15779796.2,277982702.01
2018-06-29,XEMJPY,16.3,16.9,15.75,16.8,11184558.9,181293438.4
2018-06-28,XEMJPY,16.96,17.16,16.15,16.3,6808611.0,113607950.16
2018-06-27,XEMJPY,16.76,17.01,16.32,16.96,7826520.5,130314169.02
2018-06-26,XEMJPY,17.52,17.9,16.72,16.76,10201696.7,176942031.51
2018-06-25,XEMJPY,16.72,18.5,16.67,17.52,17531742.1,304339185.18
2018-06-24,XEMJPY,18.29,18.35,16,16.72,29630116.6,495685021.26
2018-06-23,XEMJPY,18.35,18.9,17.92,18.29,13905286.42,255367201.44
2018-06-22,XEMJPY,20.9,21,17.66,18.35,33202108.4,639962587.28
2018-06-21,XEMJPY,21.58,21.63,20.76,20.9,7075266.0,150423802.62
2018-06-20,XEMJPY,21.9,21.99,21.1,21.58,7906187.2,169925143.28
2018-06-19,XEMJPY,21.78,22.5,21.4,21.9,7671361.7,167698070.56
2018-06-18,XEMJPY,21.6,22.23,21.12,21.78,11092230.2,240292080.57
2018-06-17,XEMJPY,21.78,22.16,21.51,21.6,5224873.1,113964076.17
2018-06-16,XEMJPY,21.55,22,21.21,21.78,8907143.4,192953484.73
2018-06-15,XEMJPY,22.79,22.8,21.48,21.55,11089175.4,244898734.23
2018-06-14,XEMJPY,20.97,23.27,20.97,22.79,21509077.9,472604658.26
2018-06-13,XEMJPY,23.13,23.5,20.75,20.97,28869286.9,629798749.53
2018-06-12,XEMJPY,24.75,24.75,22.52,23.13,14414920.7,341788002.95
2018-06-11,XEMJPY,24,25.46,23.38,24.75,19126023.5,462973082.45
2018-06-10,XEMJPY,27.12,27.13,23.06,24,21975700.1,550996219.77
2018-06-09,XEMJPY,27.8,28.6,27.1,27.12,7671778.5,214362976.36
2018-06-08,XEMJPY,28.19,28.27,27.37,27.8,8164107.1,226877639.46
2018-06-07,XEMJPY,27.7,30.4,27.68,28.19,23391405.7,682191184.51
2018-06-06,XEMJPY,27.8,27.92,26.97,27.7,8060675.1,222245177.98
2018-06-05,XEMJPY,27.58,28,26.27,27.8,7915184.5,214198483.68
2018-06-04,XEMJPY,29,29.46,26.68,27.58,12945539.4,360372371.44
2018-06-03,XEMJPY,28.92,30,28.65,29,13297698.1,391016963.8
2018-06-02,XEMJPY,27.95,29.1,27.8,28.92,7666401.5,217623747.45
2018-06-01,XEMJPY,26.77,28.5,26.7,27.95,13260455.5,368375464.05
2018-05-31,XEMJPY,26.5,26.97,25.9,26.77,7753169.6,206068238.71
2018-05-30,XEMJPY,25.88,27.15,25.48,26.5,12325888.1,325072033.98
2018-05-29,XEMJPY,24.89,28.15,24.57,25.88,25177857.7,657577080.76
2018-05-28,XEMJPY,28.16,28.36,24.58,24.89,14000452.9,369318455.73
2018-05-27,XEMJPY,28.65,28.75,28,28.16,5506446.7,155669140.78
2018-05-26,XEMJPY,28.91,29.52,28.5,28.65,5246079.5,152489150.21
2018-05-25,XEMJPY,30,30.2,28.72,28.91,8565277.8,251613711.22
2018-05-24,XEMJPY,28.77,30.25,28,30,15413834.0,448083573.69
2018-05-23,XEMJPY,31.7,32.2,28.5,28.77,25897571.9,785853219.59
2018-05-22,XEMJPY,34.58,34.7,31.7,31.7,10307136.7,343274784.34
2018-05-21,XEMJPY,35.63,35.85,34.1,34.58,7965904.1,279630215.79
2018-05-20,XEMJPY,34.01,35.9,33.8,35.63,9789477.7,342091471.01
2018-05-19,XEMJPY,34.73,35,33.57,34.01,7712205.1,264826935.55
2018-05-18,XEMJPY,33.4,34.99,32.47,34.73,13766266.0,460173919.6
2018-05-17,XEMJPY,36.19,36.5,32.77,33.4,11861033.7,413259459.83
2018-05-16,XEMJPY,36.89,37.25,34,36.19,20017679.3,715289270.35
2018-05-15,XEMJPY,40.21,40.8,36.5,36.89,13117275.2,510115666.4
2018-05-14,XEMJPY,39,42.49,36.2,40.21,41886454.4,1662075781.04
2018-05-13,XEMJPY,36.26,39.58,35.5,39,16416547.1,612777915.07
2018-05-12,XEMJPY,34.9,37.3,32.71,36.26,25783432.7,909629536.79
2018-05-11,XEMJPY,38.4,38.6,32.81,34.9,34652244.1,1223697487.25
2018-05-10,XEMJPY,41.49,41.89,38.11,38.4,10357530.0,418191088.76
2018-05-09,XEMJPY,40.7,42.5,38.7,41.49,15052817.2,608685055.16
2018-05-08,XEMJPY,42.4,43.8,40.14,40.7,14522437.6,602867848.58
2018-05-07,XEMJPY,45.7,45.78,41,42.4,20919772.3,887537482.45
2018-05-06,XEMJPY,46.6,46.62,43.8,45.7,20790162.1,937995579.67
2018-05-05,XEMJPY,46.95,47.41,46.4,46.6,10658814.1,501198792.29
2018-05-04,XEMJPY,47.32,47.5,46.3,46.95,9854174.1,463083039.37
2018-05-03,XEMJPY,45.99,47.65,45.19,47.32,20688323.0,958483900.46
2018-05-02,XEMJPY,44.16,46.02,43.5,45.99,17694730.0,792515908.24
2018-05-01,XEMJPY,44.7,44.78,42.51,44.16,19784239.8,857726326.38
2018-04-30,XEMJPY,46,46.3,44,44.7,16505349.3,743240719.66
2018-04-29,XEMJPY,45.37,46.82,43.5,46,28936502.9,1316088255.18
2018-04-28,XEMJPY,42,46.2,41.6,45.37,23234266.4,1023065625.33
2018-04-27,XEMJPY,43.84,44.5,41.8,42,22907477.6,996663587.96
2018-04-26,XEMJPY,41.24,43.95,39,43.84,35051831.0,1448573340.98
2018-04-25,XEMJPY,47.41,48.89,39.01,41.24,55966906.7,2446282915.57
2018-04-24,XEMJPY,42.67,48,42.67,47.41,38607606.1,1738659248.33
2018-04-23,XEMJPY,41.3,42.89,40.7,42.67,17654888.5,738933690.34
2018-04-22,XEMJPY,42.2,42.92,40.8,41.3,23949421.0,1003189517.98
2018-04-21,XEMJPY,43.77,44.58,38.27,42.2,51420110.5,2141388905.59
2018-04-20,XEMJPY,41.8,44.1,40.9,43.77,34713582.0,1463420394.17
2018-04-19,XEMJPY,40.9,42,39.61,41.8,40573697.4,1660149284.27
2018-04-18,XEMJPY,36.4,40.98,36.25,40.9,46260672.0,1783096036.79
2018-04-17,XEMJPY,37.25,37.39,34.7,36.4,38504009.0,1396082190.79
2018-04-16,XEMJPY,38.95,40,33.5,37.25,78472950.2,2881748129.04
2018-04-15,XEMJPY,32.99,39,32.9,38.95,81913442.9,2909896977.24
2018-04-14,XEMJPY,30.2,32.99,29.85,32.99,34841943.5,1103185026.63
2018-04-13,XEMJPY,30.15,33.5,28.9,30.2,62147791.4,1938735873.65
2018-04-12,XEMJPY,26.34,30.31,25.2,30.15,40265523.9,1113071226.88
2018-04-11,XEMJPY,25.18,26.47,24.9,26.34,14550033.7,370997196.4
2018-04-10,XEMJPY,24.47,25.3,24,25.18,12495417.3,307706515.66
2018-04-09,XEMJPY,25.33,26.39,23.82,24.47,27152268.1,681475838.81
2018-04-08,XEMJPY,23.8,25.45,23.8,25.33,14525769.3,355400269.64
2018-04-07,XEMJPY,23.45,24.19,23.12,23.8,12623327.5,300975046.28
2018-04-06,XEMJPY,23.99,24.4,22.76,23.45,16476821.0,388901970.12
2018-04-05,XEMJPY,24,25.3,22.9,23.99,35175391.8,841513606.35
2018-04-04,XEMJPY,27.82,28.05,23.65,24,37101969.1,948281651.72
2018-04-03,XEMJPY,23.9,28.1,23.9,27.82,51089330.8,1332858990.02
2018-04-02,XEMJPY,22.1,24.38,22.02,23.9,19610545.4,456314979.97
2018-04-01,XEMJPY,23.52,24,20.6,22.1,24893064.8,558717659.56
2018-03-31,XEMJPY,23.5,24.4,23.12,23.52,21797156.7,517600434.55
2018-03-30,XEMJPY,23.1,24.9,21.7,23.5,42796401.3,988980756.61
2018-03-29,XEMJPY,27.04,27.22,23.1,23.1,34970944.6,875957381.1
2018-03-28,XEMJPY,26.32,27.34,26.11,27.04,14005015.8,374831090.77
2018-03-27,XEMJPY,27.8,28.22,26.05,26.32,24517249.6,660207798.55
2018-03-26,XEMJPY,30.5,30.57,26.75,27.8,33570954.4,960621697.13
2018-03-25,XEMJPY,29.51,33.8,29,30.5,41070412.0,1266296918.86
2018-03-24,XEMJPY,29.56,30.56,29,29.51,23012497.5,683260980.55
2018-03-23,XEMJPY,31.3,31.3,28,29.56,37574821.6,1097222960.43
2018-03-22,XEMJPY,31.1,33.5,29.13,31.3,46098204.4,1447980440.71
2018-03-21,XEMJPY,33.4,33.75,30.31,31.1,38547098.9,1252671982.77
2018-03-20,XEMJPY,31.55,38.7,29.6,33.4,90380284.4,3103430980.51
2018-03-19,XEMJPY,30.5,34.9,29.25,31.55,72526902.6,2269083782.66
2018-03-18,XEMJPY,30.3,32,23.67,30.5,74089505.6,2001503222.02
2018-03-17,XEMJPY,36.12,36.39,30.15,30.3,44458627.2,1445862628.38
2018-03-16,XEMJPY,39.69,40.99,35.52,36.12,29157880.5,1091705806.13
2018-03-15,XEMJPY,42.5,45.49,35.15,39.69,63773402.8,2475118120.03
2018-03-14,XEMJPY,49.4,56.68,40.1,42.5,92753709.8,4642654905.7
2018-03-13,XEMJPY,42.01,51.67,41.8,49.4,63084400.7,2941959638.56
2018-03-12,XEMJPY,38.2,44.9,37.18,42.01,44814612.0,1854621210.71
2018-03-11,XEMJPY,37.98,39,37.12,38.2,12854335.8,489139692.03
2018-03-10,XEMJPY,38.2,39.3,37.4,37.98,11697263.4,451293988.11
2018-03-09,XEMJPY,37.44,42.49,36.1,38.2,21424972.1,829362471.15
2018-03-08,XEMJPY,30.9,44.7,30.1,37.44,34314285.3,1278161025.37
2018-03-07,XEMJPY,35.04,35.86,30.11,30.9,10561063.8,351312365.87
2018-03-06,XEMJPY,37.38,38.49,34.58,35.04,11663019.7,425691716.47
2018-03-05,XEMJPY,36.6,41,34,37.38,25316593.54,938377691.05
2018-03-04,XEMJPY,38.02,38.3,35.5,36.6,15522756.1,567751430.59
2018-03-03,XEMJPY,40.14,41.31,38,38.02,10914476.4,433172309.03
2018-03-02,XEMJPY,41.87,42.5,40,40.14,6367688.0,261148304.6
2018-03-01,XEMJPY,41.8,42.2,41,41.87,6402513.7,266179442.62
2018-02-28,XEMJPY,41.89,46,41.5,41.8,12622542.4,545672223.9
2018-02-27,XEMJPY,42.4,42.49,40.66,41.89,5853583.8,242592847.49
2018-02-26,XEMJPY,41.57,42.79,40.05,42.4,6567831.8,272283509.58
