ID,specific_sheet_name,Year,quantity-type,quantity-value,quantity-units,FILING,FILETYPE,CIK,COMNAM,datadate,filingdate,NEG,POS,TWORDS,TONE,ACQ,LINK
2930,consolidated balance sheets,2016,Total assets,86031000,thousands,2930,10-K,1002135,WESTELL TECHNOLOGIES INC,31MAR2016,24MAY2016,93,38,5611,-0.009802174,12,edgar/data/1002135/0001002135-16-000069.txt
2934,consolidated balance sheets,2016,Total assets,5661470000,thousands,2934,10-K,1002517,"Nuance Communications, Inc.",30SEP2016,22NOV2016,204,124,20430,-0.00391581,33,edgar/data/1002517/0001002517-16-000088.txt
2939,consolidated balance sheets,2016,Total assets,2064951000,thousands,2939,10-K,1003078,MSC INDUSTRIAL DIRECT CO INC,30SEP2016,01NOV2016,36,25,5464,-0.002013177,5,edgar/data/1003078/0001003078-16-000362.txt
2945,consolidated balance sheets,2016,Total assets,799539000,thousands,2945,10-K,95052,ELIZABETH ARDEN INC,30JUN2016,15AUG2016,326,134,18569,-0.010339814,39,edgar/data/95052/0001193125-16-681445.txt
2947,consolidated balance sheets,2015,Total assets,12593,thousands,2947,10-K,1001838,SOUTHERN COPPER CORP/,31DEC2015,26FEB2016,84,69,12315,-0.001218027,12,edgar/data/1001838/0001104659-16-100568.txt
2952,consolidated balance sheets,2016,Total assets,14085000,thousands,2952,10-K,1016504,INTEGRATED BIOPHARMA INC,30JUN2016,02SEP2016,71,14,5159,-0.011048653,1,edgar/data/1016504/0001437749-16-038298.txt
2956,consolidated balance sheets,2015,Total Assets,236657,thousands,2956,10-K,1001463,"Acacia Diversified Holdings, Inc.",31DEC2015,12FEB2016,48,44,5201,-0.000769083,15,edgar/data/1001463/0001185185-16-003668.txt
2959,consolidated balance sheets,2015,Total assets,177985000,thousands,2959,10-K,1591877,Sizmek Inc.,31DEC2015,11MAR2016,114,62,7682,-0.006769071,37,edgar/data/1591877/0001178913-16-004662.txt
2961,consolidated balance sheets,2015,Total assets,39134000,thousands,2961,10-K,884269,ALPHA PRO TECH LTD,31DEC2015,03MAR2016,18,25,3763,0.0018602179,0,edgar/data/884269/0001437749-16-026648.txt
2964,consolidated balance sheets,2015,Total assets,599286000,thousands,2964,10-K,1168455,PLUMAS BANCORP,31DEC2015,17MAR2016,147,46,7857,-0.012854779,2,edgar/data/1168455/0001437749-16-027935.txt
2966,consolidated balance sheets,2016,Total Assets,343470000,thousands,2966,10-K,1005286,LANDEC CORP \CA\,31MAY2016,01AUG2016,83,40,9391,-0.004578852,8,edgar/data/1005286/0001437749-16-036012.txt
2969,consolidated balance sheets,2016,Total assets,84833000,thousands,2969,10-K,896429,USA TECHNOLOGIES INC,30JUN2016,13SEP2016,115,40,6295,-0.011914218,4,edgar/data/896429/0001571049-16-018243.txt
2974,consolidated balance sheets,2016,Total Assets,12395317,thousands,2974,10-K,38264,FORWARD INDUSTRIES INC,30SEP2016,12DEC2016,68,26,3987,-0.010534236,1,edgar/data/38264/0001003297-16-000907.txt
2976,consolidated balance sheets,2015,Total assets,877233000,thousands,2976,10-K,1005757,CSG SYSTEMS INTERNATIONAL INC,31DEC2015,29FEB2016,133,55,10145,-0.007688517,1,edgar/data/1005757/0001564590-16-013598.txt
2980,consolidated balance sheets,2015,Total Assets,1044625000,thousands,2980,10-K,1114927,FIRST NORTHERN COMMUNITY BANCORP,31DEC2015,10MAR2016,292,56,12775,-0.018473581,0,edgar/data/1114927/0001140361-16-057302.txt
2982,consolidated balance sheets,2015,TOTAL ASSETS,1301146000,thousands,2982,10-K,940942,HUB GROUP INC,31DEC2015,26FEB2016,102,39,6908,-0.009119861,1,edgar/data/940942/0001564590-16-013549.txt
2984,consolidated balance sheets,2016,TOTAL ASSETS,469658000,thousands,2984,10-K,1005731,IDT CORP,31JUL2016,14OCT2016,176,59,12434,-0.009409683,6,edgar/data/1005731/0001213900-16-017511.txt
2987,consolidated balance sheets,2016,Total assets,2295969000,thousands,2987,10-K,1005210,SUBURBAN PROPANE PARTNERS LP,30SEP2016,23NOV2016,109,82,10273,-0.002628249,8,edgar/data/1005210/0001564590-16-029600.txt
2990,consolidated balance sheets,2015,Total assets,226277000,thousands,2990,10-K,1007587,KVH INDUSTRIES INC \DE\,31DEC2015,14MAR2016,100,41,9891,-0.005965019,14,edgar/data/1007587/0001007587-16-000027.txt
2994,consolidated balance sheets,2015,Total assets,97253000,thousands,2994,10-K,1006281,"Protalix BioTherapeutics, Inc.",31DEC2015,08MAR2016,67,49,5784,-0.003112033,0,edgar/data/1006281/0001144204-16-086642.txt
2998,consolidated balance sheets,2015,Total assets,214618000,thousands,2998,10-K,1006269,LORAL SPACE & COMMUNICATIONS INC.,31DEC2015,29FEB2016,140,82,10277,-0.00564367,3,edgar/data/1006269/0001144204-16-084790.txt
3003,consolidated balance sheets,2015,Total assets,836369000,thousands,3003,10-K,1009672,CARBO CERAMICS INC,31DEC2015,29FEB2016,181,48,6915,-0.01923355,0,edgar/data/1009672/0001193125-16-482830.txt
3006,consolidated balance sheets,2015,Total assets,1782247000,thousands,3006,10-K,1010552,POLYCOM INC,31DEC2015,29FEB2016,207,100,14849,-0.007205872,4,edgar/data/1010552/0001564590-16-013635.txt
3008,consolidated balance sheets,2015,Total assets,505900000,thousands,3008,10-K,1009829,JAKKS PACIFIC INC,31DEC2015,15MAR2016,105,62,7337,-0.005860706,8,edgar/data/1009829/0001157523-16-004933.txt
3011,consolidated balance sheets,2015,Total assets,2229018000,thousands,3011,10-K,887936,FTI CONSULTING INC,31DEC2015,25FEB2016,262,76,13304,-0.013980758,36,edgar/data/887936/0001564590-16-013288.txt
3015,consolidated balance sheets,2015,Total assets,474785000,thousands,3015,10-K,914475,NEUROCRINE BIOSCIENCES INC,31DEC2015,11FEB2016,78,89,6827,0.0016112495,0,edgar/data/914475/0001193125-16-459862.txt
3018,consolidated balance sheets,2015,Total Assets,184335,thousands,3018,10-K,928953,PARAGON REAL ESTATE EQUITY & INVESTMENT TRUST,31DEC2015,05FEB2016,29,9,2129,-0.009394082,6,edgar/data/928953/0001493152-16-007193.txt
3022,consolidated balance sheets,2015,Total assets,2852008000,thousands,3022,10-K,1012019,RUSH ENTERPRISES INC \TX\,31DEC2015,29FEB2016,77,48,8373,-0.003463514,3,edgar/data/1012019/0001437749-16-026385.txt
