ID,specific_sheet_name,Year,quantity-type,quantity-value,quantity-units
693,consolidated balance sheets,2015,Total assets,5741038000,thousands
694,consolidated balance sheets,2015,Total Assets,32535,thousands
696,consolidated balance sheets,2016,Total Assets,10696,thousands
700,consolidated balance sheets,2016,Total assets,185157000,thousands
702,consolidated balance sheets,2015,Total assets,6141462000,thousands
705,consolidated balance sheets,2016,Total assets,933437000,thousands
706,consolidated balance sheets,2015,Total assets,41427816,thousands
708,consolidated balance sheets,2015,TOTAL ASSETS,16326,thousands
709,consolidated balance sheets,2016,Total Assets,462516000,thousands
710,consolidated balance sheets,2015,Total Assets,1398890,thousands
712,consolidated balance sheets,2015,Total assets,68488697000,thousands
716,consolidated balance sheets,2015,Total Assets,37535,thousands
718,consolidated balance sheets,2015,Total assets,12852619000,thousands
722,consolidated balance sheets,2016,TOTAL ASSETS,410902000,thousands
724,consolidated balance sheets,2016,Total assets,530790000,thousands
725,consolidated balance sheets,2016,Total Assets,118430000,thousands
726,consolidated balance sheets,2016,Total assets,229546000,thousands
727,consolidated balance sheets,2015,TOTAL ASSETS,728723,thousands
728,consolidated balance sheets,2015,TOTAL ASSETS,4377,thousands
731,consolidated balance sheets,2015,Total assets,1237094000,thousands
733,consolidated balance sheets,2015,Total assets,196499000,thousands
734,consolidated balance sheets,2016,TOTAL ASSETS,306610000,thousands
735,consolidated balance sheets,2015,Total assets,29281000000,thousands
736,consolidated balance sheets,2016,TOTAL ASSETS,23940689,thousands
737,consolidated balance sheets,2016,Total Assets,4591,thousands
738,consolidated balance sheets,2015,Total assets,5300176,thousands
743,consolidated balance sheets,2015,Total assets,211195000,thousands
746,consolidated balance sheets,2016,Total assets,11277010000,thousands
747,consolidated balance sheets,2016,TOTAL ASSETS,165552849,thousands
751,consolidated balance sheets,2016,Total assets,4869119000,thousands
754,consolidated balance sheets,2016,Total assets,3066552000,thousands
756,consolidated balance sheets,2015,Total Assets,1588628000,thousands
759,consolidated balance sheets,2015,Total Assets,20439812,thousands
761,consolidated balance sheets,2015,Total Assets,257634000,thousands
