Created on 05-15-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
2020-02-03,LTCUSD,69.8,72.88,68.5,69.74,25033.37,1751624.13
2020-02-02,LTCUSD,70.74,73.22,67.6,69.8,19803.81,1395478.42
2020-02-01,LTCUSD,67.96,72.8,67.76,70.74,17938.98,1275998.78
2020-01-31,LTCUSD,68.1,69.9,65.35,67.96,27994.07,1894915.75
2020-01-30,LTCUSD,59.65,70.08,58.35,68.1,31609.23,2071435.72
2020-01-29,LTCUSD,60.74,62.31,59.5,59.65,9432.72,570936.44
2020-01-28,LTCUSD,58.55,61.4,57.45,60.74,9103.34,539987.38
2020-01-27,LTCUSD,56.1,59.5,55.84,58.55,7891.08,459199.28
2020-01-26,LTCUSD,53.19,56.55,52.81,56.1,5921.45,321981.68
2020-01-25,LTCUSD,54.43,54.43,52.25,53.19,4857.84,258462.42
2020-01-24,LTCUSD,54.43,55.24,50.74,54.43,10436.94,558189.66
2020-01-23,LTCUSD,58.06,58.17,52.28,54.43,18043.4,981772.63
2020-01-22,LTCUSD,57.51,59.15,57.14,58.06,16747.28,970509.33
2020-01-21,LTCUSD,57.26,57.98,55.88,57.51,14916.63,853481.16
2020-01-20,LTCUSD,57.58,58.15,55.74,57.26,8095.58,461069.58
2020-01-19,LTCUSD,59.29,62.44,55.39,57.58,9400.78,544329.63
2020-01-18,LTCUSD,61.02,62.32,58.06,59.29,9419.86,561346.11
2020-01-17,LTCUSD,57.62,63.16,56.69,61.02,19360.35,1169748.33
2020-01-16,LTCUSD,58.08,58.42,54.68,57.62,12916.05,727731.86
2020-01-15,LTCUSD,58.52,60.37,55.31,58.08,17447.36,1012222.43
2020-01-14,LTCUSD,49.6,60.93,49.6,58.52,47480.28,2632799.22
2020-01-13,LTCUSD,51.39,51.57,48.89,49.6,17198.42,857504.38
2020-01-12,LTCUSD,49.3,51.72,49,51.39,8850.65,449350.26
2020-01-11,LTCUSD,48.94,51.82,47.85,49.3,10254.83,512457.71
2020-01-10,LTCUSD,44.92,49.68,43.65,48.94,19922.08,939263.85
2020-01-09,LTCUSD,45.43,45.68,43.87,44.92,5612.19,250828.77
2020-01-08,LTCUSD,46.35,48.6,44.08,45.43,17349.44,799158.49
2020-01-07,LTCUSD,45.79,46.93,44.55,46.35,28194.98,1294734.43
2020-01-06,LTCUSD,43.27,46.12,43.14,45.79,11740.52,525019.3
2020-01-05,LTCUSD,42.76,44.54,42.63,43.27,6388.38,277710.93
2020-01-04,LTCUSD,42.09,42.79,41.8,42.76,1828.61,77622.08
2020-01-03,LTCUSD,39.33,42.28,38.77,42.09,6299.3,257657.64
2020-01-02,LTCUSD,41.57,41.65,38.93,39.33,5119.43,203653.53
