Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume EUR
2018-11-03,LTCEUR,44.38,44.38,44.14,44.14,1.209,53.35
2018-11-02,LTCEUR,42.73,44.47,42.73,44.38,0.489,21.72
2018-11-01,LTCEUR,42.73,42.73,42.73,42.73,0.0,0.0
2018-10-31,LTCEUR,43.3,43.61,42.73,42.73,0.6618,28.46
2018-10-30,LTCEUR,43.41,49.99,43.3,43.3,12.09,543.21
2018-10-29,LTCEUR,48,48,42.11,43.41,15.36,649.47
2018-10-28,LTCEUR,48,48,48,48,0.0,0.0
2018-10-27,LTCEUR,46.13,49.99,45.85,48,6.63,321.11
2018-10-26,LTCEUR,45.77,46.13,45.3,46.13,44.59,2047.78
2018-10-25,LTCEUR,45.25,45.77,45.25,45.77,1.092,50.0
2018-10-24,LTCEUR,45.68,46,45.25,45.25,32.65,1501.88
2018-10-23,LTCEUR,45.68,45.68,45.68,45.68,0.0,0.0
2018-10-22,LTCEUR,45.42,46.51,45.42,45.68,2.427,112.54
2018-10-21,LTCEUR,45,45.42,45,45.42,0.8922,40.52
2018-10-20,LTCEUR,45,45,45,45,0.0,0.0
2018-10-19,LTCEUR,45,45,45,45,0.0,0.0
2018-10-18,LTCEUR,52.9,52.9,45,45,47.02,2200.86
2018-10-17,LTCEUR,45.66,55,38.9,52.9,33.47,1447.05
2018-10-16,LTCEUR,49,54.99,45.66,45.66,148.42,6915.97
2018-10-15,LTCEUR,45,49,45,49,13.83,641.51
2018-10-14,LTCEUR,46.49,46.49,45,45,5.383,242.35
2018-10-13,LTCEUR,46.59,46.59,46.49,46.49,1.721,80.0
2018-10-12,LTCEUR,44.46,46.59,38.2,46.59,27.47,1225.26
2018-10-11,LTCEUR,50.25,60,44.46,44.46,57.22,2808.14
2018-10-10,LTCEUR,52,52,49.5,50.25,43.19,2176.72
2018-10-09,LTCEUR,51.36,52,51.36,52,0.3846,20.0
2018-10-08,LTCEUR,50.09,51.4,50.09,51.36,1.08,55.25
2018-10-07,LTCEUR,49.28,50.09,49.28,50.09,0.2091,10.47
2018-10-06,LTCEUR,50.94,51.54,49.27,49.28,4.682,239.72
2018-10-05,LTCEUR,50.27,51,50,50.94,7.237,364.47
2018-10-04,LTCEUR,50.36,50.38,50.27,50.27,1.253,63.11
2018-10-03,LTCEUR,51.98,51.98,49.58,50.36,2.45,123.49
2018-10-02,LTCEUR,52.74,52.82,51.72,51.98,11.44,596.15
2018-10-01,LTCEUR,51.51,52.82,51.51,52.74,16.17,846.46
2018-09-30,LTCEUR,52.73,52.73,51.51,51.51,3.062,159.19
2018-09-29,LTCEUR,52.54,53.73,52,52.73,4.284,225.74
2018-09-28,LTCEUR,55.49,55.49,44,52.54,11.88,597.85
2018-09-27,LTCEUR,50,55.52,45,55.49,124.23,6327.08
2018-09-26,LTCEUR,47.11,50,47.11,50,0.6971,34.43
2018-09-25,LTCEUR,45,54.99,45,47.11,5.663,277.44
2018-09-24,LTCEUR,51.96,51.96,45,45,26.26,1262.6
2018-09-23,LTCEUR,51.44,51.96,51.44,51.96,1.988,103.31
2018-09-22,LTCEUR,50,51.44,42.05,51.44,24.17,1222.13
2018-09-21,LTCEUR,47.41,50,47.41,50,3.199,159.57
2018-09-20,LTCEUR,46.47,47.41,46.47,47.41,0.6438,30.52
2018-09-19,LTCEUR,46.03,46.47,46.03,46.47,0.2876,13.36
2018-09-18,LTCEUR,45,47.68,43.44,46.03,0.4834,22.9
2018-09-17,LTCEUR,49,49,45,45,4.027,183.02
2018-09-16,LTCEUR,49.51,49.51,47.38,49,5.475,266.04
2018-09-15,LTCEUR,50,50,49.51,49.51,2.0,99.02
2018-09-14,LTCEUR,47.17,50,46.23,50,10.55,509.46
2018-09-13,LTCEUR,44.32,48.5,44.32,47.17,16.29,760.31
2018-09-12,LTCEUR,48.65,49.4,34.8,44.32,11.64,483.59
2018-09-11,LTCEUR,46.69,55,46.69,48.65,2.89,150.0
2018-09-10,LTCEUR,48,48,46.69,46.69,2.895,136.92
2018-09-09,LTCEUR,48.99,48.99,46.13,48,4.129,197.33
2018-09-08,LTCEUR,50.29,50.29,48.99,48.99,0.3594,17.61
2018-09-07,LTCEUR,47.96,50.29,47.96,50.29,5.825,289.06
2018-09-06,LTCEUR,57,57,47.4,47.96,4.769,228.83
2018-09-05,LTCEUR,59.98,59.98,55.22,57,4.185,236.58
2018-09-04,LTCEUR,56.49,60.34,56.49,59.98,1.554,91.49
2018-09-03,LTCEUR,56.85,64.92,55.49,56.49,11.89,704.3
2018-09-02,LTCEUR,56.91,56.91,55.58,56.85,1.917,107.77
2018-09-01,LTCEUR,53.23,58.08,53.23,56.91,10.55,604.26
2018-08-31,LTCEUR,51.04,53.49,51.04,53.23,8.412,446.82
2018-08-30,LTCEUR,53,53,51.04,51.04,6.06,317.77
2018-08-29,LTCEUR,53.94,60,53,53,9.308,538.42
2018-08-28,LTCEUR,50.09,54,50.09,53.94,6.766,358.91
2018-08-27,LTCEUR,50,50.09,45,50.09,6.753,324.53
2018-08-26,LTCEUR,49.28,50,49.28,50,4.496,224.78
2018-08-25,LTCEUR,49.04,50.42,49.04,49.28,6.275,315.27
2018-08-24,LTCEUR,49.72,64.89,48.87,49.04,34.37,1814.94
2018-08-23,LTCEUR,48.71,53.86,48.57,49.72,11.81,582.82
2018-08-22,LTCEUR,56.92,56.92,45.01,48.71,8.389,410.2
2018-08-21,LTCEUR,47.5,58.97,47.5,56.92,8.854,489.9
2018-08-20,LTCEUR,51.11,51.11,47.5,47.5,3.407,164.6
