Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume USD
2018-11-03,BCHUSD,645,645,645,645,0.0,0.0
2018-11-02,BCHUSD,645,645,645,645,0.0,0.0
2018-11-01,BCHUSD,645,645,645,645,0.0,0.0
2018-10-31,BCHUSD,645,645,645,645,0.0,0.0
2018-10-30,BCHUSD,645,645,645,645,0.0,0.0
2018-10-29,BCHUSD,645,645,645,645,0.0,0.0
2018-10-28,BCHUSD,645,645,645,645,0.0,0.0
2018-10-27,BCHUSD,645,645,645,645,0.0,0.0
2018-10-26,BCHUSD,645,645,645,645,0.0,0.0
2018-10-25,BCHUSD,645,645,645,645,0.0,0.0
2018-10-24,BCHUSD,645,645,645,645,0.0,0.0
2018-10-23,BCHUSD,645,645,645,645,0.0,0.0
2018-10-22,BCHUSD,645,645,645,645,0.0,0.0
2018-10-21,BCHUSD,645,645,645,645,0.0,0.0
2018-10-20,BCHUSD,645,645,645,645,0.0,0.0
2018-10-19,BCHUSD,645,645,645,645,0.0,0.0
2018-10-18,BCHUSD,645,645,645,645,0.0,0.0
2018-10-17,BCHUSD,645,645,645,645,0.0,0.0
2018-10-16,BCHUSD,645,645,645,645,0.0,0.0
2018-10-15,BCHUSD,645,645,645,645,0.0,0.0
2018-10-14,BCHUSD,645,645,645,645,0.0,0.0
2018-10-13,BCHUSD,645,645,645,645,0.0,0.0
2018-10-12,BCHUSD,645,645,645,645,0.0,0.0
2018-10-11,BCHUSD,645,645,645,645,0.0,0.0
2018-10-10,BCHUSD,645,645,645,645,0.0,0.0
2018-10-09,BCHUSD,645,645,645,645,0.0,0.0
2018-10-08,BCHUSD,645,645,645,645,0.0,0.0
2018-10-07,BCHUSD,645,645,645,645,0.0,0.0
2018-10-06,BCHUSD,645,645,645,645,0.0,0.0
2018-10-05,BCHUSD,645,645,645,645,0.0,0.0
2018-10-04,BCHUSD,645,645,645,645,0.0,0.0
2018-10-03,BCHUSD,645,645,645,645,0.0,0.0
2018-10-02,BCHUSD,645,645,645,645,0.0,0.0
2018-10-01,BCHUSD,645,645,645,645,0.0,0.0
