Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume EOS,Volume USD
2020-02-19,EOSUSD,2.234,2.435,2.208,2.211,85.49,196.37
2020-02-18,EOSUSD,2.237,2.283,2.21,2.234,269.07,596.59
2020-02-17,EOSUSD,2.237,2.288,2.156,2.237,72.01,159.46
2020-02-16,EOSUSD,2.437,2.45,2,2.237,867.06,1940.75
2020-02-15,EOSUSD,2.5,2.52,2.421,2.437,704.6,1738.41
2020-02-14,EOSUSD,2.549,2.549,2.4,2.5,599.72,1474.65
2020-02-13,EOSUSD,2.524,2.586,2.444,2.549,984.73,2472.89
2020-02-12,EOSUSD,2.431,2.526,2.345,2.524,469.59,1161.56
2020-02-11,EOSUSD,2.417,2.491,2.34,2.431,481.01,1151.84
2020-02-10,EOSUSD,2.51,2.592,2.404,2.417,132.19,328.01
2020-02-09,EOSUSD,2.451,2.596,2.404,2.51,544.73,1360.6
2020-02-08,EOSUSD,2.386,2.451,2.21,2.451,674.94,1597.21
2020-02-07,EOSUSD,2.4,2.5,2.2,2.386,313.4,742.69
2020-02-06,EOSUSD,2.295,2.505,2.275,2.4,203.83,483.43
2020-02-05,EOSUSD,2.346,2.405,2.2,2.295,379.1,864.85
2020-02-04,EOSUSD,2.425,2.425,2.346,2.346,50.92,121.35
2020-02-03,EOSUSD,2.44,2.49,2.36,2.425,151.14,367.69
2020-02-02,EOSUSD,2.439,2.497,2.36,2.44,113.38,276.14
2020-02-01,EOSUSD,2.47,2.505,2.357,2.439,183.67,448.3
2020-01-31,EOSUSD,2.452,2.58,2.452,2.47,300.37,750.63
2020-01-30,EOSUSD,2.58,2.6,2.452,2.452,375.37,943.81
2020-01-29,EOSUSD,2.45,2.65,2.45,2.58,363.09,933.71
2020-01-28,EOSUSD,2.489,2.55,2.42,2.45,170.17,418.51
2020-01-27,EOSUSD,2.33,2.5,2.3,2.489,906.96,2164.79
2020-01-26,EOSUSD,2.26,2.4,2.26,2.33,248.03,579.25
2020-01-25,EOSUSD,2.32,2.34,2.26,2.26,235.75,544.97
