Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HUSD
2020-02-06,DASHUSD,121.27,122.77,119,121,14.21,1719.38
2020-02-05,DASHUSD,110.65,123.5,110.01,121.27,21.03,2459.43
2020-02-04,DASHUSD,115.73,115.73,109,110.65,11.77,1310.15
2020-02-03,DASHUSD,115.23,117.48,115,115.73,7.284,842.43
2020-02-02,DASHUSD,115.99,116.72,114.95,115.23,7.352,851.62
2020-02-01,DASHUSD,117.47,118.98,109,115.99,11.62,1360.37
2020-01-31,DASHUSD,124.94,124.94,115,117.47,8.168,965.83
2020-01-30,DASHUSD,122.42,125,119.1,124.94,9.788,1207.46
2020-01-29,DASHUSD,115.65,127.7,113.2,122.42,16.43,1941.89
2020-01-28,DASHUSD,112.53,115.99,110.33,115.65,11.52,1315.02
2020-01-27,DASHUSD,111.96,122,111.96,112.53,27.97,3297.87
2020-01-26,DASHUSD,102.8,112,97.74,111.96,10.86,1182.33
2020-01-25,DASHUSD,101.18,102.8,98.01,102.8,1.387,139.99
2020-01-24,DASHUSD,102.2,105.41,93.26,101.18,19.61,1927.82
2020-01-23,DASHUSD,108.88,108.88,96.89,102.2,6.663,681.35
2020-01-22,DASHUSD,111.75,112,107.55,108.88,1.237,135.77
2020-01-21,DASHUSD,110,114.5,108.11,111.75,16.73,1868.12
2020-01-20,DASHUSD,102.56,115,101.06,110,28.37,3142.04
2020-01-19,DASHUSD,103.62,108.83,95,102.56,29.26,2961.68
2020-01-18,DASHUSD,113,116.21,98,103.62,42.45,4430.2
2020-01-17,DASHUSD,128,128.99,109.42,113,42.57,5006.39
2020-01-16,DASHUSD,129.53,141.5,110,128,55.19,6929.97
2020-01-15,DASHUSD,86.56,142.52,86.56,129.53,152.32,17694.56
2020-01-14,DASHUSD,71.27,89.5,71.27,86.56,186.07,15913.68
2020-01-13,DASHUSD,65.88,72.45,65.88,71.27,8.266,573.49
2020-01-12,DASHUSD,65.43,67.95,63.78,65.88,7.913,524.07
2020-01-11,DASHUSD,56.7,68.46,56.7,65.43,18.12,1134.12
2020-01-10,DASHUSD,51.88,57.5,51.4,56.7,11.79,668.28
2020-01-09,DASHUSD,52.8,54.43,51.88,51.88,3.251,172.49
2020-01-08,DASHUSD,54.39,56.71,52.72,52.8,15.28,834.49
2020-01-07,DASHUSD,56.9,57.39,53.56,54.39,18.99,1046.89
2020-01-06,DASHUSD,52.15,57.38,51.12,56.9,93.18,5263.71
2020-01-05,DASHUSD,46.47,54,44.77,52.15,14.81,740.01
2020-01-04,DASHUSD,44.29,47.95,40.77,46.47,16.39,741.64
2020-01-03,DASHUSD,40.77,44.29,40.77,44.29,11.25,466.69
2020-01-02,DASHUSD,42.26,42.26,40.77,40.77,24.16,1005.34
2020-01-01,DASHUSD,42.16,43.01,41.6,42.26,14.93,636.68
2019-12-31,DASHUSD,43.19,44.3,42.16,42.16,32.39,1382.94
2019-12-30,DASHUSD,44.94,48.03,40.77,43.19,60.63,2629.85
2019-12-29,DASHUSD,43.5,45.5,42.4,44.94,15.82,704.76
2019-12-28,DASHUSD,41.22,44.22,40.72,43.5,17.69,761.81
2019-12-27,DASHUSD,41,41.26,40,41.22,11.41,461.22
2019-12-26,DASHUSD,41.78,41.88,39.54,41,17.53,708.46
2019-12-25,DASHUSD,42.6,43,41.76,41.78,11.86,500.39
2019-12-24,DASHUSD,44.21,44.21,42.6,42.6,8.923,385.8
2019-12-23,DASHUSD,45.22,45.77,44,44.21,17.25,778.68
2019-12-22,DASHUSD,43.91,45.22,43.91,45.22,14.57,646.7
2019-12-21,DASHUSD,44.16,45.02,43.71,43.91,4.687,207.31
2019-12-20,DASHUSD,44.15,46,43.67,44.16,5.898,260.58
2019-12-19,DASHUSD,46.48,46.69,43.55,44.15,33.04,1492.64
2019-12-18,DASHUSD,43.49,48.68,42.33,46.48,13.04,601.08
2019-12-17,DASHUSD,49.58,49.58,42.33,43.49,10.15,459.47
2019-12-16,DASHUSD,52.11,52.76,47.51,49.58,15.78,789.24
2019-12-15,DASHUSD,50.99,53.5,50.85,52.11,11.55,594.9
