Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume REP,Volume BTC
2019-08-02,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-08-01,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-31,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-30,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-29,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-28,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-27,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-26,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-25,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-24,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-23,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-22,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-21,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-20,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-19,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-18,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-17,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-16,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-15,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-14,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-13,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-12,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-11,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-10,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-09,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-08,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-07,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-06,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-05,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-04,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-03,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-02,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-07-01,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-06-30,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-06-29,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-06-28,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-06-27,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-06-26,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-06-25,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-06-24,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-06-23,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-06-22,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-06-21,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-06-20,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-06-19,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-06-18,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-06-17,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-06-16,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-06-15,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-06-14,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-06-13,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-06-12,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-06-11,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-06-10,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-06-09,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-06-08,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-06-07,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-06-06,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-06-05,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-06-04,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-06-03,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-06-02,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-06-01,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-31,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-30,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-29,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-28,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-27,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-26,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-25,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-24,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-23,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-22,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-21,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-20,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-19,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-18,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-17,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-16,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-15,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-14,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-13,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-12,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-11,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-10,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-09,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-08,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-07,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-06,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-05,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-04,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-03,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-02,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-05-01,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-04-30,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-04-29,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-04-28,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-04-27,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-04-26,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-04-25,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-04-24,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-04-23,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-04-22,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-04-21,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-04-20,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-04-19,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-04-18,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-04-17,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-04-16,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-04-15,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-04-14,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-04-13,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-04-12,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-04-11,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-04-10,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-04-09,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-04-08,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-04-07,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-04-06,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-04-05,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-04-04,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-04-03,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-04-02,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-04-01,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-03-31,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-03-30,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-03-29,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-03-28,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-03-27,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-03-26,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-03-25,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-03-24,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-03-23,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-03-22,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-03-21,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-03-20,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-03-19,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-03-18,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-03-17,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-03-16,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-03-15,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-03-14,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-03-13,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-03-12,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-03-11,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-03-10,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-03-09,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-03-08,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
2019-03-07,REPBTC,0.002,0.002,0.002,0.002,0.0,0.0
