Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2019-11-16,ETHUSD,190,190,182.04,182.04,0.1099,20.0
2019-11-15,ETHUSD,190,190,190,190,0.0,0.0
2019-11-14,ETHUSD,187.65,190,184.58,190,1.266,234.03
2019-11-13,ETHUSD,195.94,195.94,185.64,187.65,44.34,8235.24
2019-11-12,ETHUSD,183.87,195.94,183.87,195.94,9.591,1786.94
2019-11-11,ETHUSD,189.88,189.88,183.87,183.87,21.0,3862.46
2019-11-10,ETHUSD,183.8,191,183.8,189.88,29.37,5513.28
2019-11-09,ETHUSD,184.62,185.12,183.8,183.8,0.09201,16.99
2019-11-08,ETHUSD,186.2,186.2,182.38,184.62,6.076,1114.9
2019-11-07,ETHUSD,189.79,189.79,186.2,186.2,6.268,1178.69
2019-11-06,ETHUSD,185.73,192.35,185.73,189.79,15.25,2901.83
2019-11-05,ETHUSD,185.73,185.73,185.73,185.73,0.0,0.0
2019-11-04,ETHUSD,185.3,188.51,185.3,185.73,11.14,2074.91
2019-11-03,ETHUSD,185.3,185.3,185.3,185.3,0.0,0.0
2019-11-02,ETHUSD,189.69,189.69,182.81,185.3,1.216,225.26
2019-11-01,ETHUSD,184.46,189.69,181.61,189.69,0.7296,135.33
2019-10-31,ETHUSD,182.06,184.46,182.06,184.46,4.815,888.16
2019-10-30,ETHUSD,190,190,182.06,182.06,44.11,8237.56
2019-10-29,ETHUSD,182.06,190,182.06,190,13.58,2538.39
2019-10-28,ETHUSD,183.94,189.29,181.24,182.06,83.23,15223.5
2019-10-27,ETHUSD,177.48,186.68,177.48,183.94,39.92,7288.96
2019-10-26,ETHUSD,180.66,194.99,174.88,177.48,596.22,111789.74
2019-10-25,ETHUSD,161.45,184,161,180.66,126.93,22534.51
2019-10-24,ETHUSD,162.33,163.53,160.46,161.45,7.583,1226.01
2019-10-23,ETHUSD,184,184,156.57,162.33,13.86,2255.62
2019-10-22,ETHUSD,180.25,184,172.56,184,32.32,5612.76
2019-10-21,ETHUSD,174.37,180.25,172.79,180.25,2.911,505.49
2019-10-20,ETHUSD,174.37,174.37,174.37,174.37,0.0,0.0
2019-10-19,ETHUSD,170,174.62,170,174.37,9.716,1695.24
2019-10-18,ETHUSD,176.01,176.01,170,170,3.263,554.72
2019-10-17,ETHUSD,176.89,176.96,176.01,176.01,9.205,1620.91
2019-10-16,ETHUSD,183.3,183.3,176.89,176.89,0.4349,76.93
2019-10-15,ETHUSD,185.52,185.59,183.26,183.3,20.77,3824.5
2019-10-14,ETHUSD,180.49,185.52,180.49,185.52,1.592,293.7
2019-10-13,ETHUSD,180.49,180.49,180.49,180.49,0.0,0.0
2019-10-12,ETHUSD,180.55,184.46,177.59,180.49,3.489,628.96
2019-10-11,ETHUSD,192.31,195.6,180.55,180.55,44.88,8432.67
2019-10-10,ETHUSD,193.95,193.95,190.59,192.31,1.931,368.27
2019-10-09,ETHUSD,179.5,193.95,179.5,193.95,63.2,12076.59
2019-10-08,ETHUSD,179.88,179.88,178.84,179.5,0.4756,85.37
2019-10-07,ETHUSD,168.19,179.97,168.19,179.88,7.192,1276.97
2019-10-06,ETHUSD,174.13,175.37,168.19,168.19,50.45,8644.45
2019-10-05,ETHUSD,169,174.38,169,174.13,4.469,778.53
2019-10-04,ETHUSD,184,184,169,169,0.1383,23.37
2019-10-03,ETHUSD,185,185,171.97,184,5.418,938.13
2019-10-02,ETHUSD,185,185,185,185,0.0,0.0
2019-10-01,ETHUSD,181.55,185,181.55,185,0.9081,166.43
2019-09-30,ETHUSD,166.03,181.55,166.03,181.55,5.124,913.81
2019-09-29,ETHUSD,172.99,172.99,166.03,166.03,4.408,741.1
