Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XEM,Volume USD
2020-01-22,XEMUSD,0.0325,0.0367,0.0325,0.0367,898.81,30.58
2020-01-21,XEMUSD,0.031,0.0325,0.031,0.0325,227.2,7.384
2020-01-20,XEMUSD,0.0375,0.0375,0.031,0.031,1408.21,45.7
2020-01-19,XEMUSD,0.03956,0.03956,0.0327,0.0375,613.09,21.88
2020-01-18,XEMUSD,0.03695,0.04,0.03323,0.03956,3571.86,130.15
2020-01-17,XEMUSD,0.032,0.03695,0.03153,0.03695,2112.14,75.43
2020-01-16,XEMUSD,0.03796,0.03796,0.032,0.032,631.35,20.8
2020-01-15,XEMUSD,0.02993,0.03846,0.02993,0.03796,1697.79,57.53
2020-01-14,XEMUSD,0.02993,0.03372,0.02993,0.02993,3634.9,117.83
2020-01-13,XEMUSD,0.033,0.033,0.02993,0.02993,3298.91,104.3
2020-01-12,XEMUSD,0.03238,0.033,0.02999,0.033,294.92,9.345
2020-01-11,XEMUSD,0.03036,0.03238,0.02993,0.03238,987.4,31.12
2020-01-10,XEMUSD,0.03296,0.03296,0.025,0.03036,22677.49,688.13
2020-01-09,XEMUSD,0.03295,0.03296,0.03295,0.03296,694.74,22.9
2020-01-08,XEMUSD,0.03333,0.03556,0.03295,0.03295,538.69,18.81
2020-01-07,XEMUSD,0.03213,0.03333,0.032,0.03333,529.56,17.13
2020-01-06,XEMUSD,0.03213,0.03213,0.03213,0.03213,284.38,9.137
2020-01-05,XEMUSD,0.03063,0.03213,0.03063,0.03213,89.42,2.873
2020-01-04,XEMUSD,0.0298,0.03228,0.0298,0.03063,46.12,1.422
2020-01-03,XEMUSD,0.02995,0.02995,0.02948,0.0298,92.33,2.754
2020-01-02,XEMUSD,0.03077,0.03077,0.02948,0.02995,321.34,9.75
2020-01-01,XEMUSD,0.031,0.031,0.03077,0.03077,40.2,1.237
2019-12-31,XEMUSD,0.02994,0.031,0.02994,0.031,16.13,0.5
2019-12-30,XEMUSD,0.03241,0.03241,0.02979,0.02994,490.72,14.96
2019-12-29,XEMUSD,0.02823,0.03241,0.02823,0.03241,1072.8,33.07
2019-12-28,XEMUSD,0.02938,0.02939,0.02823,0.02823,681.17,19.85
2019-12-27,XEMUSD,0.02823,0.02992,0.02823,0.02938,1363.65,39.37
2019-12-26,XEMUSD,0.02909,0.02982,0.02823,0.02823,4402.99,126.52
2019-12-25,XEMUSD,0.0296,0.0296,0.02909,0.02909,283.56,8.248
2019-12-24,XEMUSD,0.02951,0.0296,0.0295,0.0296,6.836,0.202
2019-12-23,XEMUSD,0.02896,0.02982,0.02838,0.02951,599.48,17.65
2019-12-22,XEMUSD,0.02994,0.02994,0.02896,0.02896,769.85,22.29
2019-12-21,XEMUSD,0.03,0.03,0.029,0.02994,824.36,24.71
2019-12-20,XEMUSD,0.03084,0.03084,0.03,0.03,181.68,5.453
2019-12-19,XEMUSD,0.03239,0.03239,0.03077,0.03084,1047.64,32.24
2019-12-18,XEMUSD,0.03111,0.03239,0.03096,0.03239,488.73,15.14
2019-12-17,XEMUSD,0.02992,0.03117,0.02992,0.03111,12.88,0.4012
2019-12-16,XEMUSD,0.03034,0.03034,0.02992,0.02992,754.07,22.7
