Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume WAV,Volume ESUSD
2018-11-12,WAVESUSD,1.829,1.829,1.755,1.8,911.2,1646.49
2018-11-11,WAVESUSD,1.877,1.877,1.802,1.829,434.73,794.09
2018-11-10,WAVESUSD,1.88,1.88,1.804,1.877,436.49,801.7
2018-11-09,WAVESUSD,1.876,1.91,1.803,1.88,973.65,1814.09
2018-11-08,WAVESUSD,1.883,1.91,1.86,1.876,708.77,1329.4
2018-11-07,WAVESUSD,1.87,1.92,1.87,1.883,446.12,844.99
2018-11-06,WAVESUSD,1.89,1.918,1.86,1.87,834.72,1577.97
2018-11-05,WAVESUSD,1.94,1.94,1.877,1.89,770.19,1459.79
2018-11-04,WAVESUSD,1.897,1.952,1.887,1.94,787.05,1514.24
2018-11-03,WAVESUSD,1.91,1.96,1.897,1.897,441.07,847.31
2018-11-02,WAVESUSD,1.93,1.96,1.897,1.91,459.2,888.89
2018-11-01,WAVESUSD,1.863,1.978,1.861,1.93,1353.68,2605.32
2018-10-31,WAVESUSD,1.88,1.923,1.831,1.863,841.37,1584.7
2018-10-30,WAVESUSD,1.936,1.936,1.815,1.88,1263.45,2339.19
2018-10-29,WAVESUSD,1.98,2.049,1.8,1.936,1360.23,2582.04
2018-10-28,WAVESUSD,2.022,2.1,1.95,1.98,1037.44,2065.2
2018-10-27,WAVESUSD,2.03,2.03,1.98,2.022,727.59,1460.08
2018-10-26,WAVESUSD,2.045,2.07,1.992,2.03,1322.1,2666.56
2018-10-25,WAVESUSD,2.077,2.077,2.019,2.045,509.07,1045.48
2018-10-24,WAVESUSD,2.051,2.151,2.05,2.077,479.89,1001.28
2018-10-23,WAVESUSD,2.07,2.18,2.02,2.051,948.21,1984.31
2018-10-22,WAVESUSD,2.08,2.09,2.012,2.07,659.82,1350.31
2018-10-21,WAVESUSD,2.05,2.099,2.04,2.08,449.07,932.07
2018-10-20,WAVESUSD,2.056,2.088,2,2.05,462.92,945.55
2018-10-19,WAVESUSD,2.086,2.089,2,2.056,972.87,1990.34
2018-10-18,WAVESUSD,2.072,2.11,2.006,2.086,760.33,1576.76
2018-10-17,WAVESUSD,2.051,2.12,2.051,2.072,476.99,997.38
2018-10-16,WAVESUSD,2.05,2.1,2.006,2.051,1431.1,2934.56
2018-10-15,WAVESUSD,2,2.08,1.982,2.05,1238.45,2511.86
2018-10-14,WAVESUSD,2.02,2.055,1.99,2,1104.49,2217.39
2018-10-13,WAVESUSD,1.982,2.053,1.982,2.02,536.01,1076.59
2018-10-12,WAVESUSD,2,2.049,1.97,1.982,676.06,1358.97
2018-10-11,WAVESUSD,2.153,2.181,1.92,2,1290.4,2635.46
2018-10-10,WAVESUSD,2.15,2.181,2.133,2.153,345.85,746.46
2018-10-09,WAVESUSD,2.14,2.195,2.128,2.15,621.86,1342.38
2018-10-08,WAVESUSD,2.14,2.17,2.09,2.14,394.03,846.45
2018-10-07,WAVESUSD,2.121,2.18,2.057,2.14,471.61,1007.24
2018-10-06,WAVESUSD,2.219,2.219,2.11,2.121,344.59,748.32
2018-10-05,WAVESUSD,2.16,2.22,2.05,2.219,1547.91,3297.5
2018-10-04,WAVESUSD,2.112,2.195,2.11,2.16,1535.2,3283.72
2018-10-03,WAVESUSD,2.195,2.195,2.101,2.112,1602.22,3425.44
2018-10-02,WAVESUSD,2.211,2.238,2.15,2.195,1290.17,2826.37
2018-10-01,WAVESUSD,2.253,2.32,2.18,2.211,3540.81,7895.54
2018-09-30,WAVESUSD,2.26,2.338,2.245,2.253,857.44,1956.98
2018-09-29,WAVESUSD,2.25,2.28,2.201,2.26,1120.92,2515.9
2018-09-28,WAVESUSD,2.35,2.39,2.25,2.25,2649.87,6073.5
2018-09-27,WAVESUSD,2.421,2.429,2.3,2.35,733.95,1723.72
2018-09-26,WAVESUSD,2.279,2.45,2.17,2.421,1529.82,3555.54
2018-09-25,WAVESUSD,2.33,2.38,2.17,2.279,1773.96,3980.89
2018-09-24,WAVESUSD,2.31,2.378,2.24,2.33,1238.78,2829.15
2018-09-23,WAVESUSD,2.265,2.48,2.255,2.31,1863.71,4406.96
2018-09-22,WAVESUSD,2.372,2.38,2.221,2.265,2027.57,4670.26
2018-09-21,WAVESUSD,2.34,2.4,2.28,2.372,1603.73,3776.8
2018-09-20,WAVESUSD,2.362,2.42,2.285,2.34,1851.02,4382.08
2018-09-19,WAVESUSD,2.25,2.45,2.213,2.362,3716.96,8723.83
2018-09-18,WAVESUSD,2.18,2.3,2.155,2.25,1204.7,2672.13
2018-09-17,WAVESUSD,2.29,2.37,2.17,2.18,2080.31,4732.52
2018-09-16,WAVESUSD,2.37,2.376,2.28,2.29,1063.23,2474.8
2018-09-15,WAVESUSD,2.41,2.41,2.336,2.37,883.18,2088.56
2018-09-14,WAVESUSD,2.485,2.5,2.32,2.41,2857.8,6792.37
2018-09-13,WAVESUSD,2.325,2.599,2.325,2.485,2133.03,5341.18
2018-09-12,WAVESUSD,2.28,2.43,2.161,2.325,2105.43,4752.04
2018-09-11,WAVESUSD,2.449,2.62,2.25,2.28,2073.94,5017.97
2018-09-10,WAVESUSD,2.008,2.7,1.99,2.449,6397.47,15468.81
2018-09-09,WAVESUSD,2.05,2.1,1.951,2.008,3546.47,7228.2
2018-09-08,WAVESUSD,1.971,2.1,1.951,2.05,1622.37,3272.02
2018-09-07,WAVESUSD,2.078,2.152,1.971,1.971,1262.54,2561.37
2018-09-06,WAVESUSD,2.14,2.14,2.001,2.078,1470.8,3029.02
2018-09-05,WAVESUSD,2.378,2.378,2.1,2.14,2547.11,5686.04
2018-09-04,WAVESUSD,2.3,2.38,2.263,2.378,1043.48,2431.88
2018-09-03,WAVESUSD,2.24,2.317,2.126,2.3,1273.93,2823.08
2018-09-02,WAVESUSD,2.275,2.31,2.171,2.24,826.87,1856.21
2018-09-01,WAVESUSD,2.17,2.275,2.148,2.275,681.92,1502.96
2018-08-31,WAVESUSD,2.12,2.24,2.06,2.17,1004.7,2151.87
2018-08-30,WAVESUSD,2.22,2.3,2.04,2.12,2628.19,5678.12
2018-08-29,WAVESUSD,2.34,2.42,2.2,2.22,957.13,2185.21
2018-08-28,WAVESUSD,2.285,2.42,2.254,2.34,1102.46,2530.01
2018-08-27,WAVESUSD,2.26,2.293,2.228,2.285,850.68,1913.65
2018-08-26,WAVESUSD,2.37,2.39,2.245,2.26,1018.18,2338.38
2018-08-25,WAVESUSD,2.35,2.42,2.33,2.37,647.76,1534.35
2018-08-24,WAVESUSD,2.219,2.35,2.219,2.35,763.48,1767.05
2018-08-23,WAVESUSD,2.152,2.3,2.106,2.219,1023.15,2256.22
2018-08-22,WAVESUSD,2.19,2.277,2.14,2.152,1126.67,2481.54
2018-08-21,WAVESUSD,2.194,2.25,2.14,2.19,507.3,1125.3
2018-08-20,WAVESUSD,2.222,2.247,2.13,2.194,522.0,1137.99
2018-08-19,WAVESUSD,2.16,2.267,2.112,2.222,780.95,1708.07
2018-08-18,WAVESUSD,2.18,2.214,2.1,2.16,1212.08,2603.24
2018-08-17,WAVESUSD,2,2.18,1.982,2.18,1730.25,3711.38
2018-08-16,WAVESUSD,2.087,2.087,1.955,2,1681.58,3364.21
2018-08-15,WAVESUSD,1.939,2.18,1.922,2.087,2252.71,4649.27
2018-08-14,WAVESUSD,2.113,2.169,1.9,1.939,6677.05,12903.96
2018-08-13,WAVESUSD,2.144,2.39,2.08,2.113,3626.77,8108.91
