Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume EUR
2019-06-09,BCHEUR,336.6,336.6,336.6,336.6,0.0,0.0
2019-06-08,BCHEUR,360.43,360.43,336.6,336.6,0.272,93.33
2019-06-07,BCHEUR,330,360.43,330,360.43,1.979,701.71
2019-06-06,BCHEUR,357,357,330,330,0.225,76.22
2019-06-05,BCHEUR,337,357,337,357,0.03,10.71
2019-06-04,BCHEUR,387.08,398.03,337,337,3.38,1195.36
2019-06-03,BCHEUR,391.7,393,387.08,387.08,0.09689,37.64
2019-06-02,BCHEUR,391.7,391.7,391.7,391.7,0.0,0.0
2019-06-01,BCHEUR,379.28,391.7,379.28,391.7,0.0662,25.93
2019-05-31,BCHEUR,379.28,379.28,379.28,379.28,0.0,0.0
2019-05-30,BCHEUR,409.2,427.46,369.2,379.28,29.99,11809.48
2019-05-29,BCHEUR,385.83,409.2,385.83,409.2,1.094,437.29
2019-05-28,BCHEUR,389.76,392,382.82,385.83,6.957,2711.0
2019-05-27,BCHEUR,386.4,399.98,380.4,389.76,18.05,7024.22
2019-05-26,BCHEUR,355.02,390,355.01,386.4,1.661,631.49
2019-05-25,BCHEUR,371.33,371.33,355.02,355.02,0.06941,24.64
2019-05-24,BCHEUR,363,371.33,363,371.33,1.575,575.81
2019-05-23,BCHEUR,370.96,399.95,335.7,363,14.33,4986.48
2019-05-22,BCHEUR,385,459.99,352.49,370.96,9.963,3644.59
2019-05-21,BCHEUR,363.09,459.99,360,385,16.93,6502.85
2019-05-20,BCHEUR,379.06,379.06,363.09,363.09,0.3591,131.43
2019-05-19,BCHEUR,357.97,379.06,357.73,379.06,1.139,407.96
2019-05-18,BCHEUR,310,357.97,310,357.97,0.491,175.76
2019-05-17,BCHEUR,360.6,360.6,310,310,7.44,2361.76
2019-05-16,BCHEUR,366.42,375.1,353.21,360.6,0.8732,316.0
2019-05-15,BCHEUR,344.2,366.42,325.12,366.42,6.529,2277.78
2019-05-14,BCHEUR,350,594,328.57,344.2,38.6,13727.21
2019-05-13,BCHEUR,286.25,360,286.25,350,37.67,13243.97
2019-05-12,BCHEUR,305,329.99,286.25,286.25,3.183,993.36
2019-05-11,BCHEUR,257.57,317.19,255.01,305,7.302,2118.19
2019-05-10,BCHEUR,246.07,261.33,246.07,257.57,12.67,3292.51
2019-05-09,BCHEUR,251.98,281.79,246.07,246.07,9.337,2382.78
2019-05-08,BCHEUR,252.44,255.69,230.11,251.98,12.79,3187.21
2019-05-07,BCHEUR,256.14,263.57,251.7,252.44,16.07,4167.38
2019-05-06,BCHEUR,254.8,258.71,254.8,256.14,3.091,797.33
2019-05-05,BCHEUR,254.8,254.8,254.8,254.8,0.06895,17.57
2019-05-04,BCHEUR,254.8,254.8,254.8,254.8,5.282,1345.79
2019-05-03,BCHEUR,240,259.06,240,254.8,5.809,1481.58
2019-05-02,BCHEUR,240,240,240,240,0.07731,18.55
2019-05-01,BCHEUR,229.11,244.16,229.11,240,0.9208,220.76
2019-04-30,BCHEUR,210,229.11,208.56,229.11,3.41,763.72
2019-04-29,BCHEUR,235,235,210,210,4.768,1004.03
2019-04-28,BCHEUR,248.99,248.99,220.85,235,0.7108,162.58
2019-04-27,BCHEUR,229.35,258.11,229.35,248.99,0.1137,28.51
2019-04-26,BCHEUR,241,242.11,229.35,229.35,3.17,754.42
2019-04-25,BCHEUR,248,280.96,241,241,1.094,273.55
2019-04-24,BCHEUR,265,265,248,248,4.639,1177.81
2019-04-23,BCHEUR,257,273.14,257,265,1.742,464.84
2019-04-22,BCHEUR,257,257,257,257,0.0,0.0
2019-04-21,BCHEUR,265.18,289.99,257,257,1.941,505.5
2019-04-20,BCHEUR,270,275.49,265.18,265.18,4.514,1240.7
2019-04-19,BCHEUR,279.24,279.24,270,270,0.04511,12.18
2019-04-18,BCHEUR,279.24,279.24,279.24,279.24,0.0,0.0
2019-04-17,BCHEUR,286,286,279.24,279.24,0.06587,18.39
2019-04-16,BCHEUR,271.13,286,271.13,286,0.8408,235.55
2019-04-15,BCHEUR,268.22,291.96,266.61,271.13,1.559,444.25
2019-04-14,BCHEUR,268.22,268.22,268.22,268.22,0.0,0.0
2019-04-13,BCHEUR,268.22,268.22,267.11,268.22,1.005,269.59
2019-04-12,BCHEUR,268.22,268.22,268.22,268.22,0.0,0.0
2019-04-11,BCHEUR,294.99,294.99,232.11,268.22,3.176,806.26
2019-04-10,BCHEUR,262.1,295.89,262.1,294.99,0.7369,213.22
2019-04-09,BCHEUR,275,275,262.1,262.1,1.532,406.93
2019-04-08,BCHEUR,277,594,274.88,275,7.379,2475.63
2019-04-07,BCHEUR,260.01,290,260.01,277,0.915,257.15
2019-04-06,BCHEUR,270,390,259.74,260.01,3.155,936.31
2019-04-05,BCHEUR,250,274.99,250,270,3.233,860.14
2019-04-04,BCHEUR,285,285,250,250,0.8916,240.88
2019-04-03,BCHEUR,210,400,210,285,4.957,1429.98
2019-04-02,BCHEUR,154.99,210,154.99,210,1.308,218.4
2019-04-01,BCHEUR,145.36,154.99,145.36,154.99,0.05022,7.783
2019-03-31,BCHEUR,154,154.98,145.36,145.36,0.09205,13.69
2019-03-30,BCHEUR,154,154,154,154,0.0,0.0
2019-03-29,BCHEUR,154,154,154,154,0.0,0.0
2019-03-28,BCHEUR,150.01,154,150,154,2.877,440.56
2019-03-27,BCHEUR,140,155,140,150.01,1.526,229.91
2019-03-26,BCHEUR,140.66,140.66,140,140,2.855,399.75
2019-03-25,BCHEUR,140.66,140.67,140.66,140.66,1.44,202.58
2019-03-24,BCHEUR,140.66,140.66,140.66,140.66,0.0,0.0
2019-03-23,BCHEUR,140.66,140.66,140.66,140.66,0.0,0.0
2019-03-22,BCHEUR,140,140.66,140,140.66,0.1176,16.54
2019-03-21,BCHEUR,136.69,299,129.64,140,7.724,1237.23
2019-03-20,BCHEUR,136.69,136.69,136.69,136.69,0.0,0.0
2019-03-19,BCHEUR,136.69,136.69,136.69,136.69,0.0,0.0
2019-03-18,BCHEUR,137,140,136.69,136.69,0.2028,27.98
2019-03-17,BCHEUR,139,139,137,137,0.7576,103.79
2019-03-16,BCHEUR,127,139,127,139,0.4675,63.91
