Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume EUR
2019-12-06,ETHEUR,133.56,135,131.79,134.44,82.92,11034.61
2019-12-05,ETHEUR,131.59,134.17,131.24,133.56,27.16,3595.69
2019-12-04,ETHEUR,134.08,136.07,129.91,131.59,36.92,4968.54
2019-12-03,ETHEUR,133.84,134.56,133.43,134.08,2.998,400.86
2019-12-02,ETHEUR,136.27,136.27,133.84,133.84,15.1,2036.92
2019-12-01,ETHEUR,137.72,137.72,133.21,136.27,33.99,4567.85
2019-11-30,ETHEUR,140.65,140.65,136.68,137.72,31.6,4403.78
2019-11-29,ETHEUR,139.74,142.96,139.74,140.65,37.86,5357.48
2019-11-28,ETHEUR,139.35,140.47,137.15,139.74,85.51,11868.33
2019-11-27,ETHEUR,134.24,170,129.12,139.35,87.89,11967.74
2019-11-26,ETHEUR,135,138.57,131.49,134.24,48.28,6417.95
2019-11-25,ETHEUR,128,135,119.84,135,7.183,931.62
2019-11-24,ETHEUR,136.18,136.18,128,128,3.349,447.49
2019-11-23,ETHEUR,139,139,136.18,136.18,0.0946,12.88
2019-11-22,ETHEUR,145.48,145.64,130,139,239.1,32734.58
2019-11-21,ETHEUR,157.82,158.28,144.69,145.48,132.98,20077.2
2019-11-20,ETHEUR,157.35,160.3,157.35,157.82,119.79,19033.51
2019-11-19,ETHEUR,161.73,161.73,156.2,157.35,32.05,5038.08
2019-11-18,ETHEUR,168.13,171.54,159.58,161.73,213.63,34834.68
2019-11-17,ETHEUR,165.02,168.13,165.02,168.13,11.12,1856.59
2019-11-16,ETHEUR,161.01,165.02,161.01,165.02,0.4027,65.88
2019-11-15,ETHEUR,167.43,167.43,161,161.01,120.85,19899.0
2019-11-14,ETHEUR,171.68,171.68,166.57,167.43,60.37,10158.42
2019-11-13,ETHEUR,169.85,171.9,169.42,171.68,146.23,25020.45
2019-11-12,ETHEUR,169.9,169.9,165.84,169.85,14.2,2390.66
2019-11-11,ETHEUR,172.5,172.5,167.7,169.9,21.17,3577.52
2019-11-10,ETHEUR,166.82,173.2,166.82,172.5,4.244,732.97
2019-11-09,ETHEUR,168.46,168.46,166.82,166.82,12.74,2134.06
2019-11-08,ETHEUR,169.55,169.59,163,168.46,53.31,8909.73
2019-11-07,ETHEUR,173,173,167.92,169.55,98.28,16548.66
2019-11-06,ETHEUR,170.69,175,170.69,173,60.9,10505.31
2019-11-05,ETHEUR,168.93,172.72,165.54,170.69,72.63,12295.41
2019-11-04,ETHEUR,161.23,168.93,161.23,168.93,33.5,5569.45
2019-11-03,ETHEUR,164.7,164.7,161.23,161.23,7.883,1278.91
2019-11-02,ETHEUR,163.76,164.7,163.76,164.7,3.093,508.19
2019-11-01,ETHEUR,162.85,164.42,161.51,163.76,79.99,13044.7
2019-10-31,ETHEUR,163.76,165.09,160,162.85,117.85,19238.88
2019-10-30,ETHEUR,172.92,172.92,162.74,163.76,75.51,12518.54
2019-10-29,ETHEUR,163.92,172.92,163.92,172.92,175.68,29684.12
2019-10-28,ETHEUR,166.67,166.67,163.26,163.92,162.25,26704.74
2019-10-27,ETHEUR,161.31,168.5,161.31,166.67,12.42,2071.76
2019-10-26,ETHEUR,163.07,175,158.65,161.31,386.55,66056.88
2019-10-25,ETHEUR,145.23,169,145.23,163.07,117.2,17912.29
2019-10-24,ETHEUR,144.74,150,143.58,145.23,90.01,13065.11
2019-10-23,ETHEUR,155.53,155.53,138.2,144.74,132.26,19668.71
2019-10-22,ETHEUR,163.95,163.95,154.55,155.53,149.77,23256.85
2019-10-21,ETHEUR,153.4,163.95,153.4,163.95,47.91,7557.54
2019-10-20,ETHEUR,153.64,153.64,153.05,153.4,2.194,335.77
2019-10-19,ETHEUR,155,157.05,153.64,153.64,49.42,7660.87
2019-10-18,ETHEUR,158.85,158.85,153.26,155,44.82,6942.52
2019-10-17,ETHEUR,156.16,160.26,156.16,158.85,72.54,11557.83
2019-10-16,ETHEUR,162.25,163.94,156.16,156.16,3.451,553.86
2019-10-15,ETHEUR,169.32,169.32,162.25,162.25,54.29,9000.9
2019-10-14,ETHEUR,162.92,169.78,162.92,169.32,22.34,3714.91
2019-10-13,ETHEUR,162.55,162.92,162.55,162.92,0.3472,56.56
2019-10-12,ETHEUR,164.27,167.16,162.55,162.55,5.289,875.71
2019-10-11,ETHEUR,175.05,178.99,163.51,164.27,80.43,13323.02
2019-10-10,ETHEUR,177.31,177.31,171.17,175.05,23.43,4032.41
2019-10-09,ETHEUR,163.4,177.48,163.4,177.31,114.65,19852.64
2019-10-08,ETHEUR,164.81,168.06,163.05,163.4,52.12,8565.43
2019-10-07,ETHEUR,154.08,164.82,154.08,164.81,62.88,10131.77
2019-10-06,ETHEUR,159.33,160.56,153.82,154.08,21.79,3408.71
2019-10-05,ETHEUR,161.63,161.63,158.4,159.33,19.9,3166.47
2019-10-04,ETHEUR,157.65,164.17,156.4,161.63,107.59,17247.49
2019-10-03,ETHEUR,166.9,169.73,155.96,157.65,275.1,43829.02
2019-10-02,ETHEUR,164.76,167.59,160.04,166.9,11.0,1832.68
2019-10-01,ETHEUR,166.66,170,164.21,164.76,48.06,8021.18
2019-09-30,ETHEUR,152.93,189,152.42,166.66,114.25,18586.57
2019-09-29,ETHEUR,159.59,159.59,151.46,152.93,21.91,3340.18
2019-09-28,ETHEUR,159.1,160.76,155.04,159.59,63.56,10080.68
2019-09-27,ETHEUR,152.99,160.82,149.5,159.1,125.35,19169.56
2019-09-26,ETHEUR,156.5,160.84,142.03,152.99,187.28,27889.08
2019-09-25,ETHEUR,157,173.96,149.38,156.5,236.0,36344.54
2019-09-24,ETHEUR,182.4,184.72,142.99,157,278.31,43816.88
2019-09-23,ETHEUR,192.33,193.47,181.5,182.4,83.98,15894.23
2019-09-22,ETHEUR,195.19,200.86,186.23,192.33,56.8,10940.46
2019-09-21,ETHEUR,197.08,200.5,194.13,195.19,123.49,24371.85
2019-09-20,ETHEUR,199.68,199.68,191.08,197.08,78.2,15328.92
2019-09-19,ETHEUR,192.82,203.09,186.07,199.68,44.28,8803.01
2019-09-18,ETHEUR,190.13,196.91,190.13,192.82,59.87,11587.96
2019-09-17,ETHEUR,179.8,194.16,178.73,190.13,86.92,16020.92
2019-09-16,ETHEUR,170.57,181.4,170.46,179.8,439.74,78149.97
2019-09-15,ETHEUR,170.7,171.46,166.24,170.57,25.12,4281.13
2019-09-14,ETHEUR,161.79,170.7,161.79,170.7,57.24,9684.52
2019-09-13,ETHEUR,164.23,164.23,160.9,161.79,87.49,14159.19
2019-09-12,ETHEUR,159.18,166.75,159.18,164.23,86.58,14108.2
2019-09-11,ETHEUR,161.89,163.15,159.18,159.18,29.99,4831.23
2019-09-10,ETHEUR,163.85,166.7,161.07,161.89,39.34,6432.66
2019-09-09,ETHEUR,163.18,167.99,159.94,163.85,135.6,22414.34
2019-09-08,ETHEUR,161.23,166.35,157.04,163.18,22.0,3604.45
2019-09-07,ETHEUR,150.51,163.06,150.51,161.23,51.67,8167.01
2019-09-06,ETHEUR,157.54,161.32,144.26,150.51,67.13,10547.68
2019-09-05,ETHEUR,160.77,160.77,154.43,157.54,76.14,11873.9
2019-09-04,ETHEUR,163.14,163.17,158,160.77,60.73,9832.58
2019-09-03,ETHEUR,163.17,166.36,160.84,163.14,15.43,2509.6
2019-09-02,ETHEUR,155,164,155,163.17,37.61,5987.81
2019-09-01,ETHEUR,157.92,157.92,153.84,155,22.54,3521.68
2019-08-31,ETHEUR,147.5,158.67,147.5,157.92,13.85,2131.3
2019-08-30,ETHEUR,152.37,155.61,147.5,147.5,115.48,17670.12
2019-08-29,ETHEUR,157,164.5,150.75,152.37,138.37,21368.57
2019-08-28,ETHEUR,167.59,169.88,153.38,157,284.14,46405.96
2019-08-27,ETHEUR,167.95,169.99,166.78,167.59,29.78,5005.22
2019-08-26,ETHEUR,166.64,174.3,166.64,167.95,63.0,10746.61
2019-08-25,ETHEUR,169.02,177.42,164.72,166.64,82.94,14059.47
2019-08-24,ETHEUR,183.73,183.73,167.72,169.02,41.02,6960.47
2019-08-23,ETHEUR,179.94,183.73,168.16,183.73,26.4,4589.69
2019-08-22,ETHEUR,168.17,179.94,167.2,179.94,14.98,2539.39
2019-08-21,ETHEUR,176.39,176.64,163.25,168.17,27.15,4611.24
2019-08-20,ETHEUR,183,183,175.56,176.39,12.88,2301.08
2019-08-19,ETHEUR,175.64,183,175.02,183,59.61,10730.43
2019-08-18,ETHEUR,168.07,178.3,164.71,175.64,13.47,2373.18
2019-08-17,ETHEUR,167.25,168.37,164.74,168.07,81.51,13576.58
2019-08-16,ETHEUR,169.58,169.58,161.86,167.25,192.05,31767.09
2019-08-15,ETHEUR,167.95,170.4,156.96,169.58,108.27,17543.28
2019-08-14,ETHEUR,186.28,187.2,167.95,167.95,98.21,17329.97
2019-08-13,ETHEUR,188.84,188.84,183.23,186.28,15.56,2904.55
2019-08-12,ETHEUR,191.9,191.9,188.14,188.84,22.14,4187.63
2019-08-11,ETHEUR,183.6,192.27,183.6,191.9,34.17,6428.14
2019-08-10,ETHEUR,187.57,190.65,180.02,183.6,108.11,19740.45
2019-08-09,ETHEUR,191.32,194.7,180.52,187.57,139.73,26320.15
2019-08-08,ETHEUR,199.53,208.2,191.32,191.32,68.87,13641.24
2019-08-07,ETHEUR,200.57,204.6,197.23,199.53,299.39,60834.07
2019-08-06,ETHEUR,206.87,220,199.93,200.57,119.84,24562.8
2019-08-05,ETHEUR,199.79,209.23,190.59,206.87,165.76,34242.71
2019-08-04,ETHEUR,198.82,201,196.23,199.79,29.39,5799.55
2019-08-03,ETHEUR,194.21,201.61,194.21,198.82,13.05,2615.65
2019-08-02,ETHEUR,195.4,200.53,194.21,194.21,72.76,14296.77
2019-08-01,ETHEUR,194.13,195.8,189.43,195.4,22.73,4392.52
2019-07-31,ETHEUR,189.45,195.62,189.1,194.13,36.98,7177.89
2019-07-30,ETHEUR,188.8,190.55,184.11,189.45,182.29,34289.75
2019-07-29,ETHEUR,184.37,191.02,184.37,188.8,14.48,2736.07
2019-07-28,ETHEUR,188.21,188.21,180.02,184.37,25.58,4657.35
2019-07-27,ETHEUR,196.98,198.71,183.63,188.21,111.49,20886.4
2019-07-26,ETHEUR,197.72,198.06,192.92,196.98,48.03,9402.07
2019-07-25,ETHEUR,193.58,201.62,192.59,197.72,51.69,10211.29
2019-07-24,ETHEUR,195.56,195.8,182.15,193.58,56.75,10516.52
2019-07-23,ETHEUR,193.14,195.56,187.76,195.56,55.77,10659.3
2019-07-22,ETHEUR,200.6,206.6,191.83,193.14,18.47,3661.87
2019-07-21,ETHEUR,204.28,205.73,192.8,200.6,39.85,7931.73
2019-07-20,ETHEUR,193.31,208.3,193.31,204.28,14.55,2958.82
2019-07-19,ETHEUR,198.13,200.01,192.3,193.31,36.28,7151.93
2019-07-18,ETHEUR,190,207.48,184.56,198.13,81.71,16006.38
2019-07-17,ETHEUR,176.26,216.95,173,190,41.57,8139.49
2019-07-16,ETHEUR,211.84,211.84,175.07,176.26,140.33,25379.36
2019-07-15,ETHEUR,203,218.7,200,211.84,23.41,4828.12
2019-07-14,ETHEUR,236.72,265,203,203,36.66,8313.15
2019-07-13,ETHEUR,246.2,246.2,236.69,236.72,6.142,1455.8
2019-07-12,ETHEUR,237.26,247.35,237.26,246.2,5.704,1383.9
2019-07-11,ETHEUR,259.95,259.95,237.26,237.26,34.61,8448.71
2019-07-10,ETHEUR,282.92,282.92,253.82,259.95,7.236,1931.4
2019-07-09,ETHEUR,279.97,283,274.93,282.92,30.43,8465.61
2019-07-08,ETHEUR,273.1,280.98,268.34,279.97,49.65,13645.78
2019-07-07,ETHEUR,257,282.52,253.22,273.1,36.76,10075.23
2019-07-06,ETHEUR,254.74,274.96,254.74,257,7.74,2061.52
2019-07-05,ETHEUR,252.54,285,241.27,254.74,30.44,7957.72
2019-07-04,ETHEUR,265.39,275.28,252.53,252.54,71.56,18519.6
2019-07-03,ETHEUR,257.59,282.33,257.59,265.39,25.94,6812.03
2019-07-02,ETHEUR,256.78,269.85,242.89,257.59,34.12,8675.22
2019-07-01,ETHEUR,265.91,265.91,248.82,256.78,32.01,8278.84
2019-06-30,ETHEUR,283.91,284,257.7,265.91,15.35,4085.62
2019-06-29,ETHEUR,268.12,283.91,255,283.91,44.31,11966.49
2019-06-28,ETHEUR,260,327,260,268.12,58.02,15842.79
2019-06-27,ETHEUR,280,295.96,245.01,260,134.69,34680.0
2019-06-26,ETHEUR,277.51,324.9,270,280,218.99,66212.11
2019-06-25,ETHEUR,271.27,277.51,271.16,277.51,26.79,7346.09
2019-06-24,ETHEUR,270.19,274.26,263.1,271.27,13.67,3705.32
2019-06-23,ETHEUR,275.2,325,265.33,270.19,25.5,7194.43
2019-06-22,ETHEUR,259.99,275.58,259.99,275.2,39.26,10641.85
2019-06-21,ETHEUR,242.55,259.99,242.55,259.99,69.73,17740.69
2019-06-20,ETHEUR,239.02,249,236.84,242.55,30.42,7376.2
2019-06-19,ETHEUR,234.48,241.86,234.48,239.02,14.32,3413.04
2019-06-18,ETHEUR,245.18,245.18,234.48,234.48,53.22,12626.6
2019-06-17,ETHEUR,242,246,239.01,245.18,177.55,43143.54
2019-06-16,ETHEUR,244.49,248,235,242,84.47,20382.16
2019-06-15,ETHEUR,230.79,244.49,230.79,244.49,20.59,4906.97
2019-06-14,ETHEUR,227.16,237.61,226.62,230.79,17.52,4023.09
2019-06-13,ETHEUR,226.95,232.41,226.48,227.16,44.82,10275.28
2019-06-12,ETHEUR,221.88,230.01,218.68,226.95,26.31,5890.93
2019-06-11,ETHEUR,216.65,221.88,211.64,221.88,34.6,7470.16
2019-06-10,ETHEUR,204.67,217.88,203,216.65,57.54,12417.29
2019-06-09,ETHEUR,225.56,227.22,204.67,204.67,29.91,6360.96
2019-06-08,ETHEUR,225,229.98,215.01,225.56,9.404,2126.82
2019-06-07,ETHEUR,216.54,225,212,225,69.36,15287.54
2019-06-06,ETHEUR,220.13,220.13,210,216.54,45.36,9729.06
2019-06-05,ETHEUR,226.77,226.77,215.73,220.13,41.98,9143.72
2019-06-04,ETHEUR,221.85,240,217,226.77,30.23,6764.3
2019-06-03,ETHEUR,245,245,221.79,221.85,170.41,38970.01
2019-06-02,ETHEUR,242,245.64,240,245,2.191,534.78
2019-06-01,ETHEUR,239.99,279.99,239.01,242,10.57,2618.65
2019-05-31,ETHEUR,220.73,319.9,220.73,239.99,18.79,4834.49
2019-05-30,ETHEUR,241.3,257.83,220.17,220.73,111.05,27480.38
2019-05-29,ETHEUR,245.77,248.03,237.9,241.3,29.48,7167.96
2019-05-28,ETHEUR,239.59,245.77,238.01,245.77,93.52,22706.32
2019-05-27,ETHEUR,237.56,249.72,237.56,239.59,250.53,60567.66
2019-05-26,ETHEUR,221.06,243.32,220.21,237.56,91.68,21851.46
2019-05-25,ETHEUR,229,229.9,180,221.06,14.89,3276.53
2019-05-24,ETHEUR,218.81,229,216.63,229,30.42,6832.28
2019-05-23,ETHEUR,219.63,229.96,211.07,218.81,43.14,9479.95
2019-05-22,ETHEUR,236,339,219,219.63,77.31,18153.11
2019-05-21,ETHEUR,229.1,236,215.92,236,40.94,9343.68
2019-05-20,ETHEUR,233.92,233.92,215.01,229.1,83.4,18414.67
2019-05-19,ETHEUR,220.22,233.92,218,233.92,4.87,1124.09
2019-05-18,ETHEUR,207.38,229.88,207.38,220.22,9.851,2143.82
2019-05-17,ETHEUR,241.12,241.12,201.61,207.38,160.22,33652.82
2019-05-16,ETHEUR,214,250,214,241.12,225.38,51978.93
2019-05-15,ETHEUR,190.86,221.03,190.86,214,219.19,45841.12
2019-05-14,ETHEUR,172.04,190.86,172.04,190.86,226.55,41639.68
2019-05-13,ETHEUR,165.4,183.75,165.19,172.04,393.94,70421.49
2019-05-12,ETHEUR,171.57,184.98,140.01,165.4,15.38,2604.22
2019-05-11,ETHEUR,154.89,174.82,153,171.57,105.17,17118.12
2019-05-10,ETHEUR,151.99,156.04,143,154.89,10.02,1528.22
2019-05-09,ETHEUR,150.47,153.18,148.1,151.99,55.03,8266.52
2019-05-08,ETHEUR,151.01,156.9,148.87,150.47,129.25,19403.31
2019-05-07,ETHEUR,153.7,159.22,150.01,151.01,130.88,20486.25
2019-05-06,ETHEUR,145.06,158,140.1,153.7,71.86,10940.88
2019-05-05,ETHEUR,146.79,146.79,142.24,145.06,4.245,611.81
2019-05-04,ETHEUR,148,155,142.99,146.79,23.83,3496.33
2019-05-03,ETHEUR,141.6,149.85,134.37,148,12.39,1803.55
2019-05-02,ETHEUR,141,143.92,140.08,141.6,71.65,10145.54
2019-05-01,ETHEUR,139.68,144.52,131,141,13.28,1878.12
2019-04-30,ETHEUR,136.75,142.2,136.75,139.68,52.83,7410.73
2019-04-29,ETHEUR,140.99,140.99,134.16,136.75,50.88,6939.13
