Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XVG,Volume BTC
2020-03-27,XVGBTC,3.6e-07,3.6e-07,3.5e-07,3.6e-07,11936.37,0.004285
2020-03-26,XVGBTC,3.4e-07,3.6e-07,3.4e-07,3.6e-07,42369.64,0.01524
2020-03-25,XVGBTC,3.6e-07,3.6e-07,3.4e-07,3.4e-07,87776.02,0.03077
2020-03-24,XVGBTC,3.6e-07,3.8e-07,3.5e-07,3.6e-07,132647.66,0.04788
2020-03-23,XVGBTC,3.6e-07,3.7e-07,3.6e-07,3.6e-07,92006.03,0.03327
2020-03-22,XVGBTC,3.6e-07,3.8e-07,3.6e-07,3.6e-07,97193.2,0.0365
2020-03-21,XVGBTC,3.6e-07,3.7e-07,3.6e-07,3.6e-07,8413.93,0.003083
2020-03-20,XVGBTC,3.6e-07,3.8e-07,3.6e-07,3.6e-07,38053.72,0.0139
2020-03-19,XVGBTC,3.7e-07,3.7e-07,3.6e-07,3.6e-07,138323.25,0.05009
2020-03-18,XVGBTC,3.6e-07,3.8e-07,3.6e-07,3.7e-07,105124.83,0.03971
2020-03-17,XVGBTC,3.7e-07,3.7e-07,3.6e-07,3.6e-07,13666.0,0.004926
2020-03-16,XVGBTC,3.8e-07,3.8e-07,3.6e-07,3.7e-07,169653.76,0.06281
2020-03-15,XVGBTC,3.8e-07,3.8e-07,3.6e-07,3.8e-07,69778.79,0.02574
2020-03-14,XVGBTC,3.6e-07,3.8e-07,3.6e-07,3.8e-07,73775.56,0.02733
2020-03-13,XVGBTC,3.8e-07,3.8e-07,3.5e-07,3.6e-07,208871.65,0.07756
2020-03-12,XVGBTC,3.6e-07,3.8e-07,3.6e-07,3.8e-07,123404.74,0.04631
2020-03-11,XVGBTC,3.6e-07,3.8e-07,3.6e-07,3.6e-07,67411.69,0.02445
2020-03-10,XVGBTC,3.6e-07,3.8e-07,3.6e-07,3.6e-07,122436.23,0.04497
2020-03-09,XVGBTC,3.8e-07,3.8e-07,3.6e-07,3.6e-07,80894.35,0.03034
2020-03-08,XVGBTC,3.9e-07,4.0e-07,3.6e-07,3.8e-07,383475.0,0.1458
2020-03-07,XVGBTC,4.0e-07,4.0e-07,3.9e-07,3.9e-07,6827.16,0.002663
2020-03-06,XVGBTC,4.0e-07,4.0e-07,3.8e-07,4.0e-07,17699.54,0.006893
2020-03-05,XVGBTC,4.1e-07,4.1e-07,3.8e-07,4.0e-07,373157.2,0.1474
2020-03-04,XVGBTC,4.2e-07,4.2e-07,4.1e-07,4.1e-07,7610.91,0.00312
2020-03-03,XVGBTC,4.1e-07,4.2e-07,4.0e-07,4.2e-07,68046.58,0.02783
2020-03-02,XVGBTC,4.1e-07,4.1e-07,4.1e-07,4.1e-07,45220.52,0.01854
2020-03-01,XVGBTC,4.1e-07,4.2e-07,4.1e-07,4.1e-07,14752.57,0.006074
2020-02-29,XVGBTC,4.1e-07,4.3e-07,4.1e-07,4.1e-07,27784.41,0.01158
2020-02-28,XVGBTC,4.2e-07,4.2e-07,4.1e-07,4.1e-07,8163.59,0.003389
2020-02-27,XVGBTC,4.2e-07,4.4e-07,4.1e-07,4.2e-07,22695.72,0.009535
2020-02-26,XVGBTC,4.2e-07,4.3e-07,4.2e-07,4.2e-07,47080.04,0.01988
2020-02-25,XVGBTC,4.2e-07,4.4e-07,4.2e-07,4.2e-07,63876.44,0.02756
2020-02-24,XVGBTC,4.4e-07,4.5e-07,4.2e-07,4.2e-07,57934.24,0.02506
2020-02-23,XVGBTC,4.3e-07,4.4e-07,4.2e-07,4.4e-07,46485.8,0.02038
2020-02-22,XVGBTC,4.3e-07,4.4e-07,4.2e-07,4.3e-07,34160.44,0.01446
2020-02-21,XVGBTC,4.3e-07,4.4e-07,4.3e-07,4.3e-07,20343.72,0.008756
2020-02-20,XVGBTC,4.5e-07,4.5e-07,4.3e-07,4.3e-07,22098.18,0.009596
2020-02-19,XVGBTC,4.3e-07,4.6e-07,4.3e-07,4.5e-07,131256.15,0.05874
2020-02-18,XVGBTC,4.3e-07,4.5e-07,4.3e-07,4.3e-07,93331.22,0.04053
2020-02-17,XVGBTC,4.6e-07,4.6e-07,4.3e-07,4.3e-07,63323.81,0.02757
2020-02-16,XVGBTC,4.5e-07,4.8e-07,4.4e-07,4.6e-07,134428.83,0.06241
2020-02-15,XVGBTC,4.5e-07,4.7e-07,4.5e-07,4.5e-07,38033.82,0.01774
2020-02-14,XVGBTC,4.5e-07,4.8e-07,4.2e-07,4.5e-07,419521.02,0.1894
2020-02-13,XVGBTC,4.4e-07,4.5e-07,4.3e-07,4.5e-07,54606.98,0.02392
2020-02-12,XVGBTC,4.4e-07,4.6e-07,4.1e-07,4.4e-07,232668.57,0.1004
2020-02-11,XVGBTC,4.6e-07,4.6e-07,4.4e-07,4.4e-07,105555.59,0.04732
2020-02-10,XVGBTC,4.5e-07,4.6e-07,4.4e-07,4.6e-07,36694.02,0.01653
2020-02-09,XVGBTC,4.4e-07,4.6e-07,4.4e-07,4.5e-07,55617.52,0.02485
2020-02-08,XVGBTC,4.5e-07,4.6e-07,4.4e-07,4.4e-07,388590.73,0.178
2020-02-07,XVGBTC,4.3e-07,4.6e-07,4.2e-07,4.5e-07,238583.27,0.1075
2020-02-06,XVGBTC,4.2e-07,4.4e-07,4.2e-07,4.3e-07,125694.62,0.05393
2020-02-05,XVGBTC,4.5e-07,4.6e-07,4.2e-07,4.2e-07,90278.84,0.03965
2020-02-04,XVGBTC,4.4e-07,4.6e-07,4.3e-07,4.5e-07,128051.48,0.05798
2020-02-03,XVGBTC,4.3e-07,4.6e-07,4.3e-07,4.4e-07,53749.95,0.02435
2020-02-02,XVGBTC,4.2e-07,4.6e-07,4.2e-07,4.3e-07,155474.69,0.06778
2020-02-01,XVGBTC,4.1e-07,4.2e-07,4.0e-07,4.2e-07,157611.64,0.06496
2020-01-31,XVGBTC,3.9e-07,4.1e-07,3.9e-07,4.1e-07,5982.84,0.002421
2020-01-30,XVGBTC,4.0e-07,4.1e-07,3.9e-07,3.9e-07,45134.72,0.018
2020-01-29,XVGBTC,4.3e-07,4.3e-07,4.0e-07,4.0e-07,221199.83,0.09022
2020-01-28,XVGBTC,4.0e-07,4.3e-07,4.0e-07,4.3e-07,88948.1,0.03734
2020-01-27,XVGBTC,4.2e-07,4.2e-07,4.0e-07,4.0e-07,163370.71,0.06763
2020-01-26,XVGBTC,4.3e-07,4.3e-07,4.2e-07,4.2e-07,119150.87,0.05054
2020-01-25,XVGBTC,4.2e-07,4.3e-07,4.1e-07,4.3e-07,49793.65,0.02108
2020-01-24,XVGBTC,4.3e-07,4.3e-07,4.2e-07,4.2e-07,30270.16,0.01279
2020-01-23,XVGBTC,4.3e-07,4.3e-07,4.2e-07,4.3e-07,21890.43,0.009197
2020-01-22,XVGBTC,4.2e-07,4.4e-07,4.2e-07,4.3e-07,38405.12,0.01618
2020-01-21,XVGBTC,4.4e-07,4.4e-07,4.2e-07,4.2e-07,108167.65,0.04636
2020-01-20,XVGBTC,4.3e-07,4.5e-07,4.1e-07,4.4e-07,75447.14,0.03246
2020-01-19,XVGBTC,4.4e-07,4.4e-07,4.2e-07,4.3e-07,110008.15,0.04755
2020-01-18,XVGBTC,4.2e-07,4.5e-07,4.2e-07,4.4e-07,106205.63,0.04556
2020-01-17,XVGBTC,4.1e-07,4.6e-07,4.1e-07,4.2e-07,161877.05,0.07093
2020-01-16,XVGBTC,4.4e-07,4.4e-07,4.1e-07,4.1e-07,44514.16,0.01878
2020-01-15,XVGBTC,4.2e-07,4.4e-07,3.9e-07,4.4e-07,160925.38,0.06853
2020-01-14,XVGBTC,4.0e-07,4.2e-07,3.9e-07,4.2e-07,289945.84,0.117
2020-01-13,XVGBTC,4.2e-07,4.2e-07,4.0e-07,4.0e-07,107573.36,0.04359
2020-01-12,XVGBTC,4.0e-07,4.2e-07,4.0e-07,4.2e-07,121948.25,0.05062
2020-01-11,XVGBTC,3.8e-07,4.0e-07,3.8e-07,4.0e-07,98387.02,0.03898
2020-01-10,XVGBTC,4.0e-07,4.0e-07,3.8e-07,3.8e-07,81854.92,0.03132
2020-01-09,XVGBTC,4.0e-07,4.0e-07,3.8e-07,4.0e-07,18917.48,0.007372
2020-01-08,XVGBTC,4.0e-07,4.0e-07,3.8e-07,4.0e-07,64411.8,0.02482
2020-01-07,XVGBTC,4.2e-07,4.2e-07,4.0e-07,4.0e-07,114389.03,0.04656
2020-01-06,XVGBTC,4.2e-07,4.3e-07,4.1e-07,4.2e-07,5791.87,0.002412
2020-01-05,XVGBTC,4.0e-07,4.3e-07,4.0e-07,4.2e-07,59886.59,0.02499
2020-01-04,XVGBTC,4.0e-07,4.2e-07,4.0e-07,4.0e-07,23280.92,0.009713
2020-01-03,XVGBTC,4.0e-07,4.1e-07,4.0e-07,4.0e-07,63840.91,0.0256
2020-01-02,XVGBTC,3.8e-07,4.2e-07,3.8e-07,4.0e-07,145930.8,0.05896
2020-01-01,XVGBTC,3.8e-07,3.9e-07,3.8e-07,3.8e-07,9488.66,0.003617
2019-12-31,XVGBTC,4.2e-07,4.3e-07,3.8e-07,3.8e-07,194091.33,0.0767
2019-12-30,XVGBTC,3.9e-07,4.2e-07,3.9e-07,4.2e-07,139979.07,0.0575
2019-12-29,XVGBTC,4.0e-07,4.1e-07,3.8e-07,3.9e-07,55737.06,0.02186
2019-12-28,XVGBTC,4.0e-07,4.0e-07,3.9e-07,4.0e-07,31961.38,0.01274
2019-12-27,XVGBTC,3.9e-07,4.0e-07,3.8e-07,4.0e-07,80998.89,0.0319
2019-12-26,XVGBTC,3.8e-07,4.0e-07,3.8e-07,3.9e-07,7913.29,0.003137
2019-12-25,XVGBTC,4.0e-07,4.0e-07,3.8e-07,3.8e-07,61029.7,0.02368
2019-12-24,XVGBTC,4.0e-07,4.1e-07,3.9e-07,4.0e-07,47390.65,0.0192
2019-12-23,XVGBTC,4.0e-07,4.1e-07,3.9e-07,4.0e-07,38037.21,0.01534
2019-12-22,XVGBTC,4.1e-07,4.1e-07,4.0e-07,4.0e-07,41286.36,0.01652
2019-12-21,XVGBTC,4.0e-07,4.2e-07,4.0e-07,4.1e-07,61429.35,0.02509
2019-12-20,XVGBTC,4.1e-07,4.2e-07,4.0e-07,4.0e-07,19671.01,0.007981
2019-12-19,XVGBTC,4.0e-07,4.2e-07,4.0e-07,4.1e-07,148659.55,0.06011
2019-12-18,XVGBTC,4.2e-07,4.2e-07,4.0e-07,4.0e-07,198048.31,0.08019
2019-12-17,XVGBTC,4.2e-07,4.2e-07,4.1e-07,4.2e-07,217573.98,0.0912
2019-12-16,XVGBTC,4.3e-07,4.3e-07,4.2e-07,4.2e-07,33425.68,0.01422
2019-12-15,XVGBTC,4.3e-07,4.3e-07,4.1e-07,4.3e-07,170216.04,0.07209
2019-12-14,XVGBTC,4.2e-07,4.3e-07,4.1e-07,4.3e-07,110385.74,0.04573
2019-12-13,XVGBTC,4.3e-07,4.4e-07,4.1e-07,4.2e-07,231268.0,0.09767
2019-12-12,XVGBTC,4.2e-07,4.4e-07,4.1e-07,4.3e-07,306952.79,0.1277
2019-12-11,XVGBTC,4.2e-07,4.4e-07,4.2e-07,4.2e-07,249804.29,0.1081
2019-12-10,XVGBTC,4.3e-07,4.4e-07,4.1e-07,4.2e-07,445577.85,0.1898
2019-12-09,XVGBTC,4.3e-07,4.6e-07,4.3e-07,4.3e-07,170830.07,0.07549
2019-12-08,XVGBTC,4.3e-07,4.7e-07,4.2e-07,4.3e-07,218562.27,0.09834
2019-12-07,XVGBTC,4.1e-07,4.3e-07,4.1e-07,4.3e-07,35737.84,0.01521
2019-12-06,XVGBTC,4.5e-07,4.6e-07,4.1e-07,4.1e-07,270920.51,0.1155
2019-12-05,XVGBTC,4.2e-07,4.5e-07,4.2e-07,4.5e-07,372127.69,0.1639
2019-12-04,XVGBTC,4.3e-07,4.4e-07,4.1e-07,4.2e-07,436141.27,0.1841
2019-12-03,XVGBTC,4.3e-07,4.3e-07,4.1e-07,4.3e-07,197298.98,0.08147
2019-12-02,XVGBTC,4.3e-07,4.3e-07,4.2e-07,4.3e-07,127432.95,0.05355
2019-12-01,XVGBTC,4.3e-07,4.4e-07,4.2e-07,4.3e-07,151606.83,0.06527
2019-11-30,XVGBTC,4.3e-07,4.4e-07,4.2e-07,4.3e-07,124465.35,0.05279
2019-11-29,XVGBTC,4.4e-07,4.5e-07,4.3e-07,4.3e-07,118861.64,0.05117
2019-11-28,XVGBTC,4.4e-07,4.6e-07,4.3e-07,4.4e-07,220387.25,0.09849
2019-11-27,XVGBTC,4.4e-07,4.6e-07,4.4e-07,4.4e-07,132187.84,0.05893
2019-11-26,XVGBTC,4.3e-07,4.5e-07,4.3e-07,4.4e-07,128173.78,0.0565
2019-11-25,XVGBTC,4.5e-07,4.6e-07,4.3e-07,4.3e-07,294433.41,0.1325
2019-11-24,XVGBTC,4.5e-07,4.5e-07,4.3e-07,4.5e-07,35857.62,0.01586
2019-11-23,XVGBTC,4.5e-07,4.5e-07,4.2e-07,4.5e-07,343079.01,0.1511
2019-11-22,XVGBTC,4.6e-07,4.6e-07,4.3e-07,4.5e-07,72307.35,0.03191
2019-11-21,XVGBTC,4.3e-07,4.6e-07,4.3e-07,4.6e-07,95113.72,0.0415
2019-11-20,XVGBTC,4.6e-07,4.6e-07,4.3e-07,4.3e-07,174819.0,0.07663
2019-11-19,XVGBTC,4.3e-07,4.6e-07,4.3e-07,4.6e-07,50958.88,0.0231
2019-11-18,XVGBTC,4.5e-07,4.7e-07,4.3e-07,4.3e-07,238385.19,0.1054
2019-11-17,XVGBTC,4.7e-07,4.7e-07,4.5e-07,4.5e-07,118305.84,0.05422
2019-11-16,XVGBTC,5.0e-07,5.2e-07,4.6e-07,4.7e-07,488615.37,0.2328
2019-11-15,XVGBTC,4.9e-07,5.4e-07,4.4e-07,5.0e-07,2083257.23,1.052
2019-11-14,XVGBTC,4.3e-07,4.9e-07,4.2e-07,4.9e-07,893884.02,0.4009
2019-11-13,XVGBTC,4.3e-07,4.3e-07,4.1e-07,4.3e-07,185537.35,0.07964
2019-11-12,XVGBTC,4.3e-07,4.3e-07,4.1e-07,4.3e-07,28748.51,0.01205
2019-11-11,XVGBTC,4.1e-07,4.3e-07,4.1e-07,4.3e-07,14316.86,0.005878
2019-11-10,XVGBTC,4.2e-07,4.3e-07,4.1e-07,4.1e-07,129605.61,0.05339
2019-11-09,XVGBTC,4.3e-07,4.3e-07,4.1e-07,4.2e-07,21523.59,0.008973
2019-11-08,XVGBTC,4.2e-07,4.3e-07,4.1e-07,4.3e-07,26843.76,0.01103
2019-11-07,XVGBTC,4.3e-07,4.3e-07,4.2e-07,4.2e-07,62426.04,0.02683
2019-11-06,XVGBTC,4.2e-07,4.3e-07,4.1e-07,4.3e-07,205557.81,0.08787
2019-11-05,XVGBTC,4.1e-07,4.3e-07,4.1e-07,4.2e-07,110500.62,0.04587
2019-11-04,XVGBTC,4.3e-07,4.3e-07,4.1e-07,4.1e-07,33088.05,0.01359
2019-11-03,XVGBTC,4.2e-07,4.3e-07,4.1e-07,4.3e-07,30666.44,0.01272
2019-11-02,XVGBTC,4.1e-07,4.3e-07,4.1e-07,4.2e-07,273233.68,0.1152
2019-11-01,XVGBTC,4.3e-07,4.4e-07,4.1e-07,4.1e-07,358494.6,0.1502
2019-10-31,XVGBTC,4.2e-07,4.3e-07,4.1e-07,4.3e-07,19937.46,0.008333
2019-10-30,XVGBTC,4.2e-07,4.3e-07,4.2e-07,4.2e-07,41827.45,0.01778
2019-10-29,XVGBTC,4.2e-07,4.3e-07,4.1e-07,4.2e-07,25112.19,0.01055
2019-10-28,XVGBTC,4.2e-07,4.3e-07,4.1e-07,4.2e-07,42226.42,0.01793
2019-10-27,XVGBTC,4.2e-07,4.3e-07,4.1e-07,4.2e-07,77188.16,0.03254
2019-10-26,XVGBTC,4.3e-07,4.5e-07,4.1e-07,4.2e-07,210415.71,0.08771
2019-10-25,XVGBTC,4.4e-07,4.4e-07,4.3e-07,4.3e-07,79502.25,0.03435
2019-10-24,XVGBTC,4.3e-07,4.5e-07,4.3e-07,4.4e-07,47774.34,0.02087
2019-10-23,XVGBTC,4.4e-07,4.5e-07,4.3e-07,4.3e-07,40258.33,0.01799
2019-10-22,XVGBTC,4.3e-07,4.5e-07,4.3e-07,4.4e-07,143414.26,0.06311
2019-10-21,XVGBTC,4.4e-07,4.5e-07,4.3e-07,4.3e-07,54022.0,0.02367
2019-10-20,XVGBTC,4.5e-07,4.5e-07,4.3e-07,4.4e-07,370335.89,0.1653
2019-10-19,XVGBTC,4.5e-07,4.5e-07,4.4e-07,4.5e-07,109376.92,0.04815
2019-10-18,XVGBTC,4.4e-07,4.5e-07,4.4e-07,4.5e-07,109665.76,0.04896
2019-10-17,XVGBTC,4.4e-07,4.5e-07,4.4e-07,4.4e-07,47364.77,0.02113
2019-10-16,XVGBTC,4.5e-07,4.6e-07,4.4e-07,4.4e-07,242812.31,0.1085
2019-10-15,XVGBTC,4.6e-07,4.6e-07,4.5e-07,4.5e-07,119617.59,0.05484
2019-10-14,XVGBTC,4.4e-07,4.7e-07,4.4e-07,4.6e-07,182338.48,0.08252
2019-10-13,XVGBTC,4.3e-07,4.5e-07,4.3e-07,4.4e-07,36093.23,0.01578
2019-10-12,XVGBTC,4.4e-07,4.5e-07,4.3e-07,4.3e-07,4609.76,0.002
2019-10-11,XVGBTC,4.2e-07,4.5e-07,4.2e-07,4.4e-07,174665.49,0.07568
2019-10-10,XVGBTC,4.3e-07,4.4e-07,4.2e-07,4.2e-07,60733.57,0.02591
2019-10-09,XVGBTC,4.6e-07,4.6e-07,4.3e-07,4.3e-07,237649.19,0.106
2019-10-08,XVGBTC,4.4e-07,4.6e-07,4.3e-07,4.6e-07,281361.65,0.1269
2019-10-07,XVGBTC,4.3e-07,4.4e-07,4.2e-07,4.4e-07,246212.34,0.1068
2019-10-06,XVGBTC,4.3e-07,4.3e-07,4.2e-07,4.3e-07,167886.45,0.07135
2019-10-05,XVGBTC,4.4e-07,4.4e-07,4.2e-07,4.3e-07,92640.53,0.03962
2019-10-04,XVGBTC,4.3e-07,4.4e-07,4.2e-07,4.4e-07,116455.71,0.04962
2019-10-03,XVGBTC,4.4e-07,4.4e-07,4.2e-07,4.3e-07,52223.98,0.02243
2019-10-02,XVGBTC,4.4e-07,4.4e-07,4.2e-07,4.4e-07,27894.87,0.01222
2019-10-01,XVGBTC,4.2e-07,4.4e-07,4.2e-07,4.4e-07,103674.53,0.04414
2019-09-30,XVGBTC,4.3e-07,4.4e-07,4.2e-07,4.2e-07,93867.09,0.04015
2019-09-29,XVGBTC,4.3e-07,4.4e-07,4.2e-07,4.3e-07,122470.54,0.05222
2019-09-28,XVGBTC,4.4e-07,4.5e-07,4.3e-07,4.3e-07,35903.65,0.01561
2019-09-27,XVGBTC,4.4e-07,4.4e-07,4.2e-07,4.4e-07,30934.69,0.01349
2019-09-26,XVGBTC,4.2e-07,4.4e-07,4.1e-07,4.4e-07,212588.02,0.09101
2019-09-25,XVGBTC,4.4e-07,4.4e-07,4.2e-07,4.2e-07,184904.1,0.0791
2019-09-24,XVGBTC,4.5e-07,4.6e-07,4.2e-07,4.4e-07,290131.98,0.128
2019-09-23,XVGBTC,4.4e-07,4.6e-07,4.3e-07,4.5e-07,224326.0,0.09965
2019-09-22,XVGBTC,4.6e-07,4.6e-07,4.2e-07,4.4e-07,196155.0,0.08558
2019-09-21,XVGBTC,4.6e-07,4.6e-07,4.6e-07,4.6e-07,4174.41,0.00192
2019-09-20,XVGBTC,4.7e-07,4.7e-07,4.5e-07,4.6e-07,37879.54,0.01723
2019-09-19,XVGBTC,4.7e-07,4.7e-07,4.6e-07,4.7e-07,44585.67,0.02071
2019-09-18,XVGBTC,4.5e-07,4.7e-07,4.4e-07,4.7e-07,69554.16,0.03229
2019-09-17,XVGBTC,4.4e-07,4.5e-07,4.3e-07,4.5e-07,84962.86,0.03677
2019-09-16,XVGBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,14359.32,0.006318
2019-09-15,XVGBTC,4.2e-07,4.4e-07,4.2e-07,4.4e-07,21102.34,0.00922
2019-09-14,XVGBTC,4.2e-07,4.2e-07,4.2e-07,4.2e-07,706.8,0.0002969
2019-09-13,XVGBTC,4.3e-07,4.3e-07,4.2e-07,4.2e-07,7569.3,0.003235
2019-09-12,XVGBTC,4.3e-07,4.5e-07,4.3e-07,4.3e-07,8841.45,0.003938
2019-09-11,XVGBTC,4.5e-07,4.5e-07,4.3e-07,4.3e-07,54151.56,0.02402
2019-09-10,XVGBTC,4.4e-07,4.6e-07,4.4e-07,4.5e-07,76960.8,0.03433
2019-09-09,XVGBTC,4.5e-07,4.6e-07,4.3e-07,4.4e-07,177881.35,0.07821
2019-09-08,XVGBTC,4.3e-07,4.5e-07,4.3e-07,4.5e-07,109625.34,0.04763
2019-09-07,XVGBTC,4.3e-07,4.5e-07,4.3e-07,4.3e-07,43138.09,0.01907
2019-09-06,XVGBTC,4.2e-07,4.6e-07,4.2e-07,4.3e-07,78113.59,0.03362
2019-09-05,XVGBTC,4.4e-07,4.4e-07,4.2e-07,4.2e-07,37553.74,0.01617
2019-09-04,XVGBTC,4.3e-07,4.5e-07,4.3e-07,4.4e-07,39508.17,0.01729
2019-09-03,XVGBTC,4.5e-07,4.5e-07,4.3e-07,4.3e-07,99726.94,0.04383
2019-09-02,XVGBTC,4.6e-07,4.7e-07,4.5e-07,4.5e-07,48420.92,0.02191
2019-09-01,XVGBTC,4.8e-07,4.9e-07,4.6e-07,4.6e-07,86778.79,0.04128
2019-08-31,XVGBTC,4.8e-07,4.9e-07,4.7e-07,4.8e-07,20392.53,0.009909
2019-08-30,XVGBTC,4.6e-07,4.8e-07,4.6e-07,4.8e-07,11743.38,0.005517
2019-08-29,XVGBTC,4.6e-07,4.8e-07,4.6e-07,4.6e-07,46982.57,0.02171
2019-08-28,XVGBTC,4.8e-07,4.9e-07,4.6e-07,4.6e-07,210020.62,0.09906
2019-08-27,XVGBTC,5.1e-07,5.1e-07,4.8e-07,4.8e-07,178697.8,0.08644
2019-08-26,XVGBTC,5.3e-07,5.3e-07,5.0e-07,5.1e-07,46347.92,0.02362
2019-08-25,XVGBTC,5.2e-07,5.4e-07,5.1e-07,5.3e-07,174459.2,0.09265
2019-08-24,XVGBTC,4.9e-07,5.3e-07,4.9e-07,5.2e-07,78148.54,0.04037
2019-08-23,XVGBTC,5.0e-07,5.1e-07,4.9e-07,4.9e-07,103418.21,0.05156
