Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR
2019-03-27,BTCEUR,3474.46,3799,3474.46,3580.82,36.59,132122.57
2019-03-26,BTCEUR,3500,3800,3450,3474.46,25.17,88588.02
2019-03-25,BTCEUR,3515.79,3590,3441.41,3500,32.11,114107.44
2019-03-24,BTCEUR,3523.05,3576.61,3490.72,3515.79,3.733,13129.57
2019-03-23,BTCEUR,3529.91,3589,3510,3523.05,4.327,15364.14
2019-03-22,BTCEUR,3501.25,3599.34,3493,3529.91,58.24,208169.99
2019-03-21,BTCEUR,3526.28,3589.53,3485.29,3501.25,27.71,98746.53
2019-03-20,BTCEUR,3589.53,3795,3503.4,3526.28,3.443,12288.9
2019-03-19,BTCEUR,3501.46,3800,3490,3589.53,30.45,108399.11
2019-03-18,BTCEUR,3513.01,3675.2,3473.49,3501.46,4.139,14621.28
2019-03-17,BTCEUR,3519.48,3550,3451.61,3513.01,3.406,11977.29
2019-03-16,BTCEUR,3442.08,3537.2,3442.08,3519.48,1.77,6192.76
2019-03-15,BTCEUR,3411.77,3500,3399.83,3442.08,12.74,44287.57
2019-03-14,BTCEUR,3400.17,3849,3390,3411.77,8.388,29120.14
2019-03-13,BTCEUR,3425,3527.27,3398.06,3400.17,6.865,23581.98
2019-03-12,BTCEUR,3461.58,4400,3382.81,3425,95.82,332736.17
2019-03-11,BTCEUR,3469.49,3499.99,3397.29,3461.58,28.93,99795.35
2019-03-10,BTCEUR,3491.56,3576.27,3449.49,3469.49,1.462,5123.41
2019-03-09,BTCEUR,3410.93,3532.72,3410.93,3491.56,1.757,6151.12
2019-03-08,BTCEUR,3441.14,3890,3400.3,3410.93,106.31,371528.38
2019-03-07,BTCEUR,3404.93,3560.97,3391.58,3441.14,13.26,45511.96
2019-03-06,BTCEUR,3397.61,3890,3379.27,3404.93,42.25,145329.53
2019-03-05,BTCEUR,3262.15,3486.19,3262.15,3397.61,48.79,166369.28
2019-03-04,BTCEUR,3333.33,3356.27,3250.01,3262.15,35.97,118016.66
2019-03-03,BTCEUR,3388.18,3412.68,3329,3333.33,0.7376,2476.76
2019-03-02,BTCEUR,3352.46,3423.8,3340.51,3388.18,2.795,9479.2
2019-03-01,BTCEUR,3344.25,3400.05,3340,3352.46,15.01,50484.11
2019-02-28,BTCEUR,3334.81,3505.73,3334.32,3344.25,27.83,94529.42
2019-02-27,BTCEUR,3331.44,3422.15,3279.31,3334.81,34.11,114999.11
2019-02-26,BTCEUR,3362.81,3435.14,3321.68,3331.44,134.69,454894.06
2019-02-25,BTCEUR,3323.4,3441.1,3307.63,3362.81,22.42,75819.71
2019-02-24,BTCEUR,3620,3670.97,3300.01,3323.4,3.077,10709.02
2019-02-23,BTCEUR,3480.64,3650,3466,3620,10.61,38148.02
2019-02-22,BTCEUR,3446.46,3548,3430,3480.64,45.45,159301.37
2019-02-21,BTCEUR,3485.99,3510.28,3419.92,3446.46,45.8,158529.38
2019-02-20,BTCEUR,3421.24,3505,3421.24,3485.99,38.85,135408.21
2019-02-19,BTCEUR,3416.06,3558,3411.67,3421.24,54.78,192495.91
2019-02-18,BTCEUR,3190.02,3460,3190.02,3416.06,76.18,256082.67
2019-02-17,BTCEUR,3183.37,3206.51,3157.38,3190.02,1.393,4431.16
2019-02-16,BTCEUR,3160.86,3183.37,3160.86,3183.37,0.873,2769.79
2019-02-15,BTCEUR,3155.65,3219.74,3148.68,3160.86,9.753,30907.7
2019-02-14,BTCEUR,3174.5,3203,3149.23,3155.65,36.6,116419.88
2019-02-13,BTCEUR,3173.66,3215,3157.03,3174.5,33.35,106614.73
2019-02-12,BTCEUR,3190,3190.12,3157.08,3173.66,8.007,25399.06
2019-02-11,BTCEUR,3219.4,3248.58,3168.04,3190,30.98,99821.89
2019-02-10,BTCEUR,3194.23,3251.9,3136.53,3219.4,1.704,5439.09
2019-02-09,BTCEUR,3193.55,3232.27,2986.01,3194.23,6.091,18742.2
2019-02-08,BTCEUR,2969.23,3284.11,2958.84,3193.55,132.19,403380.54
2019-02-07,BTCEUR,2966.18,3013,2957.57,2969.23,105.08,315175.64
2019-02-06,BTCEUR,3013.1,3013.1,2944.08,2966.18,131.68,389683.53
2019-02-05,BTCEUR,2986.63,3053.99,2980.32,3013.1,21.37,64318.32
2019-02-04,BTCEUR,2975.96,3024,2951.48,2986.63,23.8,70986.05
2019-02-03,BTCEUR,3001.1,3001.1,2963,2975.96,4.443,13223.55
2019-02-02,BTCEUR,3007.17,3053.99,2977.13,3001.1,1.288,3876.96
2019-02-01,BTCEUR,2987.77,3015.76,2946.77,3007.17,23.67,70526.25
2019-01-31,BTCEUR,2999.58,3023,2965.12,2987.77,69.62,209595.96
2019-01-30,BTCEUR,2976,3070,2958.11,2999.58,24.03,73085.1
2019-01-29,BTCEUR,3001.36,3004.62,2925.25,2976,4.254,12624.02
2019-01-28,BTCEUR,3116.12,3116.12,2957.03,3001.36,24.82,74633.92
2019-01-27,BTCEUR,3127.17,3148.17,3091.51,3116.12,1.713,5341.69
2019-01-26,BTCEUR,3152,3210.82,2950.01,3127.17,15.62,46403.31
2019-01-25,BTCEUR,3159.68,3159.72,3107.52,3152,3.768,11781.56
2019-01-24,BTCEUR,3121.2,3186,3106,3159.68,57.32,181589.27
2019-01-23,BTCEUR,3150,3213.12,3103.02,3121.2,12.82,40538.59
2019-01-22,BTCEUR,3128.05,3215.59,3041.95,3150,46.3,145625.96
2019-01-21,BTCEUR,3118.24,3170,3090,3128.05,40.28,126909.14
2019-01-20,BTCEUR,3250,3250,3088.36,3118.24,5.748,18129.59
2019-01-19,BTCEUR,3176.89,3333.99,3176.89,3250,6.326,20627.25
2019-01-18,BTCEUR,3185.63,3264.6,3158.24,3176.89,64.86,207734.38
2019-01-17,BTCEUR,3161.94,3229.6,3114.87,3185.63,41.32,131650.11
