Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DGB,Volume BTC
2020-03-13,DGBBTC,6.7e-07,6.8e-07,6.2e-07,6.7e-07,820752.57,0.5255
2020-03-12,DGBBTC,6.8e-07,6.8e-07,6.0e-07,6.7e-07,188524.03,0.1217
2020-03-11,DGBBTC,6.8e-07,6.9e-07,6.6e-07,6.8e-07,45541.95,0.03086
2020-03-10,DGBBTC,6.8e-07,6.8e-07,6.7e-07,6.8e-07,51136.83,0.03447
2020-03-09,DGBBTC,6.6e-07,6.8e-07,6.5e-07,6.8e-07,109543.85,0.07296
2020-03-08,DGBBTC,6.8e-07,6.8e-07,6.6e-07,6.6e-07,97443.8,0.06476
2020-03-07,DGBBTC,6.8e-07,7.0e-07,6.5e-07,6.8e-07,51731.6,0.03468
2020-03-06,DGBBTC,6.9e-07,7.1e-07,6.8e-07,6.8e-07,19573.76,0.01357
2020-03-05,DGBBTC,6.9e-07,7.1e-07,6.9e-07,6.9e-07,17010.19,0.0119
2020-03-04,DGBBTC,6.6e-07,7.2e-07,6.6e-07,6.9e-07,129822.0,0.09093
2020-03-03,DGBBTC,6.6e-07,6.9e-07,6.6e-07,6.6e-07,91537.59,0.06181
2020-03-02,DGBBTC,6.4e-07,6.7e-07,6.4e-07,6.6e-07,33934.81,0.0222
2020-03-01,DGBBTC,6.7e-07,6.9e-07,6.3e-07,6.4e-07,32842.43,0.0216
2020-02-29,DGBBTC,6.8e-07,6.8e-07,6.5e-07,6.7e-07,25840.9,0.0172
2020-02-28,DGBBTC,6.8e-07,6.9e-07,6.5e-07,6.8e-07,60740.66,0.04071
2020-02-27,DGBBTC,6.8e-07,7.1e-07,6.5e-07,6.8e-07,282834.03,0.1898
2020-02-26,DGBBTC,6.9e-07,6.9e-07,6.6e-07,6.8e-07,61908.19,0.04214
2020-02-25,DGBBTC,7.0e-07,7.1e-07,6.6e-07,6.9e-07,296328.75,0.2014
2020-02-24,DGBBTC,7.2e-07,7.5e-07,7.0e-07,7.0e-07,214423.55,0.1556
2020-02-23,DGBBTC,7.0e-07,7.7e-07,7.0e-07,7.2e-07,187899.4,0.1391
2020-02-22,DGBBTC,7.3e-07,7.3e-07,7.0e-07,7.0e-07,47782.31,0.03403
2020-02-21,DGBBTC,7.1e-07,7.3e-07,6.9e-07,7.3e-07,127675.89,0.09173
2020-02-20,DGBBTC,7.4e-07,7.4e-07,6.9e-07,7.1e-07,128169.05,0.09144
2020-02-19,DGBBTC,7.6e-07,9.0e-07,7.2e-07,7.4e-07,735386.83,0.5744
2020-02-18,DGBBTC,7.8e-07,8.2e-07,7.6e-07,7.6e-07,238458.63,0.1882
2020-02-17,DGBBTC,8.2e-07,8.8e-07,7.6e-07,7.8e-07,187045.16,0.1483
2020-02-16,DGBBTC,8.2e-07,8.9e-07,7.9e-07,8.2e-07,244616.35,0.2033
2020-02-15,DGBBTC,8.0e-07,8.4e-07,8.0e-07,8.2e-07,265113.96,0.2184
2020-02-14,DGBBTC,8.1e-07,8.1e-07,7.6e-07,8.0e-07,108368.48,0.08502
2020-02-13,DGBBTC,7.6e-07,8.1e-07,7.5e-07,8.1e-07,248819.83,0.1966
2020-02-12,DGBBTC,7.5e-07,7.8e-07,7.2e-07,7.6e-07,247174.3,0.1846
2020-02-11,DGBBTC,7.4e-07,7.5e-07,7.2e-07,7.5e-07,95534.99,0.0706
2020-02-10,DGBBTC,7.4e-07,7.6e-07,7.2e-07,7.4e-07,74453.55,0.05516
2020-02-09,DGBBTC,7.4e-07,7.5e-07,7.2e-07,7.4e-07,110823.89,0.08031
2020-02-08,DGBBTC,7.2e-07,7.4e-07,7.1e-07,7.4e-07,100490.32,0.07302
2020-02-07,DGBBTC,7.4e-07,7.4e-07,7.0e-07,7.2e-07,51228.36,0.03725
